measured_on,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2023-08-01,9357.0,31926.0,31926.0
2023-09-01,9933.0,33891.0,33891.0
2023-10-01,11059.0,37733.0,37733.0
2023-11-01,11254.0,38399.0,38399.0
2023-12-01,11792.0,40234.0,40234.0
2024-01-01,11866.0,40487.0,40487.0
2024-02-01,11116.0,37928.0,37928.0
2024-03-01,11800.0,40262.0,40262.0
2024-04-01,10782.0,36788.0,36788.0
2024-05-01,10624.0,36249.0,36249.0
2024-06-01,8396.0,28647.0,28647.0
2024-07-01,8639.0,29476.0,29476.0
2024-08-01,9091.0,31018.0,31018.0
2024-09-01,9471.0,32315.0,32315.0
2024-10-01,10389.0,35447.0,35447.0
2024-11-01,10965.0,37413.0,37413.0
2024-12-01,11276.0,38474.0,38474.0
