measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,211.083,2626.0,2626.0
2003-02-01,185.55100000000002,2308.0,2308.0
2003-03-01,185.352,2306.0,2306.0
2003-04-01,157.092,1954.0,1954.0
2003-05-01,171.05,2128.0,2128.0
2003-06-01,183.67700000000002,2285.0,2285.0
2003-07-01,206.055,2563.0,2563.0
2003-08-01,221.312,2753.0,2753.0
2003-09-01,188.715,2348.0,2348.0
2003-10-01,202.214,2516.0,2516.0
2003-11-01,193.991,2413.0,2413.0
2003-12-01,203.77700000000002,2535.0,2535.0
2004-01-01,10.928,113.0,113.0
2004-02-01,35.905,370.0,370.0
2004-03-01,20.294,209.0,209.0
2004-04-01,18.733,193.0,193.0
2004-05-01,39.028,402.0,402.0
2004-06-01,25.758000000000003,266.0,266.0
2004-07-01,11.708,121.0,121.0
2004-08-01,35.125,362.0,362.0
2004-09-01,143.622,1481.0,1481.0
2004-10-01,9.367,97.0,97.0
2004-11-01,222.45700000000002,2294.0,2294.0
2004-12-01,21.075,217.0,217.0
2005-01-01,58.35,600.37,600.37
2005-02-01,20.047,206.27,206.27
2005-03-01,22.22,228.62,228.62
2005-04-01,26.915,276.93,276.93
2005-05-01,24.997,257.2,257.2
2005-06-01,32.444,333.81,333.81
2005-07-01,33.024,339.78,339.78
2005-08-01,38.795,399.16,399.16
2005-09-01,25.395,261.3,261.3
2005-10-01,28.202,290.17,290.17
2005-11-01,22.672,233.27,233.27
2005-12-01,47.939,493.25,493.25
2006-01-01,28.441000000000003,285.0,285.0
2006-02-01,14.882000000000001,149.0,149.0
2006-03-01,12.501000000000001,125.0,125.0
2006-04-01,23.947000000000003,240.0,240.0
2006-05-01,22.384,224.0,224.0
2006-06-01,20.346,204.0,204.0
2006-07-01,29.471,295.0,295.0
2006-08-01,28.587,287.0,287.0
2006-09-01,13.133000000000001,132.0,132.0
2006-10-01,13.873000000000001,139.0,139.0
2006-11-01,16.336000000000002,164.0,164.0
2006-12-01,18.1,181.0,181.0
2007-01-01,19.863,220.0,220.0
2007-02-01,22.619,255.0,255.0
2007-03-01,18.851000000000003,209.0,209.0
2007-04-01,20.0,226.0,226.0
2007-05-01,20.596,232.0,232.0
2007-06-01,24.208000000000002,272.0,272.0
2007-07-01,18.929000000000002,209.0,209.0
2007-08-01,15.146,168.0,168.0
2007-09-01,14.347000000000001,162.0,162.0
2007-10-01,20.611,232.0,232.0
2007-11-01,16.924,191.0,191.0
2007-12-01,29.906000000000002,336.0,336.0
