measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,,,,10.017000000000001,233.0,255.0,9087.933,210701.0,230387.0
2003-02-01,,,,,,,8.645,201.0,220.0,7843.167,181842.0,198831.0
2003-03-01,,,,,,,8.165,190.0,208.0,7407.637000000001,171744.0,187790.0
2003-04-01,,,,,,,7.982,186.0,203.0,7241.5960000000005,167895.0,183581.0
2003-05-01,,,,,,,8.391,195.0,213.0,7613.224,176511.0,193002.0
2003-06-01,,,,,,,8.822000000000001,205.0,224.0,8004.222000000001,185576.0,202914.0
2003-07-01,,,,,,,9.831000000000001,229.0,250.0,8919.095000000001,206787.0,226107.0
2003-08-01,,,,,,,10.235,238.0,260.0,9285.844000000001,215290.0,235404.0
2003-09-01,,,,,,,8.372,195.0,213.0,7595.462,176099.0,192551.0
2003-10-01,,,,,,,8.415,196.0,214.0,7634.921,177014.0,193552.0
2003-11-01,,,,,,,8.412,196.0,214.0,7632.179,176950.0,193482.0
2003-12-01,,,,,,,9.713000000000001,226.0,247.0,8812.719000000001,204321.0,223410.0
2004-01-01,,,,,,,5407.821,91846.21,454948.9,3684.9590000000003,62585.19,310008.05
2004-02-01,,,,,,,7883.26791,133889.1,582973.93,1298.75209,22057.95,96043.75
2004-03-01,,,,,,,4897.18516,83173.59,381923.62,3473.91484,59000.83,270925.05
2004-04-01,,,,,,,7357.36038,124957.11,543862.08,1512.31962,25685.17,111791.9
2004-05-01,,,,,,,6856.6094,116452.37,587160.75,1298.1806000000001,22048.25,111168.75
2004-06-01,,,,,,,2524.29137,42872.46,72479.7,5316.21863,90290.44,152644.0
2004-07-01,,,,,,,2511.70342,42658.67,55275.22,4417.00658,75018.26,97205.35
2004-08-01,,,,,,,6344.74686,107758.92,522011.49,800.27314,13591.81,65842.15
2004-09-01,,,,,,,4225.02281,71757.61,290623.52,2060.57719,34996.76,141739.4
2004-10-01,,,,,,,4880.75192,82894.49,406896.0,1469.83808,24963.67,122536.7
2004-11-01,,,,,,,5045.87445,85698.92,225000.27,2985.72555,50709.44,133136.3
2004-12-01,,,,,,,4329.13636,73525.87,251465.4,4186.49364,71103.24,243179.75
2005-01-01,,,,,,,3519.75165,59779.32,281579.09,5117.12835,86909.1,409368.75
2005-02-01,,,,,,,68.59483,1165.01,2994.25,9281.23517,157632.12,405137.5
2005-03-01,,,,,,,90.70428,1540.52,4530.38,5864.12572,99596.07,292893.75
2005-04-01,,,,,,,5627.300700000001,95573.84,548613.46,2247.1593000000003,38165.66,219078.72
2005-05-01,,,,,,,6137.63134,104241.28,536555.06,1860.01866,31590.48,162603.84
2005-06-01,,,,,,,5602.01521,95144.4,455760.96,1779.68479,30226.09,144789.12
2005-07-01,,,,,,,16823.31561,285726.5,576331.59,1919.02439,32592.63,65741.76
