measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed","Sludge Waste - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Sludge Waste - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,13.039000000000001,4392.0,4392.0,,,
2003-02-01,10.349,3486.0,3486.0,,,
2003-03-01,11.771,3965.0,3965.0,,,
2003-04-01,11.581000000000001,3901.0,3901.0,,,
2003-05-01,14.025,4724.0,4724.0,,,
2003-06-01,14.142000000000001,4764.0,4764.0,,,
2003-07-01,15.224,5128.0,5128.0,,,
2003-08-01,14.87,5009.0,5009.0,,,
2003-09-01,14.282,4811.0,4811.0,,,
2003-10-01,12.154,4094.0,4094.0,,,
2003-11-01,11.695,3939.0,3939.0,,,
2003-12-01,11.868,3998.0,3998.0,,,
2004-01-01,1257.6670000000001,16615.0,16615.0,,,
2004-02-01,1257.6670000000001,16615.0,16615.0,,,
2004-03-01,1257.6670000000001,16615.0,16615.0,,,
2004-04-01,1257.6670000000001,16615.0,16615.0,,,
2004-05-01,1257.6670000000001,16615.0,16615.0,,,
2004-06-01,1257.6670000000001,16615.0,16615.0,,,
2004-07-01,1257.6670000000001,16615.0,16615.0,,,
2004-08-01,1257.6670000000001,16615.0,16615.0,,,
2004-09-01,1257.6670000000001,16615.0,16615.0,,,
2004-10-01,1257.6670000000001,16615.0,16615.0,,,
2004-11-01,1257.6670000000001,16615.0,16615.0,,,
2004-12-01,1257.6670000000001,16615.0,16615.0,,,
2005-01-01,1343.6080000000002,18592.34,19000.25,,,
2005-02-01,1145.915,15856.74,16204.63,,,
2005-03-01,1280.164,17714.43,18103.07,,,
2005-04-01,1181.976,16355.74,16714.57,,,
2005-05-01,1295.045,17920.34,18313.5,,,
2005-06-01,1255.718,17376.15,17757.37,,,
2005-07-01,1349.09,18668.19,19077.77,,,
2005-08-01,1299.544,17982.59,18377.12,,,
2005-09-01,1237.2540000000001,17120.65,17496.26,,,
2005-10-01,1067.739,14774.96,15099.12,,,
2005-11-01,1188.923,16451.87,16812.82,,,
2005-12-01,1330.404,18409.63,18813.52,,,
2006-01-01,1212.5710000000001,16779.09,16854.99,,,
2006-02-01,1085.988,15027.49,15095.46,,,
2006-03-01,974.976,13491.34,13552.36,,,
2006-04-01,886.412,12265.85,12321.32,,,
2006-05-01,1031.6090000000002,14275.01,14339.58,,,
2006-06-01,701.62,9708.75,9752.67,,,
2006-07-01,930.6120000000001,12877.46,12935.7,,,
2006-08-01,914.7270000000001,12657.63,12714.89,,,
2006-09-01,850.618,11770.54,11823.77,,,
2006-10-01,974.749,13488.2,13549.2,,,
2006-11-01,1070.65,14815.25,14882.26,,,
2006-12-01,1098.027,15194.09,15262.81,,,
2007-01-01,1156.354,16001.0,16140.0,0.0,0.0,0.0
2007-02-01,1043.549,14440.0,14565.0,0.0,0.0,0.0
2007-03-01,1080.751,14955.0,15085.0,0.0,0.0,0.0
2007-04-01,882.4580000000001,12211.0,12317.0,0.0,0.0,0.0
2007-05-01,879.325,12168.0,12273.0,0.0,0.0,0.0
2007-06-01,1160.3680000000002,16057.0,16195.0,0.0,0.0,0.0
2007-07-01,1181.483,16349.0,16491.0,0.0,0.0,0.0
2007-08-01,1168.382,16167.0,16308.0,0.0,0.0,0.0
2007-09-01,1092.332,15115.0,15246.0,0.0,0.0,0.0
2007-10-01,993.234,13744.0,13863.0,0.0,0.0,0.0
2007-11-01,1035.739,14332.0,14456.0,0.0,0.0,0.0
2007-12-01,1249.284,17287.0,17437.0,0.0,0.0,0.0
2008-01-01,1421.375,19371.0,19371.0,0.0,0.0,0.0
2008-02-01,1198.733,16336.0,16336.0,0.0,0.0,0.0
2008-03-01,1413.4740000000002,19263.0,19263.0,0.0,0.0,0.0
2008-04-01,1513.703,20629.0,20629.0,0.0,0.0,0.0
2008-05-01,1330.835,18137.0,18137.0,0.0,0.0,0.0
2008-06-01,1216.968,16585.0,16585.0,0.0,0.0,0.0
2008-07-01,1232.279,16793.0,16793.0,0.0,0.0,0.0
2008-08-01,1158.9740000000002,15794.0,15794.0,0.0,0.0,0.0
2008-09-01,1098.208,14966.0,14966.0,0.0,0.0,0.0
2008-10-01,1137.912,15508.0,15508.0,0.0,0.0,0.0
2008-11-01,1235.718,16840.0,16840.0,0.0,0.0,0.0
2008-12-01,1452.3210000000001,19793.0,19793.0,0.0,0.0,0.0
2009-01-01,1484.93,20435.0,20435.0,0.0,0.0,0.0
2009-02-01,1278.433,17593.0,17593.0,0.0,0.0,0.0
2009-03-01,1463.215,20136.0,20136.0,0.0,0.0,0.0
2009-04-01,1328.295,18279.0,18279.0,0.0,0.0,0.0
2009-05-01,1025.955,14119.0,14119.0,0.0,0.0,0.0
2009-06-01,1261.786,17363.0,17363.0,0.0,0.0,0.0
2009-07-01,1287.34,17715.0,17715.0,0.0,0.0,0.0
2009-08-01,1367.699,18821.0,18821.0,0.0,0.0,0.0
2009-09-01,1227.476,16892.0,16892.0,0.0,0.0,0.0
2009-10-01,1224.8390000000002,16855.0,16855.0,0.0,0.0,0.0
2009-11-01,1295.141,17823.0,17823.0,0.0,0.0,0.0
