measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325844.0,3273282.0,3273282.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297416.0,3067477.0,3067477.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,873.0,11550.0,11550.0,0.0,0.0,0.0,74472.0,939332.0,939332.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,145.0,1503.0,1503.0,0.0,0.0,0.0,288309.0,2902747.0,2902747.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,13.0,136.0,136.0,0.0,0.0,0.0,316226.0,3168819.0,3168819.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2400.0,2400.0,0.0,0.0,0.0,308991.0,3153290.0,3153290.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334809.0,3383110.0,3383110.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,17.0,176.0,176.0,0.0,0.0,0.0,332679.0,3400076.0,3400076.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313068.0,3177725.0,3177725.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,74.0,762.0,762.0,0.0,0.0,0.0,320025.0,3208374.0,3208374.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,943.0,9903.0,9903.0,0.0,0.0,0.0,225026.0,2295868.0,2295868.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,836.0,8740.0,8740.0,0.0,0.0,0.0,285949.0,2902406.0,2902406.0
