measured_on,"Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-01-01,1533.1860000000001,9978.6,80214.5
2004-02-01,940.543,6121.44,49208.1
2004-03-01,1339.808,8720.02,70097.2
2004-04-01,1161.473,7559.34,60766.9
2004-05-01,806.5980000000001,5249.67,42200.3
2004-06-01,920.0360000000001,5987.97,48135.2
2004-07-01,1057.202,6880.7,55311.6
2004-08-01,1017.0740000000001,6619.53,53212.2
2004-09-01,1049.2820000000002,6829.16,54897.2
2004-10-01,1135.515,7390.4,59408.8
2004-11-01,1318.414,8580.78,68977.9
2004-12-01,1482.258,9647.14,77550.0
2005-01-01,1333.422,8678.46,74235.9
2005-02-01,1237.4930000000002,8054.11,68895.2
2005-03-01,1337.93,8707.79,74486.8
2005-04-01,1150.319,7486.75,64041.9
2005-05-01,1276.592,8308.58,71071.9
2005-06-01,1235.92,8043.88,68807.6
2005-07-01,1368.788,8908.63,76204.8
2005-08-01,1409.271,9172.11,78458.6
2005-09-01,1326.623,8634.21,73857.3
2005-10-01,1264.499,8229.88,70398.7
2005-11-01,1287.816,8381.63,71696.8
2005-12-01,1391.236,9054.73,77454.5
2006-01-01,1177.38,7662.87,71228.1
2006-02-01,1068.8690000000001,6956.64,64663.5
2006-03-01,1157.675,7534.63,70036.0
2006-04-01,1070.017,6964.11,64732.9
2006-05-01,1067.455,6947.43,64578.0
2006-06-01,1065.654,6935.71,64469.0
2006-07-01,1145.106,7452.82,69275.6
2006-08-01,1212.578,7891.96,73357.5
2006-09-01,1134.695,7385.06,68645.7
2006-10-01,1178.375,7669.35,71288.3
2006-11-01,1152.326,7499.81,69712.4
2006-12-01,1194.49,7774.22,72263.2
2007-01-01,690.807,4500.0,49990.0
2007-02-01,808.2130000000001,5260.0,58490.0
2007-03-01,888.341,5780.0,64280.0
2007-04-01,869.9830000000001,5660.0,62960.0
2007-05-01,864.2610000000001,5620.0,62540.0
2007-06-01,840.201,5470.0,60800.0
2007-07-01,802.775,5220.0,58090.0
2007-08-01,792.178,5160.0,57330.0
2007-09-01,606.14,3950.0,43860.0
2007-10-01,913.7760000000001,5950.0,66120.0
2007-11-01,875.306,5700.0,63340.0
2007-12-01,929.409,6050.0,67260.0
2008-01-01,1816.534,11823.0,97080.0
2008-02-01,1560.468,10156.0,83380.0
2008-03-01,1510.672,9832.0,80720.0
2008-04-01,1585.592,10320.0,84720.0
2008-05-01,1403.343,9134.0,74980.0
2008-06-01,1364.056,8878.0,72880.0
2008-07-01,1337.482,8705.0,71460.0
2008-08-01,1290.803,8401.0,68970.0
2008-09-01,815.773,5309.0,43590.0
2008-10-01,1622.885,10562.0,86710.0
2008-11-01,935.7940000000001,6091.0,50000.0
2008-12-01,1076.848,7009.0,57540.0
2009-01-01,701.533,4566.0,42870.0
2009-02-01,611.578,3980.0,37370.0
2009-03-01,699.517,4553.0,42740.0
2009-04-01,623.9440000000001,4061.0,38120.0
2009-05-01,746.268,4857.0,45600.0
2009-06-01,689.385,4487.0,42120.0
2009-07-01,777.874,5063.0,47530.0
2009-08-01,799.417,5203.0,48840.0
2009-09-01,748.013,4868.0,45700.0
2009-10-01,748.202,4870.0,45710.0
2009-11-01,717.558,4670.0,43840.0
2009-12-01,701.811,4568.0,42880.0
2010-01-01,505.817,3292.0,40720.0
2010-02-01,519.495,3381.0,41820.0
2010-03-01,589.587,3837.0,47460.0
2010-04-01,549.464,3576.0,44230.0
2010-05-01,550.76,3585.0,44340.0
2010-06-01,558.562,3635.0,44970.0
2010-07-01,573.794,3734.0,46190.0
2010-08-01,499.456,3251.0,40210.0
2010-09-01,579.85,3774.0,46680.0
2010-10-01,359.755,2341.0,28960.0
2010-11-01,339.382,2209.0,27320.0
2010-12-01,479.25800000000004,3119.0,38580.0
2011-01-01,769.268,5007.0,51940.0
2011-02-01,785.178,5110.0,53000.0
2011-03-01,771.667,5022.0,52090.0
2011-04-01,699.098,4550.0,47190.0
2011-05-01,713.641,4645.0,48170.0
2011-06-01,659.111,4290.0,44490.0
2011-07-01,721.996,4699.0,48740.0
2011-08-01,514.345,3348.0,34720.0
2011-09-01,214.875,1398.0,14500.0
2011-10-01,712.376,4636.0,48090.0
2011-11-01,846.084,5507.0,57110.0
2011-12-01,871.311,5671.0,58820.0
2012-01-01,1193.377,7767.0,66730.0
2012-02-01,1185.503,7716.0,66280.0
2012-03-01,1058.605,6890.0,59180.0
2012-04-01,1029.448,6700.0,57550.0
2012-05-01,1171.833,7627.0,65510.0
2012-06-01,1129.039,7348.0,63120.0
2012-07-01,1217.511,7924.0,68070.0
2012-08-01,1166.936,7595.0,65240.0
2012-09-01,1128.937,7348.0,63120.0
2012-10-01,1024.833,6670.0,57300.0
2012-11-01,1154.461,7514.0,64540.0
2012-12-01,1144.737,7450.0,64000.0
2013-01-01,996.021,6483.0,63830.0
2013-02-01,912.116,5936.0,58440.0
2013-03-01,966.778,6292.0,61940.0
2013-04-01,890.063,5793.0,57030.0
2013-05-01,972.795,6331.0,62330.0
2013-06-01,1028.675,6695.0,65910.0
2013-07-01,1059.632,6897.0,67890.0
2013-08-01,1050.284,6836.0,67290.0
2013-09-01,975.628,6350.0,62510.0
2013-10-01,863.983,5623.0,55360.0
2013-11-01,985.028,6411.0,63110.0
2013-12-01,1049.577,6831.0,67250.0
2014-01-01,837.678,5452.0,64320.0
2014-02-01,693.396,4513.0,53240.0
2014-03-01,817.159,5318.0,62740.0
2014-04-01,744.402,4845.0,57150.0
2014-05-01,797.109,5188.0,61200.0
2014-06-01,610.772,3975.0,46890.0
2014-07-01,680.797,4431.0,52270.0
2014-08-01,680.602,4430.0,52260.0
2014-09-01,73.394,478.0,5640.0
2014-10-01,649.374,4226.0,49860.0
2014-11-01,792.173,5156.0,60820.0
2014-12-01,686.754,4470.0,52730.0
2015-01-01,1303.869,8486.0,79940.0
