measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,,,,,,,3544.0,37296.0,124796.0
2001-02-01,,,,,,,4273.0,40175.0,140175.0
2001-03-01,,,,,,,4274.0,40618.0,96868.0
2001-04-01,,,,,,,3073.0,30882.0,103382.0
2001-05-01,,,,,,,4379.0,42062.0,142062.0
2001-06-01,,,,,,,4617.0,44071.0,150321.0
2001-07-01,,,,,,,3711.0,34837.0,128587.0
2001-08-01,,,,,,,4535.0,42926.0,145426.0
2001-09-01,,,,,,,3315.0,32110.0,115860.0
2001-10-01,,,,,,,3222.0,30534.0,100534.0
2001-11-01,,,,,,,1815.0,17528.0,58153.0
2001-12-01,,,,,,,4406.0,41939.0,135689.0
2002-01-01,4940.21,53599.0,156200.0,,,,,,
2002-02-01,4234.05,35208.0,141962.0,,,,,,
2002-03-01,5000.35,44828.0,153050.0,,,,,,
2002-04-01,559.69,5229.0,17332.0,,,,,,
2002-05-01,4182.64,36591.0,149354.0,,,,,,
2002-06-01,4177.79,33943.0,138706.0,,,,,,
2002-07-01,3321.28,21171.0,103874.0,,,,,,
2002-08-01,4133.17,33347.0,131477.0,,,,,,
2002-09-01,2561.77,23933.0,79331.0,,,,,,
2002-10-01,2561.77,23933.0,79331.0,,,,,,
2002-11-01,4419.32,133329.0,133476.0,,,,,,
2002-12-01,4011.92,121083.0,121246.0,,,,,,
2004-01-01,,,,0.0,0.0,0.0,3838.516,19604.68,127761.73
2004-02-01,,,,0.0,0.0,0.0,3468.6180000000004,17715.48,115449.95
2004-03-01,,,,0.0,0.0,0.0,3207.427,16381.48,106756.48
2004-04-01,,,,0.0,0.0,0.0,3158.442,16131.3,105126.0
2004-05-01,,,,0.0,0.0,0.0,2493.177,12733.55,82983.25
2004-06-01,,,,0.0,0.0,0.0,2880.195,14710.19,95864.83
2004-07-01,,,,0.0,0.0,0.0,3729.233,19046.53,124124.35
2004-08-01,,,,0.0,0.0,0.0,3963.822,20244.66,131932.5
2004-09-01,,,,0.0,0.0,0.0,3734.244,19072.12,124291.13
2004-10-01,,,,0.0,0.0,0.0,3835.822,19590.92,127672.13
2004-11-01,,,,0.0,0.0,0.0,3806.029,19438.75,126680.4
2004-12-01,,,,0.0,0.0,0.0,4009.635,20478.65,133457.28
2005-01-01,,,,,,,4003.657,20448.11,134959.3
2005-02-01,,,,,,,3635.1380000000004,18565.95,122536.93
2005-03-01,,,,,,,3896.634,19901.51,131351.68
2005-04-01,,,,,,,3205.6960000000004,16372.64,108060.93
2005-05-01,,,,,,,3045.4950000000003,15554.43,102660.6
2005-06-01,,,,,,,3903.68,19937.49,131589.15
2005-07-01,,,,,,,4355.367,22244.42,146815.2
2005-08-01,,,,,,,4313.924,22032.75,145418.18
2005-09-01,,,,,,,3886.18,19848.11,130999.4
2005-10-01,,,,,,,3639.239,18586.9,122675.18
2005-11-01,,,,,,,3573.869,18253.03,120471.58
2005-12-01,,,,,,,4122.393,21054.53,138961.9
2006-01-01,,,,,,,4289.1720000000005,21906.34,138207.65
2006-02-01,,,,,,,4032.7810000000004,20596.86,129946.08
2006-03-01,,,,,,,3938.08,20113.18,126894.6
2006-04-01,,,,,,,3941.831,20132.34,127015.35
2006-05-01,,,,,,,4145.6140000000005,21173.13,133581.7
