measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-09-01,382.994,4445.0,7640.0
2013-10-01,422.684,4905.0,8432.0
2013-11-01,409.042,4747.0,8160.0
2013-12-01,395.28,4587.0,7885.0
2014-01-01,461.345,5802.0,6518.0
2014-02-01,541.301,6808.0,7650.0
2014-03-01,579.131,7284.0,8184.0
2014-04-01,654.106,8227.0,9243.0
2014-05-01,569.284,7160.0,8045.0
2014-06-01,578.097,7271.0,8170.0
2014-07-01,588.793,7405.0,8320.0
2014-08-01,561.649,7064.0,7937.0
2014-09-01,494.209,6216.0,6984.0
2014-10-01,564.286,7097.0,7974.0
2014-11-01,842.287,10593.0,11902.0
2014-12-01,623.512,7842.0,8811.0
2015-01-01,1184.363,29.0,29.0
2015-02-01,1092.643,29.0,29.0
2015-03-01,1351.596,35.0,35.0
2015-04-01,1420.985,37.0,37.0
2015-05-01,1342.216,35.0,35.0
2015-06-01,1277.666,34.0,34.0
2015-07-01,1285.979,34.0,34.0
2015-08-01,1301.567,34.0,34.0
2015-09-01,1313.668,34.0,34.0
2015-10-01,1394.254,35.0,35.0
2015-11-01,1134.43,29.0,29.0
2015-12-01,1296.633,34.0,34.0
2016-01-01,991.553,40.0,40.0
2016-02-01,1026.811,42.0,42.0
2016-03-01,1290.823,52.0,52.0
2016-04-01,1067.041,44.0,44.0
2016-05-01,1203.06,49.0,49.0
2016-06-01,1071.14,44.0,44.0
2016-07-01,1016.713,42.0,42.0
2016-08-01,1131.425,45.0,45.0
2016-09-01,968.065,38.0,38.0
2016-10-01,966.449,38.0,38.0
2016-11-01,1033.322,42.0,42.0
2016-12-01,987.598,40.0,40.0
2017-01-01,898.9,3651.0,8546.0
2017-02-01,828.415,3365.0,7876.0
2017-03-01,920.752,3740.0,8754.0
2017-04-01,885.17,3595.0,8416.0
2017-05-01,873.589,3548.0,8306.0
2017-06-01,743.806,3021.0,7072.0
2017-07-01,745.804,3029.0,7091.0
2017-08-01,714.207,2901.0,6791.0
2017-09-01,829.028,3367.0,7882.0
2017-10-01,798.756,3244.0,7594.0
2017-11-01,827.191,3360.0,7865.0
2017-12-01,976.382,3966.0,9283.0
2018-01-01,1064.53,4324.0,9811.0
2018-02-01,922.548,3747.0,8503.0
2018-03-01,1054.168,4282.0,9716.0
2018-04-01,1062.228,4315.0,9790.0
2018-05-01,1015.764,4126.0,9362.0
2018-06-01,840.865,3416.0,7750.0
2018-07-01,846.948,3440.0,7806.0
2018-08-01,834.954,3392.0,7695.0
2018-09-01,848.113,3445.0,7817.0
2018-10-01,938.033,3810.0,8645.0
2018-11-01,917.474,3727.0,8456.0
2018-12-01,767.375,3117.0,7073.0
2019-01-01,460.582,1909.0,4774.0
2019-02-01,375.635,1557.0,3894.0
2019-03-01,506.554,2100.0,5251.0
2019-04-01,445.257,1846.0,4616.0
2019-05-01,498.026,2064.0,5163.0
2019-06-01,437.64,1814.0,4537.0
2019-07-01,448.472,1859.0,4649.0
2019-08-01,411.828,1707.0,4269.0
2019-09-01,404.42,1676.0,4192.0
2019-10-01,452.694,1876.0,4693.0
2019-11-01,394.899,1637.0,4093.0
2019-12-01,396.213,1642.0,4108.0
2020-01-01,842.694,3423.0,10982.0
2020-02-01,799.604,3248.0,10421.0
2020-03-01,865.296,3515.0,11277.0
2020-04-01,855.593,3475.0,11150.0
2020-05-01,756.526,3073.0,9860.0
2020-06-01,738.767,3001.0,9628.0
2020-07-01,702.378,2853.0,9154.0
2020-08-01,665.364,2703.0,8672.0
2020-09-01,783.923,3184.0,10217.0
2020-10-01,806.469,3276.0,10511.0
2020-11-01,667.2,2710.0,8695.0
2020-12-01,725.186,2946.0,9451.0
2021-01-01,857.007,3481.0,10292.0
2021-02-01,698.857,2839.0,8392.0
2021-03-01,688.477,2797.0,8268.0
2021-04-01,622.87,2530.0,7480.0
2021-05-01,729.685,2964.0,8763.0
2021-06-01,760.668,3090.0,9135.0
2021-07-01,791.685,3216.0,9507.0
2021-08-01,640.377,2601.0,7690.0
2021-09-01,785.42,3190.0,9432.0
2021-10-01,627.456,2549.0,7535.0
2021-11-01,685.641,2785.0,8233.0
2021-12-01,747.857,3038.0,8980.0
2022-01-01,886.001,3599.0,5988.0
2022-02-01,735.926,2989.0,4973.0
2022-03-01,881.358,3580.0,5955.0
2022-04-01,831.97,3379.0,5622.0
2022-05-01,778.128,3161.0,5258.0
2022-06-01,735.429,2987.0,4969.0
2022-07-01,844.989,3432.0,5710.0
2022-08-01,887.108,3603.0,5994.0
2022-09-01,890.625,3618.0,6018.0
2022-10-01,921.387,3743.0,6226.0
2022-11-01,889.491,3613.0,6010.0
2022-12-01,922.588,3747.0,6234.0
2023-01-01,485.723,3025.0,9809.0
2023-02-01,418.38,2605.0,8449.0
2023-03-01,376.34,2344.0,7601.0
2023-04-01,442.749,2757.0,8941.0
2023-05-01,414.301,2580.0,8367.0
2023-06-01,431.123,2685.0,8707.0
2023-07-01,423.713,2639.0,8557.0
2023-08-01,441.594,2750.0,8918.0
2023-09-01,411.293,2561.0,8307.0
2023-10-01,467.96,2914.0,9451.0
2023-11-01,495.781,3088.0,10012.0
2023-12-01,452.043,2815.0,9129.0
2024-01-01,671.435,2783.0,9154.0
2024-02-01,682.494,2829.0,9305.0
2024-03-01,650.389,2696.0,8868.0
2024-04-01,585.097,2425.0,7977.0
2024-05-01,670.047,2777.0,9135.0
2024-06-01,615.632,2552.0,8394.0
2024-07-01,657.154,2724.0,8960.0
2024-08-01,660.608,2738.0,9007.0
2024-09-01,632.911,2623.0,8629.0
2024-10-01,727.477,3015.0,9919.0
2024-11-01,670.459,2779.0,9141.0
2024-12-01,626.097,2595.0,8536.0
