measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2023-01-01,6.53,115.0,115.0
2023-02-01,6.158,108.0,108.0
2023-03-01,6.077,106.0,106.0
2023-04-01,5.869,102.0,102.0
2023-05-01,8.38,146.0,146.0
2023-06-01,9.68,169.0,169.0
2023-07-01,10.616,185.0,185.0
2023-08-01,11.685,204.0,204.0
2023-09-01,9.844,172.0,172.0
2023-10-01,7.266,127.0,127.0
2023-11-01,6.737,118.0,118.0
2023-12-01,7.158,125.0,125.0
2024-01-01,14.256,226.0,226.0
2024-02-01,9.843,156.0,156.0
2024-03-01,11.17,176.0,176.0
2024-04-01,10.494,166.0,166.0
2024-05-01,14.022,222.0,222.0
2024-06-01,15.819,250.0,250.0
2024-07-01,17.099,270.0,270.0
2024-08-01,19.321,305.0,305.0
2024-09-01,16.031,253.0,253.0
2024-10-01,13.886,220.0,220.0
2024-11-01,11.125,176.0,176.0
2024-12-01,11.934,188.0,188.0
