measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2007-01-01,375.533,4271.0,5197.0
2007-02-01,323.79,3682.0,4482.0
2007-03-01,470.949,5356.0,6519.0
2007-04-01,476.54600000000005,5420.0,6596.0
2007-05-01,508.12100000000004,5779.0,7033.0
2007-06-01,699.446,7955.0,9681.0
2007-07-01,922.8620000000001,10496.0,12774.0
2007-08-01,1007.5060000000001,11459.0,13945.0
2007-09-01,729.7270000000001,8300.0,10100.0
2007-10-01,578.067,6574.0,8001.0
2007-11-01,523.686,5956.0,7248.0
2007-12-01,631.767,7185.0,8745.0
2008-01-01,400.05400000000003,4399.0,4399.0
2008-02-01,390.214,4292.0,4292.0
2008-03-01,404.22700000000003,4445.0,4445.0
2008-04-01,455.069,5005.0,5005.0
2008-05-01,365.076,4015.0,4015.0
2008-06-01,619.942,6819.0,6819.0
2008-07-01,670.815,7378.0,7378.0
2008-08-01,517.3430000000001,5690.0,5690.0
2008-09-01,533.917,5872.0,5872.0
2008-10-01,336.136,3697.0,3697.0
2008-11-01,381.13300000000004,4192.0,4192.0
2008-12-01,277.074,3048.0,3048.0
2009-01-01,35.508,353.0,353.0
2009-02-01,30.94,308.0,308.0
2009-03-01,26.723000000000003,266.0,266.0
2009-04-01,32.476,322.0,322.0
2009-05-01,39.536,392.0,392.0
2009-06-01,41.144000000000005,409.0,409.0
2009-07-01,50.343,501.0,501.0
2009-08-01,59.328,589.0,589.0
2009-09-01,48.735,484.0,484.0
2009-10-01,44.512,442.0,442.0
2009-11-01,37.802,376.0,376.0
2009-12-01,36.953,368.0,368.0
2010-01-01,195.496,2118.0,2118.0
2010-02-01,170.293,1847.0,1847.0
2010-03-01,150.806,1635.0,1635.0
2010-04-01,179.167,1943.0,1943.0
2010-05-01,210.506,2282.0,2282.0
2010-06-01,270.584,2934.0,2934.0
2010-07-01,344.771,3738.0,3738.0
2010-08-01,296.754,3217.0,3217.0
2010-09-01,243.589,2641.0,2641.0
2010-10-01,202.815,2199.0,2199.0
2010-11-01,194.93,2113.0,2113.0
2010-12-01,219.28900000000002,2378.0,2378.0
2011-01-01,228.214,2492.0,2492.0
2011-02-01,211.346,2308.0,2308.0
2011-03-01,214.248,2340.0,2340.0
2011-04-01,255.21,2787.0,2787.0
2011-05-01,244.334,2668.0,2668.0
2011-06-01,286.323,3127.0,3127.0
2011-07-01,365.246,3988.0,3988.0
2011-08-01,306.085,3343.0,3343.0
2011-09-01,260.812,2849.0,2849.0
2011-10-01,259.473,2833.0,2833.0
2011-11-01,272.029,2971.0,2971.0
2011-12-01,260.68,2847.0,2847.0
2012-01-01,613.597,6711.0,6711.0
2012-02-01,615.888,6736.0,6736.0
2012-03-01,708.226,7746.0,7746.0
2012-04-01,723.115,7908.0,7908.0
2012-05-01,921.341,10076.0,10076.0
2012-06-01,918.98,10051.0,10051.0
2012-07-01,1173.032,12830.0,12830.0
2012-08-01,1053.35,11521.0,11521.0
2012-09-01,922.7,10092.0,10092.0
2012-10-01,722.299,7900.0,7900.0
2012-11-01,465.743,5093.0,5093.0
2012-12-01,470.729,5148.0,5148.0
2013-01-01,529.263,5951.0,5951.0
2013-02-01,540.814,6083.0,6083.0
2013-03-01,668.583,7519.0,7519.0
2013-04-01,673.081,7570.0,7570.0
2013-05-01,696.784,7837.0,7837.0
2013-06-01,794.017,8931.0,8931.0
2013-07-01,1124.184,12644.0,12644.0
2013-08-01,887.441,9981.0,9981.0
2013-09-01,757.647,8521.0,8521.0
2013-10-01,659.114,7413.0,7413.0
2013-11-01,626.127,7042.0,7042.0
2013-12-01,683.945,7693.0,7693.0
2014-01-01,653.17,7068.0,7068.0
2014-02-01,718.014,7769.0,7769.0
2014-03-01,765.517,8282.0,8282.0
2014-04-01,645.436,6984.0,6984.0
2014-05-01,644.959,6979.0,6979.0
2014-06-01,778.023,8418.0,8418.0
2014-07-01,1194.862,12928.0,12928.0
2014-08-01,1056.957,11436.0,11436.0
2014-09-01,1015.412,10986.0,10986.0
2014-10-01,935.553,10122.0,10122.0
2014-11-01,921.112,9966.0,9966.0
2014-12-01,935.985,10127.0,10127.0
2015-01-01,1170.218,12770.0,12770.0
2015-02-01,1030.874,11249.0,11249.0
2015-03-01,1418.864,15483.0,15483.0
2015-04-01,1105.702,12066.0,12066.0
