measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,8974.091,117173.0,261681.0,30.705,389.0,868.0
2003-02-01,7888.582,103000.0,230028.0,26.991,342.0,763.0
2003-03-01,7880.118,102890.0,229781.0,26.962,341.0,762.0
2003-04-01,6678.661,87202.0,194747.0,22.851000000000003,289.0,646.0
2003-05-01,7272.11,94951.0,212052.0,24.881,315.0,704.0
2003-06-01,7808.9310000000005,101960.0,227705.0,26.718,338.0,755.0
2003-07-01,8760.332,114382.0,255448.0,29.973000000000003,379.0,847.0
2003-08-01,9408.962000000001,122851.0,274361.0,32.193000000000005,408.0,910.0
2003-09-01,8023.128000000001,104757.0,233951.0,27.451,348.0,776.0
2003-10-01,8597.016,112250.0,250685.0,29.415,372.0,832.0
2003-11-01,8247.422,107685.0,240491.0,28.218,357.0,798.0
2003-12-01,8663.449,113117.0,252623.0,29.642000000000003,375.0,838.0
2004-01-01,9479.68122,112272.81,280133.63,23.697779999999998,280.67,700.29
2004-02-01,7640.20889,90486.97,225775.41,17.94311,212.51,530.24
2004-03-01,7368.02634,87263.37,217732.06,32.60066,386.11,963.38
2004-04-01,6853.71517,81172.13,202533.78,22.74783,269.41,672.22
2004-05-01,7998.64573,94732.13,236367.49,32.72627,387.59,967.09
2004-06-01,8176.32386,96836.47,241618.35,19.36214,229.32,572.17
2004-07-01,8477.3173,100401.3,250512.79,22.8597,270.74,675.53
2004-08-01,7931.498100000001,93936.86,234383.29,22.480900000000002,266.25,664.33
2004-09-01,7727.98187,91526.52,228369.09,29.78613,352.77,880.21
2004-10-01,7419.1801000000005,87869.22,219243.75,26.323900000000002,311.77,777.9
2004-11-01,7155.4365099999995,84745.56,211449.86,31.87249,377.48,941.86
2004-12-01,8504.29289,100720.77,251309.89,28.10211,332.83,830.44
2005-01-01,8414.49597,99657.26,244657.37,73.15903,866.46,2127.15
2005-02-01,7640.92887,90495.5,222137.83,16.84213,199.47,489.64
2005-03-01,8190.6548,97006.19,238117.37,14.452200000000001,171.16,420.15
2005-04-01,6738.26492,79804.78,195895.16,14.46008,171.26,420.38
2005-05-01,6401.51126,75816.43,186105.48,14.57974,172.68,423.86
2005-06-01,8205.40188,97180.85,238547.81,17.662119999999998,209.18,513.47
2005-07-01,9154.56909,108422.33,266149.92,33.44791,396.14,972.43
2005-08-01,9067.52624,107391.44,263617.24,29.62576,350.87,861.3
2005-09-01,8168.63992,96745.46,237478.53,16.48508,195.24,479.25
2005-10-01,7649.429800000001,90596.19,222388.31,23.110200000000003,273.71,671.87
2005-11-01,7512.16264,88970.44,218393.66,15.56336,184.32,452.46
2005-12-01,8664.67018,102620.2,251913.17,42.62582,504.84,1239.29
2006-01-01,6981.010700000001,82679.75,215460.72,68.1143,806.71,2102.27
2006-02-01,6563.71159,77737.46,202581.12,85.38441,1011.25,2635.29
2006-03-01,6409.57876,75911.98,197824.08,155.46624,1841.27,4798.28
2006-04-01,6415.6826,75984.28,198012.48,73.7144,873.04,2275.11
2006-05-01,6747.35709,79912.47,208249.2,50.91191,602.98,1571.34
2006-06-01,6902.37434,81748.43,213033.6,49.01766,580.54,1512.87
2006-07-01,7248.4092,85846.68,223713.6,60.762800000000006,719.65,1875.37
2006-08-01,7245.23558,85809.1,223615.68,64.65841999999999,765.78,1995.61
2006-09-01,6543.21143,77494.65,201948.48,37.80057,447.69,1166.67
2006-10-01,6406.18291,75871.76,197719.2,37.63709,445.76,1161.62
2006-11-01,6494.74665,76920.67,200452.56,61.159349999999996,724.34,1887.61
2006-12-01,6922.45715,81986.27,213653.52,68.13685,806.98,2102.96
