measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,12.777000000000001,126.0,126.0,8.346,82.0,82.0,11627.179,114636.0,114636.0
2003-02-01,11.789,116.0,116.0,7.7,76.0,76.0,10727.757,105768.0,105768.0
2003-03-01,12.996,128.0,128.0,8.488,84.0,84.0,11826.057,116596.0,116596.0
2003-04-01,12.29,121.0,121.0,8.027000000000001,79.0,79.0,11183.731,110264.0,110264.0
2003-05-01,14.071000000000002,139.0,139.0,9.191,91.0,91.0,12805.181,126250.0,126250.0
2003-06-01,14.661000000000001,145.0,145.0,9.576,94.0,94.0,13341.718,131540.0,131540.0
2003-07-01,18.823,186.0,186.0,12.295,121.0,121.0,17129.554,168885.0,168885.0
2003-08-01,17.684,174.0,174.0,11.551,114.0,114.0,16092.616,158662.0,158662.0
2003-09-01,16.16,159.0,159.0,10.555,104.0,104.0,14705.601999999999,144987.0,144987.0
2003-10-01,15.208,150.0,150.0,9.933,98.0,98.0,13839.267,136445.0,136445.0
2003-11-01,12.873000000000001,127.0,127.0,8.409,83.0,83.0,11714.938,115501.0,115501.0
2003-12-01,13.668000000000001,135.0,135.0,8.928,88.0,88.0,12438.4,122634.0,122634.0
2004-01-01,0.0,0.0,0.0,14.0,163.0,163.0,13223.0,157325.0,157325.0
2004-02-01,38.0,453.0,453.0,45.0,511.0,511.0,4975.0,59450.0,59450.0
2004-03-01,5.0,53.0,53.0,0.0,0.0,0.0,13220.0,152076.0,152076.0
2004-04-01,4.0,46.0,46.0,0.0,0.0,0.0,12820.0,150800.0,150800.0
2004-05-01,7.0,82.0,82.0,0.0,0.0,0.0,13196.0,150858.0,150858.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,13848.0,156803.0,156803.0
