measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2009-01-01,273.362,2748.0,2748.0
2009-02-01,240.64600000000002,2419.0,2419.0
2009-03-01,285.283,2868.0,2868.0
2009-04-01,289.51800000000003,2910.0,2910.0
2009-05-01,329.733,3315.0,3315.0
2009-06-01,301.565,3031.0,3031.0
2009-07-01,317.75300000000004,3194.0,3194.0
2009-08-01,315.06100000000004,3167.0,3167.0
2009-09-01,310.314,3119.0,3119.0
2009-10-01,323.822,3255.0,3255.0
2009-11-01,307.305,3089.0,3089.0
2009-12-01,304.63800000000003,3062.0,3062.0
2010-01-01,217.139,2274.0,2274.0
2010-02-01,187.56300000000002,1964.0,1964.0
2010-03-01,223.247,2338.0,2338.0
2010-04-01,215.144,2253.0,2253.0
2010-05-01,264.189,2766.0,2766.0
2010-06-01,249.60500000000002,2614.0,2614.0
2010-07-01,256.47200000000004,2685.0,2685.0
2010-08-01,255.71900000000002,2678.0,2678.0
2010-09-01,261.021,2733.0,2733.0
2010-10-01,249.655,2614.0,2614.0
2010-11-01,255.74,2678.0,2678.0
2010-12-01,247.506,2592.0,2592.0
2011-01-01,170.72,1876.0,1876.0
2011-02-01,159.545,1754.0,1754.0
2011-03-01,176.92,1945.0,1945.0
2011-04-01,190.279,2091.0,2091.0
2011-05-01,201.397,2214.0,2214.0
2011-06-01,212.321,2334.0,2334.0
2011-07-01,223.667,2459.0,2459.0
2011-08-01,202.356,2224.0,2224.0
2011-09-01,206.986,2275.0,2275.0
2011-10-01,219.114,2408.0,2408.0
2011-11-01,205.573,2259.0,2259.0
2011-12-01,216.122,2375.0,2375.0
2012-01-01,42.955,514.0,514.0
2012-02-01,37.236,446.0,446.0
2012-03-01,37.958,454.0,454.0
2012-04-01,43.135,516.0,516.0
2012-05-01,44.75,535.0,535.0
2012-06-01,46.578,557.0,557.0
2012-07-01,48.708,582.0,582.0
2012-08-01,41.478,496.0,496.0
2012-09-01,47.544,568.0,568.0
2012-10-01,45.359,542.0,542.0
2012-11-01,44.15,528.0,528.0
2012-12-01,44.149,528.0,528.0
2013-01-01,1.0,10.0,10.0
