measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2014-08-01,264.932,2520.0,2520.0
2014-09-01,261.638,2488.0,2488.0
2014-10-01,241.497,2297.0,2297.0
2014-11-01,196.192,1866.0,1866.0
2014-12-01,134.741,1281.0,1281.0
2015-01-01,158.958,1481.0,1481.0
2015-02-01,204.293,1904.0,1904.0
2015-03-01,291.624,2718.0,2718.0
2015-04-01,331.957,3094.0,3094.0
2015-05-01,333.225,3105.0,3105.0
2015-06-01,345.216,3217.0,3217.0
2015-07-01,349.603,3258.0,3258.0
2015-08-01,356.346,3321.0,3321.0
2015-09-01,294.889,2748.0,2748.0
2015-10-01,251.751,2346.0,2346.0
2015-11-01,230.674,2150.0,2150.0
2015-12-01,199.464,1859.0,1859.0
2016-01-01,150.726,1392.0,1392.0
2016-02-01,301.544,2784.0,2784.0
2016-03-01,262.236,2421.0,2421.0
2016-04-01,294.534,2719.0,2719.0
2016-05-01,363.614,3357.0,3357.0
2016-06-01,361.061,3333.0,3333.0
2016-07-01,415.82,3839.0,3839.0
2016-08-01,404.998,3739.0,3739.0
2016-09-01,377.369,3484.0,3484.0
2016-10-01,330.997,3056.0,3056.0
2016-11-01,289.776,2675.0,2675.0
2016-12-01,232.325,2145.0,2145.0
2017-01-01,102.596,945.0,945.0
2017-02-01,241.94,2229.0,2229.0
2017-03-01,282.516,2603.0,2603.0
2017-04-01,284.297,2619.0,2619.0
2017-05-01,385.309,3550.0,3550.0
2017-06-01,444.293,4093.0,4093.0
2017-07-01,422.916,3896.0,3896.0
2017-08-01,392.764,3619.0,3619.0
2017-09-01,388.608,3580.0,3580.0
2017-10-01,231.119,2129.0,2129.0
2017-11-01,190.741,1757.0,1757.0
2017-12-01,149.901,1381.0,1381.0
2018-01-01,123.225,1122.0,1122.0
2018-02-01,108.737,990.0,990.0
2018-03-01,309.324,2816.0,2816.0
2018-04-01,355.995,3241.0,3241.0
2018-05-01,364.552,3319.0,3319.0
2018-06-01,353.856,3222.0,3222.0
2018-07-01,397.869,3622.0,3622.0
2018-08-01,343.29,3125.0,3125.0
2018-09-01,286.54,2609.0,2609.0
2018-10-01,217.149,1977.0,1977.0
2018-11-01,97.49,888.0,888.0
2018-12-01,110.973,1010.0,1010.0
2019-01-01,65.031,579.0,579.0
2019-02-01,100.576,896.0,896.0
2019-03-01,142.856,1272.0,1272.0
2019-04-01,149.49,1331.0,1331.0
2019-05-01,154.054,1372.0,1372.0
2019-06-01,173.87,1548.0,1548.0
2019-07-01,209.55,1866.0,1866.0
2019-08-01,194.315,1730.0,1730.0
2019-09-01,140.464,1251.0,1251.0
2019-10-01,117.627,1047.0,1047.0
2019-11-01,70.003,623.0,623.0
2019-12-01,62.164,554.0,554.0
2020-01-01,114.785,1006.0,1006.0
2020-02-01,170.458,1494.0,1494.0
2020-03-01,250.685,2198.0,2198.0
2020-04-01,307.687,2697.0,2697.0
2020-05-01,362.715,3180.0,3180.0
2020-06-01,445.945,3910.0,3910.0
2020-07-01,428.426,3756.0,3756.0
2020-08-01,402.762,3531.0,3531.0
2020-09-01,315.202,2763.0,2763.0
2020-10-01,249.01,2183.0,2183.0
2020-11-01,169.247,1484.0,1484.0
2020-12-01,123.078,1079.0,1079.0
2021-01-01,104.568,925.0,925.0
2021-02-01,179.628,1589.0,1589.0
2021-03-01,370.816,3279.0,3279.0
2021-04-01,339.794,3005.0,3005.0
2021-05-01,392.195,3469.0,3469.0
2021-06-01,381.621,3375.0,3375.0
2021-07-01,334.856,2961.0,2961.0
2021-08-01,321.784,2846.0,2846.0
2021-09-01,379.414,3356.0,3356.0
2021-10-01,214.717,1899.0,1899.0
2021-11-01,154.298,1365.0,1365.0
2021-12-01,111.309,984.0,984.0
2022-01-01,89.18,304.0,304.0
2022-02-01,121.111,413.0,413.0
2022-03-01,166.031,566.0,566.0
2022-04-01,169.578,579.0,579.0
2022-05-01,227.672,777.0,777.0
2022-06-01,284.377,970.0,970.0
2022-07-01,246.084,840.0,840.0
2022-08-01,230.587,787.0,787.0
2022-09-01,192.917,658.0,658.0
2022-10-01,174.779,596.0,596.0
2022-11-01,107.768,368.0,368.0
2022-12-01,60.916,208.0,208.0
2023-01-01,57.0,194.0,194.0
2023-02-01,176.0,601.0,601.0
2023-03-01,227.0,775.0,775.0
2023-04-01,337.0,1150.0,1150.0
2023-05-01,430.0,1467.0,1467.0
2023-06-01,389.0,1327.0,1327.0
2023-07-01,407.0,1389.0,1389.0
2023-08-01,378.0,1290.0,1290.0
2023-09-01,297.0,1013.0,1013.0
2023-10-01,242.0,826.0,826.0
2023-11-01,221.0,754.0,754.0
2023-12-01,105.0,358.0,358.0
2024-01-01,53.0,181.0,181.0
2024-02-01,57.0,194.0,194.0
2024-03-01,86.0,293.0,293.0
2024-04-01,94.0,321.0,321.0
2024-05-01,88.0,300.0,300.0
2024-06-01,85.0,290.0,290.0
2024-07-01,80.0,273.0,273.0
2024-08-01,90.0,307.0,307.0
2024-09-01,63.0,215.0,215.0
2024-10-01,47.0,160.0,160.0
2024-11-01,40.0,136.0,136.0
2024-12-01,29.0,99.0,99.0
