measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,19.0,181.0,181.0,0.0,0.0,0.0
2001-02-01,24.0,234.0,234.0,0.0,0.0,0.0
2001-03-01,12.0,123.0,123.0,6.0,64.0,64.0
2001-04-01,23.0,169.0,169.0,0.0,0.0,0.0
2001-05-01,17.0,175.0,175.0,7.0,75.0,75.0
2001-06-01,19.0,187.0,187.0,2.0,16.0,16.0
2001-07-01,48.0,730.0,730.0,47.0,750.0,750.0
2001-08-01,560.0,5417.0,5417.0,95.0,962.0,962.0
2001-09-01,8.0,88.0,88.0,0.0,0.0,0.0
2001-10-01,6.0,70.0,70.0,7.0,76.0,76.0
2001-11-01,23.0,210.0,210.0,4.0,36.0,36.0
2001-12-01,12.0,111.0,111.0,0.0,0.0,0.0
2002-01-01,24.0,232.0,232.0,0.0,0.0,0.0
2002-02-01,26.0,238.0,238.0,0.0,0.0,0.0
2002-03-01,21.0,203.0,203.0,4.0,36.0,36.0
2002-04-01,1.0,12.0,12.0,5.0,61.0,61.0
2002-05-01,19.0,203.0,203.0,6.0,63.0,63.0
2002-06-01,94.0,858.0,858.0,0.0,0.0,0.0
2002-07-01,430.0,3985.0,3985.0,85.0,808.0,808.0
2002-08-01,34.0,696.0,696.0,66.0,1396.0,1396.0
2002-09-01,72.0,679.0,679.0,21.0,201.0,201.0
2002-10-01,14.0,191.0,191.0,15.0,210.0,210.0
2002-11-01,24.0,232.0,232.0,1.0,10.0,10.0
2002-12-01,11.0,116.0,116.0,5.0,57.0,57.0
2003-01-01,47.0,439.0,439.0,1.0,9.0,9.0
2003-02-01,324.0,3035.0,3035.0,41.0,373.0,373.0
2003-03-01,112.0,1037.0,1037.0,0.0,0.0,0.0
2003-04-01,22.0,204.0,204.0,3.0,31.0,31.0
2003-05-01,23.0,215.0,215.0,2.0,24.0,24.0
2003-06-01,124.0,1225.0,1225.0,13.0,127.0,127.0
2003-07-01,112.0,1134.0,1134.0,31.0,310.0,310.0
2003-08-01,209.0,2117.0,2117.0,77.0,794.0,794.0
2003-09-01,71.0,792.0,792.0,6.0,62.0,62.0
2003-10-01,19.0,179.0,179.0,6.0,68.0,68.0
2003-11-01,20.0,209.0,209.0,8.0,77.0,77.0
2003-12-01,16.0,157.0,157.0,7.0,63.0,63.0
2004-01-01,74.97200000000001,765.0,765.0,7.7410000000000005,83.0,83.0
2004-02-01,42.889,438.0,438.0,7.694,83.0,83.0
2004-03-01,26.39,269.0,269.0,8.805,95.0,95.0
2004-04-01,17.936,183.0,183.0,8.549000000000001,92.0,92.0
2004-05-01,18.232,186.0,186.0,9.494,102.0,102.0
2004-06-01,17.218,176.0,176.0,9.655,104.0,104.0
2004-07-01,19.624000000000002,200.0,200.0,10.181000000000001,109.0,109.0
2004-08-01,25.214000000000002,257.0,257.0,9.435,101.0,101.0
2004-09-01,25.724,263.0,263.0,8.849,95.0,95.0
2004-10-01,25.275,258.0,258.0,8.813,95.0,95.0
2004-11-01,23.077,236.0,236.0,8.03,86.0,86.0
2004-12-01,49.449000000000005,505.0,505.0,7.7540000000000004,83.0,83.0
2005-01-01,106.74600000000001,1058.54,1058.54,3.8080000000000003,37.89,37.89
2005-02-01,36.675,363.68,363.68,3.0460000000000003,30.32,30.32
2005-03-01,40.649,403.09,403.09,4.227,42.07,42.07
2005-04-01,49.238,488.26,488.26,4.013,39.93,39.93
2005-05-01,45.729,453.47,453.47,3.837,38.19,38.19
2005-06-01,59.352000000000004,588.56,588.56,7.243,72.09,72.09
2005-07-01,60.413000000000004,599.08,599.08,9.535,94.9,94.9
2005-08-01,70.971,703.78,703.78,9.472000000000001,94.27,94.27
2005-09-01,46.458000000000006,460.7,460.7,5.735,57.07,57.07
2005-10-01,51.593,511.62,511.62,4.066,40.47,40.47
2005-11-01,41.476,411.29,411.29,3.564,35.47,35.47
2005-12-01,87.7,869.67,869.67,4.455,44.34,44.34
2006-01-01,67.459,678.0,678.0,2.878,30.0,30.0
2006-02-01,35.299,355.0,355.0,3.254,34.0,34.0
2006-03-01,29.652,298.0,298.0,4.287,45.0,45.0
2006-04-01,56.799,571.0,571.0,3.548,37.0,37.0
2006-05-01,53.093,533.0,533.0,4.674,49.0,49.0
2006-06-01,48.258,485.0,485.0,6.02,63.0,63.0
2006-07-01,69.902,702.0,702.0,10.773,113.0,113.0
2006-08-01,67.805,681.0,681.0,9.573,101.0,101.0
2006-09-01,31.151,313.0,313.0,5.631,59.0,59.0
2006-10-01,32.905,331.0,331.0,6.099,64.0,64.0
2006-11-01,38.747,389.0,389.0,4.101,43.0,43.0
2006-12-01,42.932,431.0,431.0,4.163,44.0,44.0
2007-01-01,129.083,1236.0,1236.0,5.424,52.0,52.0
2007-02-01,59.662000000000006,573.0,573.0,4.229,40.0,40.0
2007-03-01,11.713000000000001,113.0,113.0,1.805,17.0,17.0
2007-04-01,9.396,91.0,91.0,0.9680000000000001,9.0,9.0
2007-05-01,161.25900000000001,1542.0,1542.0,2.827,27.0,27.0
2007-06-01,124.301,1191.0,1191.0,2.34,22.0,22.0
2007-07-01,13.007000000000001,125.0,125.0,8.076,77.0,77.0
2007-08-01,83.182,794.0,794.0,8.157,78.0,78.0
2007-09-01,11.149000000000001,108.0,108.0,1.5710000000000002,15.0,15.0
2007-10-01,4.41,40.0,40.0,1.09,10.0,10.0
2007-11-01,60.052,573.0,573.0,0.495,5.0,5.0
2007-12-01,16.966,164.0,164.0,0.8380000000000001,8.0,8.0
2008-01-01,35.515,348.0,348.0,1.985,20.0,20.0
2008-02-01,5.869000000000001,58.0,58.0,0.608,6.0,6.0
2008-03-01,22.901,226.0,226.0,1.528,15.0,15.0
2008-04-01,13.914000000000001,139.0,139.0,0.42700000000000005,4.0,4.0
2008-05-01,4.82,46.0,46.0,0.33,3.0,3.0
2008-06-01,2.055,17.0,17.0,2.063,20.0,20.0
2008-07-01,6.246,64.0,64.0,5.684,56.0,56.0
2008-08-01,22.295,220.0,220.0,6.79,67.0,67.0
2008-09-01,42.529,418.0,418.0,0.92,9.0,9.0
2008-10-01,107.49000000000001,1061.0,1061.0,1.286,13.0,13.0
2008-11-01,16.703,162.0,162.0,2.585,25.0,25.0
2008-12-01,15.767000000000001,157.0,157.0,2.69,27.0,27.0
2009-01-01,3.5860000000000003,29.0,29.0,4.065,40.0,40.0
2009-02-01,12.434000000000001,122.0,122.0,1.2790000000000001,12.0,12.0
2009-03-01,1.681,17.0,17.0,3.285,32.0,32.0
2009-04-01,8.454,81.0,81.0,3.592,35.0,35.0
2009-05-01,65.013,632.0,632.0,2.965,29.0,29.0
2009-06-01,26.756,261.0,261.0,9.177,89.0,89.0
2009-07-01,46.005,447.0,447.0,13.453000000000001,130.0,130.0
2009-08-01,34.166000000000004,331.0,331.0,13.62,132.0,132.0
2009-09-01,36.309000000000005,354.0,354.0,3.6910000000000003,36.0,36.0
2009-10-01,12.497,122.0,122.0,2.104,20.0,20.0
2009-11-01,22.699,220.0,220.0,1.266,12.0,12.0
2009-12-01,23.474,226.0,226.0,8.429,82.0,82.0
2010-01-01,29.274,307.0,307.0,1.739,18.0,18.0
2010-02-01,34.388,360.0,360.0,1.046,11.0,11.0
2010-03-01,4.635,46.0,46.0,1.28,13.0,13.0
2010-04-01,6.32,64.0,64.0,0.896,9.0,9.0
2010-05-01,37.363,389.0,389.0,1.9160000000000001,20.0,20.0
2010-06-01,24.837,255.0,255.0,5.744000000000001,60.0,60.0
2010-07-01,2.559,29.0,29.0,9.918000000000001,103.0,103.0
2010-08-01,8.92,93.0,93.0,15.488000000000001,161.0,161.0
2010-09-01,3.47,35.0,35.0,1.709,18.0,18.0
2010-10-01,18.994,197.0,197.0,1.429,15.0,15.0
2010-11-01,60.403000000000006,626.0,626.0,1.284,13.0,13.0
2010-12-01,17.321,180.0,180.0,1.067,11.0,11.0
2011-01-01,22.429,226.0,226.0,0.338,5.0,5.0
2011-02-01,7.028,70.0,70.0,0.306,3.0,3.0
2011-03-01,35.866,360.0,360.0,0.818,8.0,8.0
2011-04-01,24.575,249.0,249.0,0.338,3.0,3.0
2011-05-01,13.226,133.0,133.0,0.43,4.0,4.0
2011-06-01,24.667,249.0,249.0,1.206,12.0,12.0
2011-07-01,13.536,133.0,133.0,5.185,52.0,52.0
2011-08-01,6.976,70.0,70.0,3.303,33.0,33.0
2011-09-01,3.269,35.0,35.0,0.855,9.0,9.0
2011-10-01,9.783,99.0,99.0,0.316,3.0,3.0
2011-11-01,14.121,139.0,139.0,0.331,3.0,3.0
2011-12-01,13.887,139.0,139.0,0.211,2.0,2.0
2012-01-01,112.025,1137.0,1137.0,0.158,1.0,1.0
2012-02-01,206.735,2111.0,2111.0,0.125,1.0,1.0
2012-03-01,147.946,1514.0,1514.0,0.214,2.0,2.0
2012-04-01,449.555,4599.0,4599.0,0.592,6.0,6.0
2012-05-01,320.492,3277.0,3277.0,1.634,17.0,17.0
2012-06-01,85.61,876.0,876.0,3.52,36.0,36.0
2012-07-01,94.191,963.0,963.0,8.361,86.0,86.0
2012-08-01,79.162,812.0,812.0,3.1,32.0,32.0
2012-09-01,95.777,980.0,980.0,0.6,6.0,6.0
2012-10-01,76.512,783.0,783.0,0.352,4.0,4.0
2012-11-01,97.335,998.0,998.0,0.392,4.0,4.0
2012-12-01,52.493,539.0,539.0,0.119,1.0,1.0
2013-01-01,9.513,99.0,99.0,0.186,2.0,2.0
2013-02-01,5.705,58.0,58.0,0.255,5.0,5.0
2013-03-01,15.28,151.0,151.0,0.434,4.0,4.0
2013-04-01,76.646,771.0,771.0,0.548,5.0,5.0
2013-05-01,27.281,272.0,272.0,1.005,10.0,10.0
