measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2011-01-01,0.0,0.0,0.0,139.229,1438.0,1438.0
2011-02-01,0.0,0.0,0.0,26.395,274.0,274.0
2011-03-01,0.0,0.0,0.0,15.284,157.0,157.0
2011-04-01,0.0,0.0,0.0,6.227,64.0,64.0
2011-05-01,0.0,0.0,0.0,1.715,17.0,17.0
2011-06-01,0.0,0.0,0.0,54.224,559.0,559.0
2011-07-01,0.0,0.0,0.0,91.469,949.0,949.0
2011-08-01,0.0,0.0,0.0,55.292,570.0,570.0
2011-09-01,0.0,0.0,0.0,30.683,320.0,320.0
2011-10-01,0.0,0.0,0.0,4.667,47.0,47.0
2011-11-01,0.0,0.0,0.0,17.79,186.0,186.0
2011-12-01,0.0,0.0,0.0,11.025,116.0,116.0
2012-01-01,12.813,128.0,128.0,0.0,0.0,0.0
2012-02-01,11.986,122.0,122.0,0.0,0.0,0.0
2012-03-01,27.573,279.0,279.0,0.0,0.0,0.0
2012-04-01,12.673,128.0,128.0,0.0,0.0,0.0
2012-05-01,33.448,343.0,343.0,0.0,0.0,0.0
2012-06-01,140.188,1432.0,1432.0,0.0,0.0,0.0
2012-07-01,112.541,1147.0,1147.0,0.0,0.0,0.0
2012-08-01,55.811,570.0,570.0,0.0,0.0,0.0
2012-09-01,10.331,105.0,105.0,0.0,0.0,0.0
2012-10-01,35.743,367.0,367.0,0.0,0.0,0.0
2012-11-01,20.751,210.0,210.0,0.0,0.0,0.0
2012-12-01,18.142,186.0,186.0,0.0,0.0,0.0
2013-01-01,193.55,1939.0,1939.0,0.0,0.0,0.0
2013-02-01,138.368,1387.0,1387.0,0.0,0.0,0.0
2013-03-01,5.901,58.0,58.0,0.0,0.0,0.0
2013-04-01,2.817,29.0,29.0,0.0,0.0,0.0
2013-05-01,2.611,29.0,29.0,0.0,0.0,0.0
2013-06-01,10.847,109.0,109.0,0.0,0.0,0.0
2013-07-01,80.183,800.0,800.0,0.0,0.0,0.0
2013-08-01,14.837,150.0,150.0,0.0,0.0,0.0
2013-09-01,9.379,92.0,92.0,0.0,0.0,0.0
2013-10-01,1.404,12.0,12.0,0.0,0.0,0.0
2013-11-01,9.444,92.0,92.0,0.0,0.0,0.0
2013-12-01,181.659,1819.0,1819.0,0.0,0.0,0.0
2014-01-01,457.588,4580.0,4580.0,0.0,0.0,0.0
2014-02-01,136.811,1368.0,1368.0,0.0,0.0,0.0
2014-03-01,153.411,1536.0,1536.0,0.0,0.0,0.0
2014-04-01,1.444,12.0,12.0,0.0,0.0,0.0
2014-05-01,0.451,6.0,6.0,0.0,0.0,0.0
2014-06-01,4.044,41.0,41.0,0.0,0.0,0.0
2014-07-01,6.471,64.0,64.0,0.0,0.0,0.0
2014-08-01,15.74,157.0,157.0,0.0,0.0,0.0
2014-09-01,6.104,64.0,64.0,0.0,0.0,0.0
2014-10-01,2.226,23.0,23.0,0.0,0.0,0.0
2014-11-01,7.375,76.0,76.0,0.0,0.0,0.0
2014-12-01,20.335,204.0,204.0,0.0,0.0,0.0
2015-01-01,28.65,41.0,41.0,0.0,0.0,0.0
2015-02-01,636.851,693.0,693.0,0.0,0.0,0.0
2015-03-01,9.8,12.0,12.0,0.0,0.0,0.0
2015-04-01,13.468,17.0,17.0,0.0,0.0,0.0
2015-05-01,7.759,6.0,6.0,0.0,0.0,0.0
2015-06-01,2.122,0.0,0.0,0.0,0.0,0.0
2015-07-01,38.494,41.0,41.0,0.0,0.0,0.0
2015-08-01,13.269,12.0,12.0,0.0,0.0,0.0
2015-09-01,28.488,29.0,29.0,0.0,0.0,0.0
2015-10-01,3.414,6.0,6.0,0.0,0.0,0.0
2015-11-01,2.236,0.0,0.0,0.0,0.0,0.0
2015-12-01,4.449,6.0,6.0,0.0,0.0,0.0
2016-01-01,49.56,501.0,501.0,0.0,0.0,0.0
2016-02-01,27.812,285.0,285.0,0.0,0.0,0.0
2016-03-01,7.74,81.0,81.0,0.0,0.0,0.0
2016-04-01,17.553,180.0,180.0,0.0,0.0,0.0
2016-05-01,98.474,1007.0,1007.0,0.0,0.0,0.0
2016-06-01,18.2,186.0,186.0,0.0,0.0,0.0
2016-07-01,101.967,1042.0,1042.0,0.0,0.0,0.0
2016-08-01,187.734,1921.0,1921.0,0.0,0.0,0.0
2016-09-01,29.911,308.0,308.0,0.0,0.0,0.0
2016-10-01,4.167,41.0,41.0,0.0,0.0,0.0
2016-11-01,28.203,291.0,291.0,0.0,0.0,0.0
2016-12-01,109.679,1123.0,1123.0,0.0,0.0,0.0
2017-01-01,2.594,87.0,87.0,0.0,0.0,0.0
2017-02-01,4.704,134.0,134.0,0.0,0.0,0.0
2017-03-01,30.297,873.0,873.0,0.0,0.0,0.0
2017-04-01,5.334,151.0,151.0,0.0,0.0,0.0
2017-05-01,6.249,180.0,180.0,0.0,0.0,0.0
2017-06-01,5.546,157.0,157.0,0.0,0.0,0.0
2017-07-01,6.892,198.0,198.0,0.0,0.0,0.0
2017-08-01,6.083,175.0,175.0,0.0,0.0,0.0
2017-09-01,7.137,204.0,204.0,0.0,0.0,0.0
2017-10-01,5.411,157.0,157.0,0.0,0.0,0.0
2017-11-01,10.999,314.0,314.0,0.0,0.0,0.0
2017-12-01,53.754,1548.0,1548.0,0.0,0.0,0.0
2018-01-01,340.227,3445.0,3445.0,0.0,0.0,0.0
2018-02-01,13.095,134.0,134.0,0.0,0.0,0.0
2018-03-01,14.538,146.0,146.0,0.0,0.0,0.0
2018-04-01,11.145,111.0,111.0,0.0,0.0,0.0
2018-05-01,12.359,128.0,128.0,0.0,0.0,0.0
2018-06-01,10.638,111.0,111.0,0.0,0.0,0.0
2018-07-01,14.659,151.0,151.0,0.0,0.0,0.0
2018-08-01,26.406,268.0,268.0,0.0,0.0,0.0
2018-09-01,12.986,134.0,134.0,0.0,0.0,0.0
2018-10-01,11.758,122.0,122.0,0.0,0.0,0.0
2018-11-01,25.284,256.0,256.0,0.0,0.0,0.0
2018-12-01,13.905,140.0,140.0,0.0,0.0,0.0
2019-01-01,65.0,646.0,646.0,0.0,0.0,0.0
2019-02-01,40.658,402.0,402.0,0.0,0.0,0.0
2019-03-01,42.378,419.0,419.0,0.0,0.0,0.0
2019-04-01,32.917,326.0,326.0,0.0,0.0,0.0
2019-05-01,16.831,169.0,169.0,0.0,0.0,0.0
2019-06-01,20.5,204.0,204.0,0.0,0.0,0.0
2019-07-01,27.874,279.0,279.0,0.0,0.0,0.0
2019-08-01,53.162,530.0,530.0,0.0,0.0,0.0
2019-09-01,25.609,256.0,256.0,0.0,0.0,0.0
2019-10-01,40.282,402.0,402.0,0.0,0.0,0.0
2019-11-01,55.675,553.0,553.0,0.0,0.0,0.0
2019-12-01,63.114,629.0,629.0,0.0,0.0,0.0
2020-01-01,44.06,431.0,431.0,0.0,0.0,0.0
2020-02-01,47.025,471.0,471.0,0.0,0.0,0.0
2020-03-01,36.545,367.0,367.0,0.0,0.0,0.0
2020-04-01,40.602,407.0,407.0,0.0,0.0,0.0
2020-05-01,28.406,285.0,285.0,0.0,0.0,0.0
2020-06-01,27.593,274.0,274.0,0.0,0.0,0.0
2020-07-01,32.781,326.0,326.0,0.0,0.0,0.0
2020-08-01,30.929,308.0,308.0,0.0,0.0,0.0
2020-09-01,35.069,349.0,349.0,0.0,0.0,0.0
2020-10-01,55.054,547.0,547.0,0.0,0.0,0.0
2020-11-01,55.44,553.0,553.0,0.0,0.0,0.0
2020-12-01,310.496,3096.0,3096.0,0.0,0.0,0.0
2021-01-01,44.695,466.0,466.0,0.0,0.0,0.0
2021-02-01,60.836,640.0,640.0,0.0,0.0,0.0
2021-03-01,35.023,367.0,367.0,0.0,0.0,0.0
2021-04-01,49.149,512.0,512.0,0.0,0.0,0.0
2021-05-01,25.98,274.0,274.0,0.0,0.0,0.0
2021-06-01,36.503,384.0,384.0,0.0,0.0,0.0
2021-07-01,14.995,157.0,157.0,0.0,0.0,0.0
2021-08-01,22.665,239.0,239.0,0.0,0.0,0.0
2021-09-01,60.051,629.0,629.0,0.0,0.0,0.0
2021-10-01,88.414,925.0,925.0,0.0,0.0,0.0
2021-11-01,31.975,338.0,338.0,0.0,0.0,0.0
2021-12-01,29.714,308.0,308.0,0.0,0.0,0.0
2022-01-01,273.258,2712.0,2712.0,0.0,0.0,0.0
2022-02-01,39.204,390.0,390.0,0.0,0.0,0.0
2022-03-01,5.292,52.0,52.0,0.0,0.0,0.0
2022-04-01,2.657,29.0,29.0,0.0,0.0,0.0
2022-05-01,1.851,17.0,17.0,0.0,0.0,0.0
2022-06-01,13.885,140.0,140.0,0.0,0.0,0.0
2022-07-01,8.544,87.0,87.0,0.0,0.0,0.0
2022-08-01,2.547,23.0,23.0,0.0,0.0,0.0
2022-09-01,5.106,52.0,52.0,0.0,0.0,0.0
2022-10-01,3.967,41.0,41.0,0.0,0.0,0.0
2022-11-01,4.492,47.0,47.0,0.0,0.0,0.0
2022-12-01,94.197,937.0,937.0,0.0,0.0,0.0
2023-01-01,57.287,559.0,559.0,0.0,0.0,0.0
2023-02-01,70.978,681.0,681.0,0.0,0.0,0.0
2023-03-01,36.527,349.0,349.0,0.0,0.0,0.0
2023-04-01,38.088,367.0,367.0,0.0,0.0,0.0
2023-05-01,15.635,151.0,151.0,0.0,0.0,0.0
2023-06-01,56.881,547.0,547.0,0.0,0.0,0.0
2023-07-01,91.018,873.0,873.0,0.0,0.0,0.0
2023-08-01,28.653,274.0,274.0,0.0,0.0,0.0
