measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,,,,78605.0,816286.0,816286.0,,,,155.0,1140.0,1140.0,,,,,,,198202.0,2023175.0,2023175.0,2551.0,26651.0,26651.0
2003-02-01,,,,62217.0,651611.0,651611.0,,,,134.0,995.0,995.0,,,,,,,178609.0,1838708.0,1838708.0,1497.0,15776.0,15776.0
2003-03-01,,,,118968.0,1261231.0,1261231.0,,,,158.0,1185.0,1185.0,,,,,,,184183.0,1919313.0,1919313.0,2203.0,23490.0,23490.0
2003-04-01,,,,63119.0,634469.0,634469.0,,,,295.0,2098.0,2098.0,,,,,,,147526.0,1457645.0,1457645.0,1552.0,15689.0,15689.0
2003-05-01,,,,46465.0,496174.0,496174.0,,,,72.0,545.0,545.0,,,,,,,117924.0,1237775.0,1237775.0,1690.0,18154.0,18154.0
2003-06-01,,,,77864.0,819003.0,819003.0,,,,77.0,575.0,575.0,,,,,,,199258.0,2060135.0,2060135.0,2171.0,22968.0,22968.0
2003-07-01,,,,84784.0,902686.0,902686.0,,,,70.0,528.0,528.0,,,,,,,210101.0,2198788.0,2198788.0,4240.0,45414.0,45414.0
2003-08-01,,,,77261.0,834885.0,834885.0,,,,123.0,938.0,938.0,,,,,,,206482.0,2193223.0,2193223.0,2847.0,30943.0,30943.0
2003-09-01,,,,70562.0,754980.0,754980.0,,,,91.0,693.0,693.0,,,,,,,152582.0,1604715.0,1604715.0,1943.0,20909.0,20909.0
2003-10-01,,,,78687.0,796254.0,796254.0,,,,109.0,783.0,783.0,,,,,,,199818.0,1987545.0,1987545.0,3108.0,31639.0,31639.0
2003-11-01,,,,78454.0,802034.0,802034.0,,,,172.0,1245.0,1245.0,,,,,,,202219.0,2032048.0,2032048.0,2676.0,27521.0,27521.0
2003-12-01,,,,85613.0,905774.0,905774.0,,,,196.0,1468.0,1468.0,,,,,,,219876.0,2286585.0,2286585.0,3292.0,35032.0,35032.0
2004-01-01,,,,88025.0,926843.0,926843.0,,,,84.0,628.0,628.0,,,,,,,223556.0,2313763.0,2313763.0,2196.0,23258.0,23258.0
2004-02-01,,,,74989.0,807171.0,807171.0,,,,239.0,1823.0,1823.0,,,,,,,180820.0,1913135.0,1913135.0,1915.0,20735.0,20735.0
2004-03-01,,,,88383.0,947196.0,947196.0,,,,302.0,2293.0,2293.0,,,,,,,190628.0,2008108.0,2008108.0,3414.0,36801.0,36801.0
2004-04-01,,,,47754.0,540461.0,540461.0,,,,57.0,455.0,455.0,,,,,,,100521.0,1118268.0,1118268.0,904.0,10295.0,10295.0
2004-05-01,,,,19892.0,250507.0,250507.0,,,,15.0,135.0,135.0,,,,,,,45010.0,557183.0,557183.0,0.0,0.0,0.0
2004-06-01,,,,66507.0,714793.0,714793.0,,,,70.0,535.0,535.0,,,,,,,180378.0,1905575.0,1905575.0,7725.0,83520.0,83520.0
