measured_on,Blast Furnace Gas Generation,Blast Furnace Gas Quantity Consumed For Electricity,Blast Furnace Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed
2001-01-01,10885.872,135844.0,215302.0,5612.678,71238.0,112206.0,,,
2001-02-01,8451.256000000001,105463.0,167150.0,4357.407,55306.0,87111.0,,,
2001-03-01,9736.212000000001,121498.0,192564.0,5019.921,63715.0,100356.0,,,
2001-04-01,4289.771000000001,53532.0,84843.0,2211.775,28073.0,44217.0,,,
2001-05-01,9009.75,112432.0,178196.0,4645.363,58961.0,92868.0,,,
2001-06-01,11109.23,138631.0,219719.0,5727.84,72700.0,114508.0,,,
2001-07-01,14213.012999999999,177363.0,281106.0,7328.128000000001,93011.0,146500.0,,,
2001-08-01,11809.014,147364.0,233560.0,6088.643,77279.0,121721.0,,,
2001-09-01,10423.814,130078.0,206163.0,5374.444,68215.0,107443.0,,,
2001-10-01,8761.141,109330.0,173279.0,4517.182,57334.0,90305.0,,,
2001-11-01,11160.423,139270.0,220732.0,5754.235000000001,73035.0,115036.0,,,
2001-12-01,8794.505000000001,109746.0,173939.0,4534.384,57552.0,90649.0,,,
2002-01-01,10748.097,77094.0,191357.0,3795.3790000000004,27224.0,67573.0,,,
2002-02-01,7920.48,56812.0,141015.0,2796.889,20062.0,49796.0,,,
2002-03-01,13221.713,94837.0,235397.0,4668.866,33489.0,83125.0,,,
2002-04-01,12798.595000000001,91802.0,227864.0,4519.454000000001,32417.0,80464.0,,,
2002-05-01,10308.758,73943.0,183536.0,3640.24,26111.0,64811.0,,,
2002-06-01,11789.566,84564.0,209900.0,4163.144,29862.0,74121.0,,,
2002-07-01,21300.937,152787.0,379239.0,7521.81,53953.0,133918.0,,,
2002-08-01,19152.433,137377.0,340987.0,6763.128000000001,48511.0,120411.0,,,
2002-09-01,15095.483,108277.0,268758.0,5330.533,38235.0,94905.0,,,
2002-10-01,12471.575,89456.0,222042.0,4403.976000000001,31589.0,78408.0,,,
2002-11-01,9484.415,68030.0,168859.0,3349.147,24023.0,59628.0,,,
2002-12-01,11022.948,79065.0,196251.0,3892.4350000000004,27920.0,69301.0,,,
2003-01-01,11339.199,150129.0,297566.0,2859.29,37856.0,75033.0,,,
2003-02-01,9967.606,131969.0,261573.0,2513.43,33277.0,65957.0,,,
2003-03-01,9956.911,131828.0,261292.0,2510.733,33241.0,65887.0,,,
2003-04-01,8438.811,111728.0,221454.0,2127.929,28173.0,55841.0,,,
2003-05-01,9188.663,121656.0,241131.0,2317.012,30677.0,60803.0,,,
2003-06-01,9866.963,130637.0,258932.0,2488.052,32941.0,65291.0,,,
2003-07-01,11069.104,146553.0,290479.0,2791.183,36954.0,73246.0,,,
2003-08-01,11888.68,157404.0,311986.0,2997.847,39691.0,78669.0,,,
2003-09-01,10137.611,134220.0,266034.0,2556.2980000000002,33845.0,67082.0,,,
2003-10-01,10862.746,143821.0,285063.0,2739.148,36265.0,71881.0,,,
2003-11-01,10421.018,137973.0,273471.0,2627.762,34791.0,68958.0,,,
2003-12-01,10946.688,144932.0,287266.0,2760.315,36546.0,72436.0,,,
2004-01-01,11843.10096,78538.18,350251.2,2086.09904,13834.08,61694.88,,,
