measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2015-01-01,462.493,6379.0,6379.0
2015-02-01,430.222,5933.0,5933.0
2015-03-01,448.386,6183.0,6183.0
2015-04-01,395.937,5460.0,5460.0
2015-05-01,432.448,5963.0,5963.0
2015-06-01,486.029,6703.0,6703.0
2015-07-01,495.349,6831.0,6831.0
2015-08-01,477.157,6580.0,6580.0
2015-09-01,467.014,6440.0,6440.0
2015-10-01,449.636,6200.0,6200.0
2015-11-01,416.665,5746.0,5746.0
2015-12-01,474.664,6546.0,6546.0
2016-01-01,555.622,6558.0,6558.0
2016-02-01,525.554,6202.0,6202.0
2016-03-01,483.778,5709.0,5709.0
2016-04-01,478.121,5643.0,5643.0
2016-05-01,560.567,6615.0,6615.0
2016-06-01,552.962,6525.0,6525.0
2016-07-01,533.999,6302.0,6302.0
2016-08-01,516.593,6097.0,6097.0
2016-09-01,545.709,6440.0,6440.0
2016-10-01,531.302,6270.0,6270.0
2016-11-01,542.044,6397.0,6397.0
2016-12-01,537.749,6346.0,6346.0
2017-01-01,446.244,5541.0,5541.0
2017-02-01,403.694,5012.0,5012.0
2017-03-01,452.07,5613.0,5613.0
2017-04-01,406.365,5045.0,5045.0
2017-05-01,442.902,5499.0,5499.0
2017-06-01,453.279,5628.0,5628.0
2017-07-01,449.44,5580.0,5580.0
2017-08-01,450.83,5597.0,5597.0
2017-09-01,422.761,5249.0,5249.0
2017-10-01,356.687,4429.0,4429.0
2017-11-01,425.803,5287.0,5287.0
2017-12-01,468.925,5822.0,5822.0
2018-01-01,197.071,2722.0,2722.0
2018-02-01,184.168,2544.0,2544.0
2018-03-01,182.888,2527.0,2527.0
2018-04-01,173.729,2400.0,2400.0
2018-05-01,177.716,2455.0,2455.0
2018-06-01,177.92,2458.0,2458.0
2018-07-01,190.984,2639.0,2639.0
2018-08-01,199.02,2750.0,2750.0
2018-09-01,192.374,2658.0,2658.0
2018-10-01,193.868,2678.0,2678.0
2018-11-01,190.088,2626.0,2626.0
2018-12-01,202.174,2793.0,2793.0
