measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1.39,10.0,10.0,113.578,2191.0,2191.0,0.0,0.0,0.0
2003-02-01,1.1480000000000001,8.0,8.0,93.851,1811.0,1811.0,0.0,0.0,0.0
2003-03-01,1.219,9.0,9.0,99.67,1923.0,1923.0,0.0,0.0,0.0
2003-04-01,1.1620000000000001,9.0,9.0,94.936,1832.0,1832.0,0.0,0.0,0.0
2003-05-01,1.196,9.0,9.0,97.777,1886.0,1886.0,0.0,0.0,0.0
2003-06-01,1.262,9.0,9.0,103.152,1990.0,1990.0,0.0,0.0,0.0
2003-07-01,1.5190000000000001,11.0,11.0,124.18,2396.0,2396.0,0.0,0.0,0.0
2003-08-01,1.469,11.0,11.0,120.034,2316.0,2316.0,0.0,0.0,0.0
2003-09-01,1.1820000000000002,9.0,9.0,96.646,1865.0,1865.0,0.0,0.0,0.0
2003-10-01,1.13,8.0,8.0,92.361,1782.0,1782.0,0.0,0.0,0.0
2003-11-01,0.9470000000000001,7.0,7.0,77.37400000000001,1493.0,1493.0,0.0,0.0,0.0
2003-12-01,1.3760000000000001,10.0,10.0,112.44200000000001,2169.0,2169.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0,5.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.252,4.0,4.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.317,5.0,5.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.681,11.0,11.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.35,5.0,5.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.9430000000000001,15.0,15.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.525,8.0,8.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1.3760000000000001,21.0,21.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2.077,32.0,32.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.553,9.0,9.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.308,5.0,5.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.32,5.0,5.0
2005-01-01,41.612,501.39,501.39,0.0,0.0,0.0,13.377,252.41,252.41
2005-02-01,21.119,254.47,254.47,0.0,0.0,0.0,11.105,209.53,209.53
2005-03-01,25.56,307.98,307.98,0.0,0.0,0.0,13.752,259.49,259.49
2005-04-01,26.634,320.93,320.93,0.0,0.0,0.0,13.55,255.68,255.68
2005-05-01,31.384,378.15,378.15,0.0,0.0,0.0,15.974,301.4,301.4
2005-06-01,28.415,342.37,342.37,0.0,0.0,0.0,20.159000000000002,380.38,380.38
2005-07-01,45.499,548.23,548.23,0.0,0.0,0.0,25.265,476.73,476.73
2005-08-01,50.352000000000004,606.7,606.7,0.0,0.0,0.0,26.172,493.84,493.84
2005-09-01,50.002,602.49,602.49,0.0,0.0,0.0,19.915,375.78,375.78
2005-10-01,29.836000000000002,359.51,359.51,0.0,0.0,0.0,15.91,300.2,300.2
2005-11-01,23.782,286.56,286.56,0.0,0.0,0.0,13.574,256.12,256.12
2005-12-01,51.804,624.21,624.21,0.0,0.0,0.0,13.247,249.95,249.95
2006-01-01,0.0,0.0,0.0,,,,1.3780000000000001,58.0,58.0
2006-02-01,0.0,0.0,0.0,,,,1.635,68.0,68.0
2006-03-01,0.0,0.0,0.0,,,,1.865,78.0,78.0
2006-04-01,0.0,0.0,0.0,,,,2.0860000000000003,87.0,87.0
2006-05-01,0.0,0.0,0.0,,,,2.4170000000000003,101.0,101.0
2006-06-01,0.0,0.0,0.0,,,,3.079,129.0,129.0
2006-07-01,0.0,0.0,0.0,,,,3.8720000000000003,162.0,162.0
2006-08-01,0.0,0.0,0.0,,,,3.92,164.0,164.0
2006-09-01,0.0,0.0,0.0,,,,2.6670000000000003,112.0,112.0
2006-10-01,0.0,0.0,0.0,,,,2.415,101.0,101.0
2006-11-01,0.0,0.0,0.0,,,,1.794,75.0,75.0
2006-12-01,0.0,0.0,0.0,,,,1.87,78.0,78.0
2007-01-01,5.038,56.0,56.0,,,,0.0,0.0,0.0
2007-02-01,3.483,39.0,39.0,,,,0.0,0.0,0.0
2007-03-01,4.707,50.0,50.0,,,,0.0,0.0,0.0
2007-04-01,5.213,56.0,56.0,,,,0.0,0.0,0.0
2007-05-01,8.656,90.0,90.0,,,,0.0,0.0,0.0
2007-06-01,3.418,34.0,34.0,,,,0.0,81.0,81.0
2007-07-01,2.982,34.0,34.0,,,,140.0,2958.0,2958.0
2007-08-01,5.803,62.0,62.0,,,,137.0,4324.0,4324.0
2007-09-01,2.241,22.0,22.0,,,,0.0,1889.0,1889.0
2007-10-01,4.659,50.0,50.0,,,,0.0,1557.0,1557.0
2007-11-01,7.293,78.0,78.0,,,,0.0,0.0,0.0
2007-12-01,8.249,90.0,90.0,,,,0.0,0.0,0.0
2008-01-01,3.959,50.0,50.0,,,,0.0,0.0,0.0
2008-02-01,1.665,17.0,17.0,,,,0.0,0.0,0.0
2008-03-01,1.8470000000000002,22.0,22.0,,,,0.0,0.0,0.0
2008-04-01,2.4130000000000003,28.0,28.0,,,,0.0,0.0,0.0
2008-05-01,4.098,45.0,45.0,,,,0.0,0.0,0.0
2008-06-01,3.616,39.0,39.0,,,,7.0,1613.0,1613.0
2008-07-01,2.595,28.0,28.0,,,,0.0,1625.0,1625.0
2008-08-01,1.621,17.0,17.0,,,,0.0,1651.0,1651.0
2008-09-01,1.917,22.0,22.0,,,,0.0,615.0,615.0
2008-10-01,2.103,22.0,22.0,,,,0.0,0.0,0.0
2008-11-01,1.5590000000000002,17.0,17.0,,,,0.0,0.0,0.0
2008-12-01,1.607,17.0,17.0,,,,0.0,0.0,0.0
2009-01-01,2.217,24.0,24.0,,,,0.0,0.0,0.0
2009-02-01,1.487,18.0,18.0,,,,0.0,0.0,0.0
2009-03-01,2.004,24.0,24.0,,,,0.0,0.0,0.0
2009-04-01,2.978,35.0,35.0,,,,0.0,0.0,0.0
2009-05-01,1.812,24.0,24.0,,,,0.0,285.0,285.0
2009-06-01,0.42400000000000004,6.0,6.0,,,,1003.0,16984.0,16984.0
2009-07-01,2.855,35.0,35.0,,,,2623.0,38543.0,38543.0
2009-08-01,1.647,18.0,18.0,,,,0.0,1379.0,1379.0
2009-09-01,1.588,18.0,18.0,,,,0.0,26.0,26.0
2009-10-01,1.57,18.0,18.0,,,,0.0,0.0,0.0
2009-11-01,1.742,18.0,18.0,,,,0.0,0.0,0.0
2009-12-01,1.6760000000000002,18.0,18.0,,,,0.0,0.0,0.0
2010-01-01,2.7720000000000002,30.0,30.0,,,,0.0,0.0,0.0
2010-02-01,1.9660000000000002,24.0,24.0,,,,0.0,0.0,0.0
2010-03-01,2.458,30.0,30.0,,,,0.0,0.0,0.0
2010-04-01,1.7610000000000001,18.0,18.0,,,,0.0,0.0,0.0
2010-05-01,2.13,24.0,24.0,,,,0.0,0.0,0.0
2010-06-01,3.2750000000000004,35.0,35.0,,,,146.0,2683.0,2683.0
2010-07-01,2.097,24.0,24.0,,,,13.0,1745.0,1745.0
2010-08-01,2.2,24.0,24.0,,,,28.0,1516.0,1516.0
2010-09-01,1.6260000000000001,18.0,18.0,,,,0.0,1487.0,1487.0
2010-10-01,3.23,35.0,35.0,,,,115.0,2385.0,2385.0
2010-11-01,2.447,30.0,30.0,,,,0.0,0.0,0.0
2010-12-01,2.0380000000000003,24.0,24.0,,,,0.0,0.0,0.0
2011-01-01,1.194,6.0,6.0,,,,0.0,0.0,0.0
2011-02-01,1.59,18.0,18.0,,,,0.0,0.0,0.0
2011-03-01,2.732,18.0,18.0,,,,0.0,0.0,0.0
2011-04-01,1.475,12.0,12.0,,,,0.0,0.0,0.0
2011-05-01,1.303,12.0,12.0,,,,61.0,1124.0,1124.0
2011-06-01,0.945,6.0,6.0,,,,214.0,4683.0,4683.0
2011-07-01,1.029,6.0,6.0,,,,0.0,1585.0,1585.0
2011-08-01,0.652,6.0,6.0,,,,0.0,854.0,854.0
2011-09-01,1.948,12.0,12.0,,,,110.0,2087.0,2087.0
2011-10-01,1.725,12.0,12.0,,,,0.0,0.0,0.0
2011-11-01,0.851,6.0,6.0,,,,0.0,0.0,0.0
2011-12-01,1.556,12.0,12.0,,,,0.0,0.0,0.0
2012-01-01,0.736,6.0,6.0,,,,0.0,0.0,0.0
2012-02-01,0.629,6.0,6.0,,,,0.0,0.0,0.0
2012-03-01,0.31,0.0,0.0,,,,0.0,0.0,0.0
2012-04-01,0.592,6.0,6.0,,,,0.0,0.0,0.0
2012-05-01,0.737,6.0,6.0,,,,0.0,0.0,0.0
2012-06-01,0.704,6.0,6.0,,,,158.0,4084.0,4084.0
2012-07-01,0.188,0.0,0.0,,,,14.0,1883.0,1883.0
2012-08-01,0.567,6.0,6.0,,,,0.0,1849.0,1849.0
2012-09-01,0.262,0.0,0.0,,,,0.0,366.0,366.0
2012-10-01,0.371,0.0,0.0,,,,0.0,0.0,0.0
2012-11-01,1.207,6.0,6.0,,,,0.0,0.0,0.0
2012-12-01,0.697,6.0,6.0,,,,0.0,0.0,0.0
2013-01-01,5.815,39.0,39.0,,,,0.0,0.0,0.0
2013-02-01,3.136,28.0,28.0,,,,0.0,0.0,0.0
2013-03-01,3.797,33.0,33.0,,,,0.0,0.0,0.0
2013-04-01,3.228,28.0,28.0,,,,0.0,0.0,0.0
2013-05-01,11.024,94.0,94.0,,,,0.0,0.0,0.0
2013-06-01,6.937,61.0,61.0,,,,0.0,0.0,0.0
2013-07-01,2.865,22.0,22.0,,,,44.0,1689.0,1689.0
2013-08-01,1.799,17.0,17.0,,,,0.0,0.0,0.0
2013-09-01,3.017,28.0,28.0,,,,31.0,739.0,739.0
2013-10-01,4.911,44.0,44.0,,,,0.0,0.0,0.0
2013-11-01,3.069,28.0,28.0,,,,0.0,0.0,0.0
2013-12-01,9.402,83.0,83.0,,,,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,,,,50.0,862.0,862.0
2014-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,,,,30.0,496.0,496.0
2014-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-12-01,1.0,11.0,11.0,,,,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,,,,72.0,1119.0,1119.0
2015-08-01,0.0,0.0,0.0,,,,6.0,88.0,88.0
2015-09-01,0.0,0.0,0.0,,,,804.0,11044.0,11044.0
2015-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
