measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,211967.0,2267140.0,2267140.0,249.0,2923.0,2923.0,,,,,,,,,
2003-02-01,118603.0,1427240.0,1427240.0,87.0,1119.0,1119.0,,,,,,,,,
2003-03-01,193071.0,2109080.0,2109080.0,1237.0,14413.0,14413.0,,,,,,,,,
2003-04-01,339894.0,3384860.0,3384860.0,814.0,8439.0,8439.0,,,,,,,,,
2003-05-01,392599.0,3870320.0,3870320.0,148.0,1491.0,1491.0,,,,,,,,,
2003-06-01,294684.0,3051660.0,3051660.0,448.0,4727.0,4727.0,,,,,,,,,
2003-07-01,317383.0,3230020.0,3230020.0,435.0,4634.0,4634.0,,,,,,,,,
2003-08-01,348762.0,3548600.0,3548600.0,978.0,9825.0,9825.0,,,,,,,,,
2003-09-01,281163.0,2929240.0,2929240.0,952.0,10017.0,10017.0,,,,,,,,,
2003-10-01,274951.0,2824460.0,2824460.0,648.0,6734.0,6734.0,,,,,,,,,
2003-11-01,322340.0,3362460.0,3362460.0,610.0,6525.0,6525.0,,,,,,,,,
2003-12-01,388487.0,3914280.0,3914280.0,323.0,3283.0,3283.0,,,,,,,,,
2004-01-01,186340.0,1530300.0,1530300.0,304.0,3086.0,3086.0,,,,,,,210540.0,2278879.0,2278879.0
2004-02-01,135079.0,1173720.0,1173720.0,547.0,5875.0,5875.0,,,,,,,172588.0,1976532.0,1976532.0
2004-03-01,144929.0,1181540.0,1181540.0,416.0,4193.0,4193.0,,,,,,,188507.0,2025514.0,2025514.0
2004-04-01,129913.0,1078314.0,1078314.0,573.0,5766.0,5766.0,,,,,,,195028.0,2245862.0,2245862.0
2004-05-01,178960.0,1537674.0,1537674.0,353.0,3635.0,3635.0,,,,,,,224550.0,2676774.0,2676774.0
2004-06-01,233359.0,2257447.0,2257447.0,364.0,4373.0,4373.0,,,,,,,73289.0,983617.0,983617.0
2004-07-01,149607.0,1284629.0,1284629.0,329.0,3401.0,3401.0,,,,,,,192436.0,2292469.0,2292469.0
2004-08-01,165992.0,1426718.0,1426718.0,249.0,2577.0,2577.0,,,,,,,217798.0,2597145.0,2597145.0
2004-09-01,147161.0,1231703.0,1231703.0,120.0,1268.0,1268.0,,,,,,,227093.0,2636992.0,2636992.0
