measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed
2012-12-01,241.0,1643.0,1643.0
2013-01-01,520.153,2969.0,2969.0
2013-02-01,479.144,2734.0,2734.0
2013-03-01,462.105,2637.0,2637.0
2013-04-01,397.644,2269.0,2269.0
2013-05-01,419.943,2397.0,2397.0
2013-06-01,496.822,2835.0,2835.0
2013-07-01,630.411,3598.0,3598.0
2013-08-01,642.932,3669.0,3669.0
2013-09-01,641.325,3660.0,3660.0
2013-10-01,556.465,3175.0,3175.0
2013-11-01,548.88,3132.0,3132.0
2013-12-01,639.176,3647.0,3647.0
2014-01-01,261.075,2161.0,2161.0
2014-02-01,243.798,2018.0,2018.0
2014-03-01,211.563,1752.0,1752.0
2014-04-01,201.168,1665.0,1665.0
2014-05-01,202.845,1679.0,1679.0
2014-06-01,199.97,1655.0,1655.0
2014-07-01,282.934,2342.0,2342.0
2014-08-01,292.058,2418.0,2418.0
2014-09-01,305.499,2529.0,2529.0
2014-10-01,301.371,2495.0,2495.0
2014-11-01,217.801,1803.0,1803.0
2014-12-01,236.918,1961.0,1961.0
2015-01-01,136.595,1070.0,1070.0
2015-02-01,101.144,793.0,793.0
2015-03-01,118.493,930.0,930.0
2015-04-01,113.708,892.0,892.0
2015-05-01,111.009,871.0,871.0
2015-06-01,156.098,1224.0,1224.0
2015-07-01,176.058,1381.0,1381.0
2015-08-01,185.709,1457.0,1457.0
2015-09-01,184.426,1447.0,1447.0
2015-10-01,177.657,1393.0,1393.0
2015-11-01,130.991,1027.0,1027.0
2015-12-01,140.112,1099.0,1099.0
2016-01-01,691.674,4673.0,4673.0
2016-02-01,548.93,3709.0,3709.0
2016-03-01,426.92,2885.0,2885.0
2016-04-01,408.275,2759.0,2759.0
2016-05-01,440.711,2977.0,2977.0
2016-06-01,670.467,4530.0,4530.0
2016-07-01,790.826,5344.0,5344.0
2016-08-01,874.682,5910.0,5910.0
2016-09-01,724.101,4893.0,4893.0
2016-10-01,714.272,4827.0,4827.0
2016-11-01,549.215,3711.0,3711.0
2016-12-01,621.927,4202.0,4202.0
2017-01-01,599.648,4527.0,4527.0
2017-02-01,457.699,3456.0,3456.0
2017-03-01,379.037,2862.0,2862.0
2017-04-01,338.594,2556.0,2556.0
2017-05-01,420.058,3172.0,3172.0
2017-06-01,552.65,4172.0,4172.0
2017-07-01,753.633,5691.0,5691.0
2017-08-01,850.747,6424.0,6424.0
2017-09-01,700.006,5285.0,5285.0
2017-10-01,662.953,5006.0,5006.0
2017-11-01,576.157,4350.0,4350.0
2017-12-01,610.818,4612.0,4612.0
2018-01-01,522.234,4060.0,4060.0
2018-02-01,458.532,3565.0,3565.0
2018-03-01,476.89,3708.0,3708.0
2018-04-01,358.9,2790.0,2790.0
2018-05-01,327.625,2547.0,2547.0
2018-06-01,448.177,3485.0,3485.0
2018-07-01,782.067,6079.0,6079.0
2018-08-01,723.481,5625.0,5625.0
2018-09-01,582.259,4526.0,4526.0
2018-10-01,650.833,5060.0,5060.0
2018-11-01,581.819,4523.0,4523.0
2018-12-01,586.183,4557.0,4557.0
2019-01-01,450.06,4130.0,4130.0
2019-02-01,417.301,3830.0,3830.0
2019-03-01,363.907,3339.0,3339.0
2019-04-01,255.352,2343.0,2343.0
2019-05-01,220.041,2019.0,2019.0
2019-06-01,294.234,2701.0,2701.0
2019-07-01,463.832,4257.0,4257.0
2019-08-01,544.826,5001.0,5001.0
2019-09-01,479.406,4400.0,4400.0
2019-10-01,491.016,4506.0,4506.0
2019-11-01,481.558,4419.0,4419.0
2019-12-01,499.467,4584.0,4584.0
2020-01-01,224.729,1883.0,1883.0
2020-02-01,198.456,1662.0,1662.0
2020-03-01,220.299,1845.0,1845.0
2020-04-01,155.796,1305.0,1305.0
2020-05-01,146.49,1227.0,1227.0
2020-06-01,206.069,1726.0,1726.0
2020-07-01,288.269,2414.0,2414.0
2020-08-01,358.483,3002.0,3002.0
2020-09-01,312.183,2614.0,2614.0
2020-10-01,324.21,2715.0,2715.0
2020-11-01,258.967,2169.0,2169.0
2020-12-01,287.049,2404.0,2404.0
2021-01-01,371.422,2577.0,2577.0
2021-02-01,314.978,2185.0,2185.0
2021-03-01,338.662,2349.0,2349.0
2021-04-01,300.506,2085.0,2085.0
2021-05-01,314.068,2179.0,2179.0
2021-06-01,429.47,2979.0,2979.0
2021-07-01,592.66,4112.0,4112.0
2021-08-01,541.118,3754.0,3754.0
2021-09-01,460.428,3194.0,3194.0
2021-10-01,438.929,3045.0,3045.0
