measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,3503.0,74169.0,74169.0,724.0,15336.0,15336.0,12081.0,256187.0,256187.0
2003-02-01,,,,0.0,0.0,0.0,2584.0,52291.0,52291.0,362.0,4452.0,4452.0,14368.0,291528.0,291528.0
2003-03-01,,,,41.0,873.0,873.0,1799.0,37885.0,37885.0,63.0,828.0,828.0,16306.0,343350.0,343350.0
2003-04-01,,,,9.0,153.0,153.0,2360.0,47451.0,47451.0,0.0,0.0,0.0,14468.0,291251.0,291251.0
2003-05-01,,,,0.0,0.0,0.0,3000.0,60076.0,60076.0,0.0,0.0,0.0,14716.0,294161.0,294161.0
2003-06-01,,,,0.0,0.0,0.0,2225.0,51157.0,51157.0,0.0,0.0,0.0,11069.0,254015.0,254015.0
2003-07-01,,,,0.0,0.0,0.0,1626.0,39865.0,39865.0,0.0,0.0,0.0,8209.0,201373.0,201373.0
2003-08-01,,,,0.0,0.0,0.0,1825.0,42559.0,42559.0,0.0,0.0,0.0,9380.0,218173.0,218173.0
2003-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-11-01,,,,0.0,0.0,0.0,4302.0,103827.0,103827.0,0.0,0.0,0.0,4214.0,101811.0,101811.0
2003-12-01,,,,0.0,0.0,0.0,4032.0,100420.0,100420.0,0.0,0.0,0.0,4600.0,114430.0,114430.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,5602.0,116712.0,116712.0,0.0,0.0,0.0,10620.0,228078.0,228078.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3297.0,68244.0,68244.0,0.0,0.0,0.0,13020.0,271730.0,271730.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2790.0,59674.0,59674.0,0.0,0.0,0.0,13170.0,288828.0,288828.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2671.0,51491.0,51491.0,0.0,0.0,0.0,19774.0,379960.0,379960.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,310.0,5469.0,5469.0,0.0,0.0,0.0,16503.0,303085.0,303085.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2528.0,50277.0,50277.0,0.0,0.0,0.0,13780.0,290383.0,290383.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2980.0,66224.0,66224.0,0.0,0.0,0.0,7310.0,173919.0,173919.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2593.0,57239.0,57239.0,0.0,0.0,0.0,10875.0,244765.0,244765.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1428.0,31211.0,31211.0,0.0,0.0,0.0,11967.0,259138.0,259138.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,905.0,23988.0,23988.0,0.0,0.0,0.0,9123.0,236982.0,236982.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,739.0,19412.0,19412.0,0.0,0.0,0.0,8727.0,216896.0,216896.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,69387.0,69387.0,0.0,0.0,0.0,6078.0,149076.0,149076.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2876.0,65268.0,65268.0,0.0,0.0,0.0,8478.0,192583.2,192583.2
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1749.0,39568.0,39568.0,0.0,0.0,0.0,7874.0,177796.4,177796.4
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2997.0,62222.0,62222.0,0.0,0.0,0.0,11772.0,244085.7,244085.7
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1797.0,39681.0,39681.0,0.0,0.0,0.0,13002.0,286708.5,286708.5
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2034.0,46182.0,46182.0,0.0,0.0,0.0,11602.0,263437.2,263437.2
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4323.0,97626.0,97626.0,0.0,0.0,0.0,7999.0,180813.1,180813.1
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4050.0,84985.0,84985.0,0.0,0.0,0.0,13032.0,274210.0,274210.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2938.0,64940.0,64940.0,0.0,0.0,0.0,9828.0,217114.3,217114.3
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3893.0,82215.0,82215.0,0.0,0.0,0.0,10942.0,231353.0,231353.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2652.0,58672.0,58672.0,0.0,0.0,0.0,11044.0,243814.0,243814.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1504.0,30809.0,30809.0,0.0,0.0,0.0,10670.0,218888.8,218888.8
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3271.0,70738.0,70738.0,0.0,0.0,0.0,7969.0,172519.2,172519.2
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,3672.0,87648.0,87648.0,0.0,0.0,0.0,5803.0,138278.0,138278.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1168.0,37345.0,37345.0,0.0,0.0,0.0,4652.0,148534.0,148534.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,963.0,23685.0,23685.0,0.0,0.0,0.0,7559.0,186286.0,186286.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,934.0,24794.0,24794.0,0.0,0.0,0.0,5867.0,156123.0,156123.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1291.0,33866.0,33866.0,0.0,0.0,0.0,4859.0,127194.0,127194.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1554.0,37365.0,37365.0,0.0,0.0,0.0,6586.0,158269.0,158269.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2114.0,47336.0,47336.0,0.0,0.0,0.0,7868.0,176120.0,176120.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1969.0,47275.0,47275.0,0.0,0.0,0.0,5204.0,124782.0,124782.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1890.0,46434.0,46434.0,0.0,0.0,0.0,5930.0,146102.0,146102.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2473.0,55516.0,55516.0,0.0,0.0,0.0,10969.0,246453.0,246453.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,47441.0,47441.0,0.0,0.0,0.0,6747.0,159550.0,159550.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1707.0,41573.0,41573.0,0.0,0.0,0.0,6835.0,166212.0,166212.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2608.983,65065.0,65065.0,0.0,0.0,0.0,9136.017,227842.0,227842.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3354.464,68003.0,68003.0,0.0,0.0,0.0,8125.536,164724.0,164724.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1913.996,49423.0,49423.0,0.0,0.0,0.0,7367.004,190230.0,190230.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2193.338,65296.0,65296.0,0.0,0.0,0.0,4804.662,143036.0,143036.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1969.5130000000001,58471.0,58471.0,0.0,0.0,0.0,4251.487,126218.0,126218.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1801.453,54159.0,54159.0,0.0,0.0,0.0,4424.5470000000005,133020.0,133020.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3029.065,74366.0,74366.0,0.0,0.0,0.0,6419.935,157615.0,157615.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2827.8250000000003,64697.0,64697.0,0.0,0.0,0.0,7736.175,176994.0,176994.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1848.056,45591.0,45591.0,0.0,0.0,0.0,6046.944,149176.0,149176.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,697.292,30555.0,30555.0,0.0,0.0,0.0,2193.708,96127.0,96127.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1305.467,49519.0,49519.0,0.0,0.0,0.0,3807.534,144427.0,144427.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,994.5260000000001,38976.0,38976.0,0.0,0.0,0.0,3907.4730000000004,153136.0,153136.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1157.031,53723.0,53723.0,,,,2815.969,130751.0,130751.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1545.749,66007.0,66007.0,,,,2578.251,110098.0,110098.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1490.713,55584.0,55584.0,,,,3947.2870000000003,147182.0,147182.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1682.909,51657.0,51657.0,,,,4737.091,145407.0,145407.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1210.6970000000001,43939.0,43939.0,,,,2821.3030000000003,102393.0,102393.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1438.0220000000002,18067.0,18067.0,,,,215.978,2714.0,2714.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0,0.0,,,,-54.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-168.0,0.0,0.0,,,,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-168.0,0.0,0.0,,,,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-168.0,0.0,0.0,,,,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-168.0,0.0,0.0,,,,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,,,,-84.0,0.0,0.0
2009-01-01,,,,,,,-1263.0,0.0,0.0,,,,,,
2009-02-01,,,,,,,-1069.0,0.0,0.0,,,,,,
2009-03-01,,,,,,,-1172.0,0.0,0.0,,,,,,
2009-04-01,,,,,,,-1032.0,0.0,0.0,,,,,,
2009-05-01,,,,,,,-1121.0,0.0,0.0,,,,,,
2009-06-01,,,,,,,-1094.0,0.0,0.0,,,,,,
2009-07-01,,,,,,,-901.0,0.0,0.0,,,,,,
2009-08-01,,,,,,,-1171.0,0.0,0.0,,,,,,
2009-09-01,,,,,,,-1067.0,0.0,0.0,,,,,,
2009-10-01,,,,,,,-1209.0,0.0,0.0,,,,,,
2009-11-01,,,,,,,-1132.0,0.0,0.0,,,,,,
2009-12-01,,,,,,,-913.0,0.0,0.0,,,,,,
