measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,473.0,9669.0,9669.0,423.0,9159.0,9159.0,10178.0,135772.0,135772.0
2003-02-01,280.0,5226.0,5226.0,,,,183.0,3418.0,3418.0,410.0,8155.0,8155.0,14745.0,192498.0,192498.0
2003-03-01,85.0,2024.0,2024.0,,,,109.0,2373.0,2373.0,397.0,7682.0,7682.0,13408.0,167713.0,167713.0
2003-04-01,1.0,23.0,23.0,,,,113.0,3352.0,3352.0,872.0,12432.0,12432.0,12510.0,147141.0,147141.0
2003-05-01,3.0,52.0,52.0,,,,1026.0,17054.0,17054.0,1096.0,14817.0,14817.0,6852.0,79914.0,79914.0
2003-06-01,0.0,0.0,0.0,,,,125.0,2764.0,2764.0,2191.0,31845.0,31845.0,11090.0,149855.0,149855.0
2003-07-01,269.0,4251.0,4251.0,,,,1505.0,23802.0,23802.0,6389.0,52228.0,52228.0,37337.0,443287.0,443287.0
2003-08-01,144.0,2297.0,2297.0,,,,1710.0,27291.0,27291.0,15996.0,199008.0,199008.0,27379.0,318117.0,318117.0
2003-09-01,1.0,23.0,23.0,,,,,,,950.0,16272.0,16272.0,454.0,6136.0,6136.0
2003-10-01,5.0,93.0,93.0,,,,225.0,4582.0,4582.0,521.0,9252.0,9252.0,1174.0,15567.0,15567.0
2003-11-01,1.0,17.0,17.0,,,,587.0,9633.0,9633.0,1632.0,21234.0,21234.0,9309.0,108781.0,108781.0
2003-12-01,1.0,17.0,17.0,,,,118.0,3437.0,3437.0,1707.0,22635.0,22635.0,12729.0,147562.0,147562.0
2004-01-01,2.0,23.0,23.0,,,,308.0,7091.0,7091.0,957.0,13938.0,13938.0,26465.0,302555.0,302555.0
2004-02-01,0.0,0.0,0.0,,,,867.0,13111.0,13111.0,1233.0,16841.0,16841.0,17346.0,199465.0,199465.0
2004-03-01,2.0,17.0,17.0,,,,18.0,1694.0,1694.0,170.0,4815.0,4815.0,1049.0,15212.0,15212.0
2004-04-01,-80.0,23.0,23.0,,,,0.0,0.0,0.0,581.0,8259.0,8259.0,1481.0,16199.0,16199.0
2004-05-01,0.0,0.0,0.0,,,,243.0,5235.0,5235.0,2105.0,28941.0,28941.0,11478.0,146095.0,146095.0
2004-06-01,14.0,587.0,587.0,,,,117.0,5025.0,5025.0,2054.0,24771.0,24771.0,13678.0,151297.0,151297.0
2004-07-01,1.0,23.0,23.0,,,,212.0,4718.0,4718.0,2258.0,30941.0,30941.0,22248.0,279494.0,279494.0
2004-08-01,2.0,17.0,17.0,,,,1278.0,16275.0,16275.0,5155.0,59609.0,59609.0,12047.0,134828.0,134828.0
2004-09-01,-69.0,17.0,17.0,,,,0.0,0.0,0.0,10444.0,95483.0,95483.0,0.0,0.0,0.0
2004-10-01,1.0,12.0,12.0,,,,231.0,3158.0,3158.0,1034.0,20454.0,20454.0,1934.0,26824.0,26824.0
2004-11-01,0.0,0.0,0.0,,,,591.0,10390.0,10390.0,91.0,4794.0,4794.0,0.0,0.0,0.0
2004-12-01,28.0,13542.0,13542.0,,,,18.0,8138.0,8138.0,1510.0,22468.0,22468.0,8600.0,99456.0,99456.0
2005-01-01,1.0,11.63,11.63,,,,-12.0,2808.62,2808.62,1075.0,16666.34,16666.34,20085.0,242865.32,242865.32
2005-02-01,1.0,34.89,34.89,,,,-9.0,355.34,355.34,3313.0,45569.81,45569.81,5817.0,74693.04,74693.04
2005-03-01,-190.0,23.26,23.26,,,,0.0,0.0,0.0,122.0,6178.29,6178.29,2124.0,45627.9,45627.9
2005-04-01,0.0,0.0,0.0,,,,739.0,11744.21,11744.21,596.0,9678.06,9678.06,2904.0,36892.46,36892.46
2005-05-01,0.0,0.0,0.0,,,,443.0,8272.98,8272.98,2388.0,33666.3,33666.3,11784.0,154877.55,154877.55
2005-06-01,2.0,23.26,23.26,,,,-28.0,1372.94,1372.94,11470.0,128791.29,128791.29,10763.0,118963.44,118963.44
2005-07-01,2.0,17.45,17.45,,,,2149.0,18566.97,18566.97,14838.0,218799.57,218799.57,13189.0,192047.12,192047.12
2005-08-01,0.0,0.0,0.0,,,,231.0,1577.0,1577.0,6147.0,72241.65,72241.65,24432.0,278921.39,278921.39
2005-09-01,2.0,17.45,17.45,,,,218.0,1842.0,1842.0,2933.0,42695.0,42695.0,10899.0,150174.33,150174.33
2005-10-01,-91.0,0.0,0.0,,,,0.0,0.0,0.0,1523.0,22690.05,22690.05,8652.0,115809.39,115809.39
2005-11-01,0.0,0.0,0.0,,,,125.0,3800.0,3800.0,-228.0,0.0,0.0,-387.0,0.0,0.0
2005-12-01,2.0,23.26,23.26,,,,130.0,4641.6,4641.6,874.0,10137.13,10137.13,24212.0,286580.7,286580.7
2006-01-01,2.0,23.0,23.0,,,,-95.0,590.0,590.0,-246.0,0.0,0.0,-299.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,,,,25.0,2591.0,2591.0,-268.0,0.0,0.0,-329.0,0.0,0.0
2006-03-01,2.0,29.0,29.0,,,,926.0,14161.0,14161.0,3676.0,48566.0,48566.0,0.0,0.0,0.0
2006-04-01,2.0,29.0,29.0,,,,-85.0,298.0,298.0,4409.0,61175.0,61175.0,0.0,0.0,0.0
2006-05-01,3.0,29.0,29.0,,,,6.0,1478.0,1478.0,6607.0,87897.0,87897.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,,,,453.0,7707.0,7707.0,16725.0,212973.0,212973.0,0.0,0.0,0.0
2006-07-01,225.0,5222.0,5222.0,,,,1105.0,25846.0,25846.0,34986.0,424687.0,424687.0,0.0,0.0,0.0
2006-08-01,151.0,3565.0,3565.0,,,,1255.0,30102.0,30102.0,30068.0,363252.0,363252.0,0.0,0.0,0.0
2006-09-01,1.0,12.0,12.0,,,,611.0,9777.0,9777.0,-360.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,3.0,151.0,151.0,,,,229.0,4872.0,4872.0,1249.0,23703.0,23703.0,0.0,0.0,0.0
2006-11-01,2.0,23.0,23.0,,,,215.0,5048.0,5048.0,-474.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,2.0,23.0,23.0,,,,-156.0,0.0,0.0,-545.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,-89.0,0.0,0.0,1.0,17.0,17.0,-89.0,0.0,0.0,931.0,26312.0,26312.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,2.0,23.0,23.0,7.0,2993.0,2993.0,176.0,15045.0,15045.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,3.0,35.0,35.0,289.0,6202.0,6202.0,-197.0,0.0,0.0,-197.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,1747.0,1747.0,-196.0,0.0,0.0,-196.0,0.0,0.0
2007-05-01,49.447,826.0,826.0,2.0,17.0,17.0,2237.553,37366.0,37366.0,127.0,11806.0,11806.0,0.0,0.0,0.0
2007-06-01,-30.5,0.0,0.0,0.0,0.0,0.0,-30.5,0.0,0.0,38098.0,426203.0,426203.0,0.0,0.0,0.0
