measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2016-09-01,4903.0,45264.0,45264.0
2016-10-01,14020.0,129433.0,129433.0
2016-11-01,13526.0,124872.0,124872.0
2016-12-01,10530.0,97213.0,97213.0
2017-01-01,12478.617,114965.0,114965.0
2017-02-01,12831.709,118219.0,118219.0
2017-03-01,22399.548,206367.0,206367.0
2017-04-01,24631.279,226928.0,226928.0
2017-05-01,27572.725,254028.0,254028.0
2017-06-01,28297.773,260707.0,260707.0
2017-07-01,23806.763,219332.0,219332.0
2017-08-01,24431.935,225091.0,225091.0
2017-09-01,21926.767,202011.0,202011.0
2017-10-01,21557.933,198613.0,198613.0
2017-11-01,14817.958,136518.0,136518.0
2017-12-01,14261.993,131396.0,131396.0
2018-01-01,12517.707,113961.0,113961.0
2018-02-01,16053.134,146148.0,146148.0
2018-03-01,20560.452,187182.0,187182.0
2018-04-01,25668.524,233686.0,233686.0
2018-05-01,27145.558,247133.0,247133.0
2018-06-01,31791.272,289428.0,289428.0
2018-07-01,27079.284,246530.0,246530.0
2018-08-01,27382.586,249291.0,249291.0
2018-09-01,26340.621,239805.0,239805.0
2018-10-01,20650.409,188001.0,188001.0
2018-11-01,16142.994,146966.0,146966.0
2018-12-01,12496.459,113768.0,113768.0
2019-01-01,14023.421,124879.0,124879.0
2019-02-01,15344.103,136639.0,136639.0
2019-03-01,21224.895,189008.0,189008.0
2019-04-01,25113.621,223637.0,223637.0
2019-05-01,26616.505,237020.0,237020.0
2019-06-01,29315.623,261056.0,261056.0
2019-07-01,29603.17,263616.0,263616.0
2019-08-01,28824.674,256684.0,256684.0
2019-09-01,24642.217,219439.0,219439.0
2019-10-01,23921.032,213017.0,213017.0
2019-11-01,16323.793,145363.0,145363.0
2019-12-01,11023.946,98168.0,98168.0
2020-01-01,15256.756,133756.0,133756.0
2020-02-01,19262.163,168871.0,168871.0
2020-03-01,20574.894,180380.0,180380.0
2020-04-01,24259.967,212687.0,212687.0
2020-05-01,27174.298,238237.0,238237.0
2020-06-01,29150.464,255562.0,255562.0
2020-07-01,30285.186,265510.0,265510.0
2020-08-01,27186.479,238344.0,238344.0
2020-09-01,23707.329,207842.0,207842.0
2020-10-01,21486.245,188370.0,188370.0
2020-11-01,15967.755,139989.0,139989.0
2020-12-01,13185.464,115597.0,115597.0
2021-01-01,12904.745,114130.0,114130.0
2021-02-01,16489.709,145835.0,145835.0
2021-03-01,20852.808,184422.0,184422.0
2021-04-01,25189.182,222773.0,222773.0
2021-05-01,27822.245,246060.0,246060.0
2021-06-01,25489.472,225429.0,225429.0
2021-07-01,24505.848,216730.0,216730.0
2021-08-01,25671.129,227035.0,227035.0
2021-09-01,22690.481,200675.0,200675.0
2021-10-01,17873.948,158077.0,158077.0
2021-11-01,14578.121,128929.0,128929.0
2021-12-01,11120.312,98348.0,98348.0
2022-01-01,13906.586,47449.0,47449.0
2022-02-01,16827.609,57416.0,57416.0
2022-03-01,20462.417,69818.0,69818.0
2022-04-01,23951.829,81724.0,81724.0
2022-05-01,27348.942,93315.0,93315.0
2022-06-01,25987.159,88668.0,88668.0
2022-07-01,23741.115,81005.0,81005.0
2022-08-01,21799.384,74379.0,74379.0
2022-09-01,21188.259,72294.0,72294.0
2022-10-01,19062.262,65040.0,65040.0
2022-11-01,13969.208,47663.0,47663.0
2022-12-01,10340.23,35281.0,35281.0
2023-01-01,12681.0,43268.0,43268.0
2023-02-01,13145.0,44851.0,44851.0
2023-03-01,11760.0,40125.0,40125.0
2023-04-01,15072.0,51426.0,51426.0
2023-05-01,14737.0,50283.0,50283.0
2023-06-01,17197.0,58676.0,58676.0
2023-07-01,30435.0,103844.0,103844.0
2023-08-01,25056.0,85491.0,85491.0
2023-09-01,22578.0,77036.0,77036.0
2023-10-01,22165.0,75627.0,75627.0
2023-11-01,16092.0,54906.0,54906.0
2023-12-01,13289.0,45342.0,45342.0
2024-01-01,13052.0,44533.0,44533.0
2024-02-01,7963.0,27170.0,27170.0
2024-03-01,8428.0,28756.0,28756.0
2024-04-01,17402.0,59376.0,59376.0
2024-05-01,19135.0,65289.0,65289.0
2024-06-01,19482.0,66473.0,66473.0
2024-07-01,24692.0,84249.0,84249.0
2024-08-01,26933.0,91895.0,91895.0
2024-09-01,24528.0,83690.0,83690.0
2024-10-01,20583.0,70229.0,70229.0
2024-11-01,15941.0,54391.0,54391.0
2024-12-01,13113.0,44742.0,44742.0
