measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,14.079,100.0,100.0
2003-02-01,12.412,88.0,88.0
2003-03-01,12.326,87.0,87.0
2003-04-01,12.431000000000001,88.0,88.0
2003-05-01,14.792000000000002,105.0,105.0
2003-06-01,15.443000000000001,109.0,109.0
2003-07-01,16.847,119.0,119.0
2003-08-01,17.808,126.0,126.0
2003-09-01,14.62,103.0,103.0
2003-10-01,13.253,94.0,94.0
2003-11-01,12.549000000000001,89.0,89.0
2003-12-01,12.979000000000001,92.0,92.0
2004-01-01,64.343,463.0,463.0
2004-02-01,110.131,792.0,792.0
2004-03-01,51.413000000000004,370.0,370.0
2004-04-01,28.795,207.0,207.0
2004-05-01,60.744,437.0,437.0
2004-06-01,70.482,507.0,507.0
2004-07-01,68.77300000000001,495.0,495.0
2004-08-01,70.95100000000001,510.0,510.0
2004-09-01,77.467,557.0,557.0
2004-10-01,63.369,456.0,456.0
2004-11-01,59.83,430.0,430.0
2004-12-01,48.88,352.0,352.0
2005-01-01,23.644000000000002,165.82,165.82
2005-02-01,5.769,40.46,40.46
2005-03-01,8.244,57.82,57.82
2005-04-01,6.771,47.49,47.49
2005-05-01,7.002000000000001,49.11,49.11
2005-06-01,6.1240000000000006,42.95,42.95
2005-07-01,17.868000000000002,125.31,125.31
2005-08-01,21.627000000000002,151.67,151.67
2005-09-01,17.856,125.22,125.22
2005-10-01,7.529000000000001,52.8,52.8
2005-11-01,7.545,52.92,52.92
2005-12-01,17.019000000000002,119.36,119.36
2006-01-01,7.869000000000001,56.0,56.0
2006-02-01,9.528,68.0,68.0
2006-03-01,8.05,57.0,57.0
2006-04-01,6.199000000000001,44.0,44.0
2006-05-01,10.954,78.0,78.0
2006-06-01,10.307,74.0,74.0
2006-07-01,10.885,78.0,78.0
2006-08-01,17.126,122.0,122.0
2006-09-01,11.171000000000001,80.0,80.0
2006-10-01,5.958,43.0,43.0
2006-11-01,4.822,34.0,34.0
2006-12-01,9.129,65.0,65.0
2007-01-01,39.448,311.0,311.0
2007-02-01,8.86,73.0,73.0
2007-03-01,6.868,55.0,55.0
2007-04-01,6.192,49.0,49.0
2007-05-01,5.7780000000000005,49.0,49.0
2007-06-01,6.315,49.0,49.0
2007-07-01,3.322,24.0,24.0
2007-08-01,4.745,37.0,37.0
2007-09-01,3.436,24.0,24.0
2007-10-01,4.66,37.0,37.0
2007-11-01,4.113,31.0,31.0
2007-12-01,3.2630000000000003,24.0,24.0
2008-01-01,20.383000000000003,183.0,183.0
2008-02-01,18.232,153.0,153.0
2008-03-01,4.0280000000000005,37.0,37.0
2008-04-01,8.179,67.0,67.0
2008-05-01,7.908,67.0,67.0
2008-06-01,7.98,67.0,67.0
2008-07-01,6.023000000000001,49.0,49.0
2008-08-01,2.4370000000000003,18.0,18.0
2008-09-01,2.976,24.0,24.0
2008-10-01,4.819,43.0,43.0
2008-11-01,5.311,43.0,43.0
2008-12-01,3.724,31.0,31.0
2009-01-01,34.734,293.0,293.0
2009-02-01,30.202,256.0,256.0
2009-03-01,28.582,244.0,244.0
2009-04-01,25.058,214.0,214.0
2009-05-01,24.451,207.0,207.0
2009-06-01,10.942,92.0,92.0
2009-07-01,4.694,43.0,43.0
2009-08-01,4.989,43.0,43.0
2009-09-01,6.6770000000000005,55.0,55.0
2009-10-01,9.372,79.0,79.0
2009-11-01,13.942,116.0,116.0
2009-12-01,18.357,153.0,153.0
2010-01-01,53.792,262.0,262.0
2010-02-01,12.546000000000001,61.0,61.0
2010-03-01,9.714,49.0,49.0
2010-04-01,18.696,92.0,92.0
2010-05-01,10.49,49.0,49.0
2010-06-01,8.841000000000001,43.0,43.0
2010-07-01,6.4510000000000005,31.0,31.0
2010-08-01,8.439,43.0,43.0
2010-09-01,6.6370000000000005,31.0,31.0
2010-10-01,4.8180000000000005,24.0,24.0
2010-11-01,13.178,67.0,67.0
2010-12-01,7.398000000000001,37.0,37.0
2011-01-01,23.788,140.0,140.0
2011-02-01,381.549,2294.0,2294.0
2011-03-01,51.463,311.0,311.0
2011-04-01,29.843,177.0,177.0
2011-05-01,21.489,128.0,128.0
2011-06-01,35.301,214.0,214.0
2011-07-01,25.903,153.0,153.0
2011-08-01,20.321,122.0,122.0
2011-09-01,30.548,183.0,183.0
2011-10-01,61.904,372.0,372.0
2011-11-01,23.953,146.0,146.0
2011-12-01,63.938,384.0,384.0
2012-01-01,6.242,31.0,31.0
2012-02-01,4.287,18.0,18.0
2012-03-01,5.136,18.0,18.0
2012-04-01,3.391,12.0,12.0
2012-05-01,8.268,31.0,31.0
2012-06-01,12.748,49.0,49.0
2012-07-01,5.683,24.0,24.0
2012-08-01,6.842,24.0,24.0
2012-09-01,6.975,24.0,24.0
2012-10-01,5.934,24.0,24.0
2012-11-01,4.993,18.0,18.0
2012-12-01,5.501,24.0,24.0
2013-01-01,14.504,85.0,85.0
2013-02-01,6.352,37.0,37.0
2013-03-01,6.655,37.0,37.0
2013-04-01,10.345,61.0,61.0
2013-05-01,11.108,67.0,67.0
2013-06-01,6.888,43.0,43.0
2013-07-01,4.708,31.0,31.0
2013-08-01,5.107,31.0,31.0
2013-09-01,6.599,37.0,37.0
2013-10-01,8.434,49.0,49.0
2013-11-01,8.312,49.0,49.0
2013-12-01,16.988,104.0,104.0
2014-01-01,9.38,110.0,110.0
2014-02-01,25.922,299.0,299.0
2014-03-01,17.698,201.0,201.0
