measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,576.0,5088.0,9084.0,,,
2001-02-01,322.0,2845.0,5078.0,,,
2001-03-01,286.0,2527.0,4510.0,,,
2001-04-01,151.0,1334.0,2381.0,,,
2001-05-01,140.0,1237.0,2208.0,,,
2001-06-01,99.0,875.0,1561.0,,,
2001-07-01,108.0,954.0,1703.0,,,
2001-08-01,179.0,1581.0,2823.0,,,
2001-09-01,108.0,954.0,1703.0,,,
2001-10-01,103.0,910.0,1624.0,,,
2001-11-01,86.0,760.0,1356.0,,,
2001-12-01,101.0,892.0,1593.0,,,
2002-01-01,14.621,-247.0,1201.0,,,
2002-02-01,14.076,-237.0,1156.0,,,
2002-03-01,18.206,-307.0,1495.0,,,
2002-04-01,25.354000000000003,-428.0,2082.0,,,
2002-05-01,19.543,-330.0,1605.0,,,
2002-06-01,19.885,-335.0,1633.0,,,
2002-07-01,12.019,-203.0,987.0,,,
2002-08-01,10.556000000000001,-178.0,867.0,,,
2002-09-01,9.356,-158.0,768.0,,,
2002-10-01,10.989,-185.0,903.0,,,
2002-11-01,107.534,-1814.0,8832.0,,,
2002-12-01,112.861,-1904.0,9270.0,,,
2003-01-01,49.979,944.0,1326.0,,,
2003-02-01,44.256,836.0,1174.0,,,
2003-03-01,48.028000000000006,907.0,1275.0,,,
2003-04-01,42.214,797.0,1120.0,,,
2003-05-01,44.894000000000005,848.0,1191.0,,,
2003-06-01,44.943000000000005,849.0,1193.0,,,
2003-07-01,51.121,966.0,1357.0,,,
2003-08-01,60.522000000000006,1143.0,1606.0,,,
2003-09-01,51.064,965.0,1355.0,,,
2003-10-01,36.685,693.0,974.0,,,
2003-11-01,45.32,856.0,1203.0,,,
2003-12-01,52.973000000000006,1001.0,1406.0,,,
2004-01-01,0.0,0.0,25.88,,,
2004-02-01,0.0,0.0,25.88,,,
2004-03-01,0.0,0.0,25.88,,,
2004-04-01,0.0,0.0,25.88,,,
2004-05-01,0.0,0.0,25.88,,,
2004-06-01,0.0,0.0,25.88,,,
2004-07-01,0.0,0.0,25.88,,,
2004-08-01,0.0,0.0,25.88,,,
2004-09-01,0.0,0.0,25.88,,,
2004-10-01,0.0,0.0,25.88,,,
2004-11-01,0.0,0.0,25.88,,,
2004-12-01,0.0,0.0,25.88,,,
2005-01-01,0.0,0.0,0.0,21.142,91.78,91.78
2005-02-01,0.0,0.0,0.0,4.8660000000000005,21.12,21.12
2005-03-01,0.0,0.0,0.0,4.176,18.13,18.13
2005-04-01,0.0,0.0,0.0,4.178,18.13,18.13
2005-05-01,0.0,0.0,0.0,4.213,18.3,18.3
2005-06-01,0.0,0.0,0.0,5.103000000000001,22.15,22.15
2005-07-01,0.0,0.0,0.0,9.665,41.95,41.95
2005-08-01,0.0,0.0,0.0,8.56,37.17,37.17
2005-09-01,0.0,0.0,0.0,4.763,20.66,20.66
2005-10-01,0.0,0.0,0.0,6.678,29.0,29.0
2005-11-01,0.0,0.0,0.0,4.497,19.51,19.51
2005-12-01,0.0,0.0,0.0,12.318000000000001,53.45,53.45
2006-01-01,0.0,0.0,0.0,30.635,132.11,132.11
2006-02-01,0.0,0.0,0.0,38.402,165.66,165.66
2006-03-01,0.0,0.0,0.0,69.921,301.57,301.57
2006-04-01,0.0,0.0,0.0,33.153,142.99,142.99
2006-05-01,0.0,0.0,0.0,22.898,98.74,98.74
2006-06-01,0.0,0.0,0.0,22.045,95.11,95.11
2006-07-01,0.0,0.0,0.0,27.328000000000003,117.84,117.84
2006-08-01,0.0,0.0,0.0,29.08,125.44,125.44
2006-09-01,0.0,0.0,0.0,17.001,73.31,73.31
2006-10-01,0.0,0.0,0.0,16.927,73.02,73.02
2006-11-01,0.0,0.0,0.0,27.506,118.65,118.65
2006-12-01,0.0,0.0,0.0,30.644000000000002,132.17,132.17
2007-01-01,1.2570000000000001,12.0,12.0,,,
2007-02-01,282.616,2036.0,2036.0,,,
2007-03-01,23.063000000000002,167.0,167.0,,,
2007-04-01,0.495,6.0,6.0,,,
2007-05-01,1.621,12.0,12.0,,,
2007-06-01,45.36,328.0,328.0,,,
2007-07-01,2.327,17.0,17.0,,,
2007-08-01,17.004,121.0,121.0,,,
2007-09-01,1.95,12.0,12.0,,,
2007-10-01,0.7230000000000001,6.0,6.0,,,
2007-11-01,0.505,6.0,6.0,,,
2007-12-01,113.078,811.0,811.0,,,
2008-01-01,50.863,472.0,472.0,,,
2008-02-01,0.786,6.0,6.0,,,
2008-03-01,8.611,81.0,81.0,,,
2008-04-01,7.876,74.0,75.0,,,
