measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,27.728,286.51,286.51
2001-02-01,23.479000000000003,242.61,242.61
2001-03-01,24.041,248.42,248.42
2001-04-01,23.588,243.73,243.73
2001-05-01,23.945,247.42,247.42
2001-06-01,25.024,258.57,258.57
2001-07-01,28.693,296.48,296.48
2001-08-01,28.98,299.45,299.45
2001-09-01,22.623,233.76,233.76
2001-10-01,23.974,247.72,247.72
2001-11-01,22.851000000000003,236.12,236.12
2001-12-01,24.073,248.75,248.75
