measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,9964.81,94256.0,104340.0,,,,0.98,12.0,12.0,19147.8,181108.0,200484.0,4788.89,0.0,0.0,,,,,,
2003-02-01,5447.0,95337.0,103962.0,,,,1.0,24.0,24.0,14672.0,256806.0,280041.0,3028.0,0.0,0.0,,,,,,
2003-03-01,2189.0,14713.0,17100.0,,,,1.0,18.0,18.0,26601.0,178806.0,207818.0,3744.0,0.0,0.0,,,,,,
2003-04-01,1.0,6.0,6.0,,,,1.0,18.0,18.0,39231.0,413109.0,440446.0,6995.0,0.0,0.0,,,,,,
2003-05-01,5.0,46.0,48.0,,,,1.0,12.0,12.0,42769.0,421376.0,442431.0,7523.0,0.0,0.0,,,,,,
2003-06-01,1.0,12.0,12.0,,,,1.0,12.0,12.0,36841.0,371774.0,385647.0,7582.0,0.0,0.0,,,,,,
2003-07-01,2.0,23.0,24.0,,,,1.0,18.0,18.0,47606.0,485355.0,501422.0,7287.0,0.0,0.0,,,,,,
2003-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,48106.0,481697.0,496933.0,7589.0,0.0,0.0,,,,,,
2003-09-01,2.0,23.0,24.0,,,,1.0,12.0,12.0,35367.0,368758.0,384140.0,15948.0,0.0,0.0,,,,,,
2003-10-01,0.0,0.0,0.0,,,,1.0,6.0,6.0,34494.0,340627.0,359744.0,7722.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,,,,1.0,6.0,6.0,22002.0,395364.0,407670.0,7976.0,0.0,0.0,,,,,,
2003-12-01,0.0,0.0,0.0,,,,1.0,12.0,12.0,39603.0,385479.0,403567.0,7737.0,0.0,0.0,,,,,,
2004-01-01,6219.677000000001,70053.0,70053.0,,,,1.137,11.0,11.0,23660.916,266480.0,266480.0,4846.323,0.0,0.0,,,,,,
2004-02-01,567.6080000000001,6393.0,6393.0,,,,0.741,7.0,7.0,24562.569,276635.0,276635.0,4608.124,0.0,0.0,,,,,,
2004-03-01,802.164,9035.0,9035.0,,,,0.755,7.0,7.0,23401.681,263561.0,263561.0,4748.321,0.0,0.0,,,,,,
2004-04-01,2.625,30.0,30.0,,,,1.0130000000000001,10.0,10.0,22144.825,249405.0,249405.0,4343.368,0.0,0.0,,,,,,
2004-05-01,1.093,12.0,12.0,,,,0.9590000000000001,9.0,9.0,30629.863,344968.0,344968.0,6933.326,0.0,0.0,,,,,,
2004-06-01,0.485,5.0,5.0,,,,0.83,8.0,8.0,25329.829,285276.0,285276.0,5685.585,0.0,0.0,,,,,,
2004-07-01,1.0090000000000001,11.0,11.0,,,,1.0430000000000001,10.0,10.0,24008.383,270394.0,270394.0,5555.93,0.0,0.0,,,,,,
2004-08-01,0.7240000000000001,8.0,8.0,,,,1.117,11.0,11.0,25939.057,292138.0,292138.0,6007.694,0.0,0.0,,,,,,
2004-09-01,0.789,9.0,9.0,,,,0.923,9.0,9.0,30254.653,340742.0,340742.0,7466.435,0.0,0.0,,,,,,
2004-10-01,0.34600000000000003,4.0,4.0,,,,0.765,7.0,7.0,19115.773,215291.0,215291.0,3540.011,0.0,0.0,,,,,,
2004-11-01,0.546,6.0,6.0,,,,0.8440000000000001,8.0,8.0,25406.436999999998,286139.0,286139.0,4914.18,0.0,0.0,,,,,,
2004-12-01,640.174,7210.0,7210.0,,,,0.652,6.0,6.0,26622.375,299834.0,299834.0,4714.985000000001,0.0,0.0,,,,,,
2005-01-01,290.538,3170.06,3170.06,0.0,0.0,0.0,1.641,14.96,14.96,15593.998,169942.2,169942.2,4791.65,14421.98,14421.98,8135.734,83365.55,83365.55,,,
2005-02-01,66.876,729.68,729.68,0.0,0.0,0.0,0.378,3.45,3.45,13824.484,150658.18,150658.18,4247.923,12785.46,12785.46,7212.54,73905.72,73905.72,,,
2005-03-01,57.388000000000005,626.16,626.16,0.0,0.0,0.0,0.324,2.95,2.95,16497.097999999998,179784.12,179784.12,5069.151,15257.2,15257.2,8606.902,88193.52,88193.52,,,
2005-04-01,57.42,626.51,626.51,0.0,0.0,0.0,0.324,2.96,2.96,16913.573,184322.83,184322.83,5197.1230000000005,15642.38,15642.38,8824.186,90420.0,90420.0,,,
2005-05-01,57.894000000000005,631.68,631.68,0.0,0.0,0.0,0.327,2.98,2.98,13720.956,149529.94,149529.94,4216.111,12689.71,12689.71,7158.527,73352.26,73352.26,,,
2005-06-01,70.13,765.19,765.19,0.0,0.0,0.0,0.396,3.62,3.62,23343.4,254394.59,254394.59,7172.85,21588.95,21588.95,12178.769,124793.87,124793.87,,,
2005-07-01,132.81900000000002,1449.18,1449.18,0.0,0.0,0.0,0.75,6.84,6.84,30081.255,327823.23,327823.23,9243.227,27820.4,27820.4,15694.058,160814.46,160814.46,,,
2005-08-01,117.63900000000001,1283.56,1283.56,0.0,0.0,0.0,0.665,6.06,6.06,32161.363,350492.08,350492.08,9882.392,29744.17,29744.17,16779.296000000002,171934.72,171934.72,,,
2005-09-01,65.45700000000001,714.2,714.2,0.0,0.0,0.0,0.37,3.37,3.37,21275.037,231853.73,231853.73,6537.293000000001,19676.04,19676.04,11099.658,113736.39,113736.39,,,
2005-10-01,91.772,1001.32,1001.32,0.0,0.0,0.0,0.518,4.73,4.73,14712.796,160338.93,160338.93,4520.879,13607.01,13607.01,7675.992,78654.64,78654.64,,,
2005-11-01,61.795,674.25,674.25,0.0,0.0,0.0,0.34900000000000003,3.19,3.19,13206.394,143922.27,143922.27,4057.9990000000003,12213.82,12213.82,6890.068,70601.41,70601.41,,,
2005-12-01,169.27100000000002,1846.92,1846.92,0.0,0.0,0.0,0.9560000000000001,8.72,8.72,14268.645,155498.61,155498.61,4384.402,13196.24,13196.24,7444.269,76280.21,76280.21,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,28428.0,295093.0,295093.0,8150.0,21435.0,21435.0,0.0,0.0,0.0,,,
2006-02-01,15.0,168.0,168.0,0.0,0.0,0.0,1.0,6.0,6.0,27910.0,284156.0,284156.0,10580.0,43460.0,43460.0,1706.0,17468.0,17468.0,,,
2006-03-01,24.0,250.0,250.0,0.0,0.0,0.0,1.0,12.0,12.0,33384.0,336739.0,336739.0,13666.0,60876.0,60876.0,4484.0,45630.0,45630.0,,,
2006-04-01,148.0,1588.0,1588.0,0.0,0.0,0.0,1.0,12.0,12.0,35213.0,360387.0,360387.0,13914.0,63228.0,63228.0,2490.0,24975.0,24975.0,,,
2006-05-01,8.0,87.0,87.0,0.0,0.0,0.0,1.0,17.0,17.0,28863.0,299170.0,299170.0,10107.0,37251.0,37251.0,938.0,9714.0,9714.0,,,
2006-06-01,10.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,32786.0,347837.0,347837.0,14140.0,68937.0,68937.0,6709.0,69203.0,69203.0,,,
2006-07-01,15.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.0,441665.0,441665.0,21211.0,123218.0,123218.0,16096.0,168717.0,168717.0,,,
2006-08-01,77.0,785.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,36654.0,382323.0,382323.0,14317.0,88984.0,88984.0,10278.0,106687.0,106687.0,,,
2006-09-01,3.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,27094.0,367970.0,367970.0,7630.0,45218.0,45218.0,3715.0,38440.0,38440.0,,,
2006-10-01,7.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,30832.0,327610.0,327610.0,10784.0,38327.0,38327.0,7016.0,75005.0,75005.0,,,
2006-11-01,9.0,122.0,122.0,0.0,0.0,0.0,1.0,12.0,12.0,34557.0,372957.0,372957.0,12962.0,49472.0,49472.0,1090.0,11382.0,11382.0,,,
2006-12-01,6.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,30598.0,328030.0,328030.0,12904.0,63620.0,63620.0,0.0,0.0,0.0,,,
2007-01-01,2.249,23.0,23.0,0.8520000000000001,0.0,0.0,0.0,0.0,0.0,24476.751,253239.0,253239.0,11431.148000000001,58923.0,58923.0,0.0,0.0,0.0,,,
2007-02-01,9.37,99.0,99.0,2.9490000000000003,0.0,0.0,0.0,12.0,12.0,16046.63,169358.0,169358.0,5966.051,30730.0,30730.0,0.0,0.0,0.0,,,
2007-03-01,0.525,6.0,6.0,0.17200000000000001,0.0,0.0,0.0,0.0,0.0,26886.475,297717.0,297717.0,10079.828,43601.0,43601.0,1053.0,10907.0,10907.0,,,
2007-04-01,4.043,41.0,41.0,1.243,0.0,0.0,1.0,0.0,0.0,29323.957000000002,295300.0,295300.0,10087.757,35064.0,35064.0,591.0,5952.0,5952.0,,,
2007-05-01,1.59,17.0,17.0,0.188,0.0,0.0,0.0,0.0,0.0,30155.41,330875.0,330875.0,3571.8120000000004,1424.0,1424.0,1029.0,10713.0,10713.0,,,
2007-06-01,217.66,2263.0,2263.0,12.16,0.0,0.0,1.0,29.0,29.0,18631.34,193693.0,193693.0,1040.84,1.0,1.0,2586.0,26733.0,26733.0,,,
2007-07-01,2.165,23.0,23.0,0.628,0.0,0.0,0.0,0.0,0.0,25290.835,271865.0,271865.0,8518.372000000001,43680.0,43680.0,5308.0,54657.0,54657.0,,,
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31998.0,342421.0,342421.0,13512.0,68235.0,68235.0,7473.0,77260.0,77260.0,,,
2007-09-01,1.106,12.0,12.0,0.393,0.0,0.0,0.0,0.0,0.0,26010.894,273713.0,273713.0,11062.607,53697.0,53697.0,3461.0,36394.0,36394.0,,,
2007-10-01,7.128,76.0,76.0,2.601,0.0,0.0,0.0,0.0,0.0,18381.872000000003,195016.0,195016.0,8090.399,40193.0,40193.0,5131.0,52828.0,52828.0,,,
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21363.0,220297.0,220297.0,7298.0,38845.0,38845.0,2299.0,23416.0,23416.0,,,
2007-12-01,1.124,12.0,12.0,0.374,0.0,0.0,0.0,0.0,0.0,24685.876,255417.0,255417.0,9557.626,41583.0,41583.0,9836.0,99550.0,99550.0,,,
2008-01-01,0.542,6.0,6.0,0.182,0.0,0.0,0.0,0.0,0.0,17632.458,188602.0,188602.0,6923.818,31925.0,31925.0,4725.0,47802.0,47802.0,,,
2008-02-01,427.163,4502.0,4502.0,94.756,0.0,0.0,0.0,0.0,0.0,11347.837,119608.0,119608.0,2517.244,0.0,0.0,4153.0,41871.0,41871.0,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17781.0,192680.0,192680.0,6483.0,26788.0,26788.0,3003.0,30696.0,30696.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35640.0,374888.0,374888.0,13223.0,53378.0,53378.0,1379.0,14186.0,14186.0,,,
2008-05-01,7.164000000000001,76.0,76.0,2.5020000000000002,0.0,0.0,0.0,0.0,0.0,33141.836,349817.0,349817.0,13582.498,60652.0,60652.0,2079.0,21248.0,21248.0,,,
2008-06-01,1.1420000000000001,12.0,12.0,0.268,0.0,0.0,0.0,0.0,0.0,36546.858,372229.0,372229.0,9644.732,46264.0,46264.0,4984.0,51266.0,51266.0,,,
2008-07-01,5.2860000000000005,52.0,52.0,1.0510000000000002,0.0,0.0,0.0,0.0,0.0,55423.714,548893.0,548893.0,12396.949,68759.0,68759.0,11265.0,116451.0,116451.0,,,
2008-08-01,7.017,70.0,70.0,1.72,0.0,0.0,,,,33919.983,337419.0,337419.0,9580.28,51434.0,51434.0,4472.0,46089.0,46089.0,0.0,0.0,0.0
2008-09-01,2.742,29.0,29.0,0.757,0.0,0.0,0.0,0.0,0.0,27990.258,296886.0,296886.0,8934.243,46604.0,46604.0,1148.0,11882.0,11882.0,,,
2008-10-01,0.5920000000000001,6.0,6.0,0.131,0.0,0.0,0.0,12.0,12.0,41118.408,403698.0,403698.0,10061.869,42991.0,42991.0,5509.0,56537.0,56537.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7809.0,83536.0,83536.0,2475.0,10801.0,10801.0,0.0,372.0,372.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7809.0,92493.0,92493.0,2475.0,16283.0,16283.0,0.0,0.0,0.0,,,
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8017.0,85030.0,85030.0,2714.0,12020.0,12020.0,0.0,0.0,0.0,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9889.0,105325.0,105325.0,3882.0,19012.0,19012.0,0.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16340.0,173275.0,173275.0,5569.0,27524.0,27524.0,18.0,257.0,257.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24296.0,246874.0,246874.0,8455.0,36977.0,36977.0,1648.0,17328.0,17328.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29895.0,326650.0,326650.0,11796.0,48609.0,48609.0,5506.0,56232.0,56232.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28588.0,310390.0,310390.0,11528.0,56017.0,56017.0,4423.0,45513.0,45513.0,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42865.0,465910.0,465910.0,16797.0,75796.0,75796.0,8447.0,87293.0,87293.0,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46643.0,502900.0,502900.0,18859.0,88002.0,88002.0,10869.0,112593.0,112593.0,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20432.0,255021.0,255021.0,8917.0,60180.0,60180.0,3618.0,37324.0,37324.0,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22795.0,239702.0,239702.0,8765.0,43536.0,43536.0,3088.0,30829.0,30829.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17687.0,185894.0,185894.0,5615.0,19824.0,19824.0,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17867.0,232173.0,232173.0,7355.0,8365.0,8365.0,0.0,605.0,605.0,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23118.0,254020.0,254020.0,6024.0,7769.0,7769.0,10.0,237.0,237.0,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23653.0,252215.0,252215.0,6290.0,17066.0,17066.0,878.0,8975.0,8975.0,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15777.0,173275.0,173275.0,6132.0,27524.0,27524.0,18.0,257.0,257.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,8380.0,8380.0,103.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24036.0,256821.0,256821.0,8846.0,45700.0,45700.0,322.0,3022.0,3022.0,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30187.0,317356.0,317356.0,10533.0,47221.0,47221.0,10389.0,109907.0,109907.0,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50397.0,545032.0,545032.0,18954.0,89907.0,89907.0,14600.0,154542.0,154542.0,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40560.0,442193.0,442193.0,14177.0,69623.0,69623.0,9894.0,104671.0,104671.0,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36597.0,390088.0,390088.0,11069.0,39456.0,39456.0,7915.0,82834.0,82834.0,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19870.0,212749.0,212749.0,4951.0,11012.0,11012.0,1514.0,15818.0,15818.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12809.0,158639.0,158639.0,2326.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15770.0,169572.0,169572.0,2480.0,0.0,0.0,0.0,0.0,0.0,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,85184.0,85184.0,1310.0,0.0,0.0,0.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.0,64381.0,64381.0,858.0,0.0,0.0,0.0,0.0,0.0,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4240.0,42920.0,42920.0,229.0,0.0,0.0,0.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6740.0,71670.0,71670.0,1794.0,4419.0,4419.0,1529.0,24127.0,24127.0,,,
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20471.0,220035.0,220035.0,6303.0,19654.0,19654.0,7786.0,81718.0,81718.0,,,
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24406.0,254270.0,254270.0,8911.0,45389.0,45389.0,8930.0,95146.0,95146.0,,,
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44541.0,490914.0,490914.0,17094.0,71375.0,71375.0,15505.0,164622.0,164622.0,,,
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34088.0,366109.0,366109.0,12309.0,48498.0,48498.0,8697.0,119161.0,119161.0,,,
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25801.0,273532.0,273532.0,9324.0,27806.0,27806.0,10597.0,113071.0,113071.0,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27625.0,266086.0,266086.0,7726.0,50512.0,50512.0,6216.0,64977.0,64977.0,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25021.0,263408.0,263408.0,7271.0,16896.0,16896.0,3045.0,32006.0,32006.0,,,
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20153.0,219663.0,219663.0,6162.0,22840.0,22840.0,7870.0,82115.0,82115.0,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5556.0,61715.0,61715.0,1181.0,3246.0,3246.0,6916.0,72500.0,72500.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2152.0,23281.0,23281.0,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2909.0,32203.0,32203.0,679.0,0.0,0.0,7138.0,77666.0,77666.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21420.0,238840.0,238840.0,5497.0,4981.0,4981.0,7554.0,81247.0,81247.0,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20935.0,238574.0,238574.0,7113.0,15477.0,15477.0,10549.0,109533.0,109533.0,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38294.0,394574.0,394574.0,13167.0,69305.0,69305.0,9339.0,97724.0,97724.0,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55265.0,609727.0,609727.0,21765.0,93216.0,93216.0,12402.0,128699.0,128699.0,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42597.0,469073.0,469073.0,16922.0,77768.0,77768.0,17128.0,177848.0,177848.0,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33740.0,371225.0,371225.0,11611.0,36900.0,36900.0,10280.0,106211.0,106211.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44977.0,487304.0,487304.0,14117.0,35952.0,35952.0,5390.0,55584.0,55584.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22385.0,248667.0,248667.0,5190.0,0.0,0.0,11360.0,116461.0,116461.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13204.0,144198.0,144198.0,3085.0,0.0,0.0,6344.0,67122.0,67122.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25920.0,302551.0,302551.0,7829.0,3772.0,3772.0,15336.0,158619.0,158619.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41622.0,453808.0,453808.0,12429.0,32066.0,32066.0,6231.0,59548.0,59548.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37802.0,406931.0,406931.0,13903.0,50055.0,50055.0,18175.0,190097.0,190097.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30397.0,330966.0,330966.0,7177.0,4864.0,4864.0,19150.0,198519.0,198519.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27136.0,302480.0,302480.0,6184.0,0.0,0.0,17249.0,179333.0,179333.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20910.0,237243.0,237243.0,4312.0,0.0,0.0,13108.0,139855.0,139855.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42325.0,461121.0,461121.0,14279.0,52452.0,52452.0,14928.0,158380.0,158380.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22983.0,252240.0,252240.0,6908.0,20751.0,20751.0,8157.0,88063.0,88063.0,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30857.0,347178.0,347178.0,9119.0,6829.0,6829.0,8089.0,86819.0,86819.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25540.0,272969.0,272969.0,7036.0,13199.0,13199.0,5112.0,61682.0,61682.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27042.0,290612.0,290612.0,6639.0,10724.0,10724.0,8895.0,105215.0,105215.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38883.0,405593.0,405593.0,9998.0,21026.0,21026.0,19677.0,224295.0,224295.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19846.0,216282.0,216282.0,4576.0,3386.0,3386.0,8986.0,102217.0,102217.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25471.0,276787.0,276787.0,5598.0,2397.0,2397.0,6838.0,79376.0,79376.0,,,
