measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,10668.0,148510.0,148510.0,,,,0.0,0.0,0.0,83.0,1217.0,1217.0
2003-02-01,10900.0,161871.0,161871.0,,,,0.0,0.0,0.0,8.0,117.0,117.0
2003-03-01,13144.0,188734.0,188734.0,,,,0.0,0.0,0.0,45.0,649.0,649.0
2003-04-01,11885.0,228588.0,228588.0,,,,0.0,0.0,0.0,115.0,1353.0,1353.0
2003-05-01,16143.0,252581.0,252581.0,,,,0.0,0.0,0.0,30.0,456.0,456.0
2003-06-01,16007.0,228100.0,228100.0,,,,0.0,0.0,0.0,68.0,959.0,959.0
2003-07-01,20538.0,292776.0,292776.0,,,,0.0,0.0,0.0,15.0,210.0,210.0
2003-08-01,16497.0,267921.0,267921.0,,,,0.0,0.0,0.0,76.0,1224.0,1224.0
2003-09-01,15941.0,263780.0,263780.0,,,,0.0,0.0,0.0,142.0,2322.0,2322.0
2003-10-01,15946.0,233215.0,233215.0,,,,0.0,0.0,0.0,106.0,1547.0,1547.0
2003-11-01,9841.0,150705.0,150705.0,,,,0.0,0.0,0.0,16.0,239.0,239.0
2003-12-01,10411.0,180566.0,180566.0,,,,0.0,0.0,0.0,6.0,104.0,104.0
2004-01-01,16521.25,261765.0,261765.0,,,,0.0,0.0,0.0,58.539,924.0,924.0
2004-02-01,13315.405999999999,210971.0,210971.0,,,,0.0,0.0,0.0,60.767,959.0,959.0
2004-03-01,12841.027,203455.0,203455.0,,,,0.0,0.0,0.0,41.31,652.0,652.0
2004-04-01,11944.694,189254.0,189254.0,,,,0.0,0.0,0.0,41.636,657.0,657.0
2004-05-01,13940.076000000001,220869.0,220869.0,,,,0.0,0.0,0.0,33.828,534.0,534.0
