measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2002-01-01,1004.3,31141.0,31141.0,960.5920000000001,29788.0,29788.0,406.34700000000004,4133.77,4133.77
2002-02-01,882.8290000000001,27375.0,27375.0,844.408,26185.0,26185.0,357.199,3633.79,3633.79
2002-03-01,878.734,27248.0,27248.0,840.491,26064.0,26064.0,355.54200000000003,3616.93,3616.93
2002-04-01,716.725,22224.0,22224.0,685.533,21259.0,21259.0,289.992,2950.09,2950.09
2002-05-01,970.951,30107.0,30107.0,928.695,28799.0,28799.0,392.85400000000004,3996.5,3996.5
2002-06-01,1006.667,31215.0,31215.0,962.8570000000001,29859.0,29859.0,407.305,4143.51,4143.51
2002-07-01,1080.991,33519.0,33519.0,1033.9460000000001,32063.0,32063.0,437.377,4449.44,4449.44
2002-08-01,1036.2540000000001,32132.0,32132.0,991.1560000000001,30736.0,30736.0,419.276,4265.29,4265.29
2002-09-01,990.9540000000001,30727.0,30727.0,947.827,29393.0,29393.0,400.947,4078.83,4078.83
2002-10-01,910.495,28232.0,28232.0,870.87,27006.0,27006.0,368.39300000000003,3747.66,3747.66
2002-11-01,934.851,28988.0,28988.0,894.166,27729.0,27729.0,378.247,3847.91,3847.91
2002-12-01,960.249,29775.0,29775.0,918.4590000000001,28482.0,28482.0,388.523,3952.44,3952.44
