measured_on,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,10753.439,65343.89,403484.6
2004-02-01,10753.439,65343.89,352008.2
2004-03-01,10753.439,65343.89,350760.0
2004-04-01,10753.439,65343.89,248139.0
2004-05-01,10753.439,65343.89,237758.4
2004-06-01,10753.439,65343.89,244821.0
2004-07-01,10753.439,65343.89,216175.6
2004-08-01,10753.439,65343.89,225608.2
2004-09-01,10753.439,65343.89,227820.2
2004-10-01,10753.439,65343.89,310549.0
2004-11-01,10753.439,65343.89,381980.8
2004-12-01,10753.439,65343.89,278253.8
2005-01-01,10971.428,66668.51,375913.6
2005-02-01,9483.923,57629.6,333237.8
2005-03-01,9046.026,54968.69,332669.0
2005-04-01,7172.481000000001,43583.99,267731.0
2005-05-01,6427.2880000000005,39055.78,267731.0
2005-06-01,6635.673000000001,40322.05,197041.8
2005-07-01,8376.697,50901.48,216855.0
2005-08-01,8251.858,50142.89,231817.6
2005-09-01,6515.636,39592.63,201860.8
2005-10-01,7198.409000000001,43741.54,244599.8
2005-11-01,9647.174,58621.6,339226.0
2005-12-01,9574.191,58178.12,344582.2
2006-01-01,9623.166000000001,58475.72,377556.8
2006-02-01,7954.165,48333.94,298161.8
2006-03-01,8265.302,50224.58,344313.6
2006-04-01,6201.617,37684.48,224755.0
2006-05-01,6201.617,37684.48,224755.0
2006-06-01,5972.106000000001,36289.84,192775.8
2006-07-01,6405.201,38921.57,190958.8
2006-08-01,5244.198,31866.67,174021.2
2006-09-01,4837.991,29398.33,181083.8
2006-10-01,5808.8550000000005,35297.84,237932.2
2006-11-01,9305.307,56544.23,371884.6
2006-12-01,9258.252,56258.3,358138.6
2007-01-01,9430.148000000001,57307.0,366844.0
2007-02-01,8840.521,53720.0,338610.0
2007-03-01,9944.867,60435.0,378284.0
2007-04-01,8263.382,50212.0,267178.0
2007-05-01,7725.615000000001,46942.0,231612.0
2007-06-01,7412.5560000000005,45046.0,206996.0
2007-07-01,7864.857,47795.0,215749.0
2007-08-01,5755.078,34965.0,179614.0
2007-09-01,7864.856000000001,47795.0,243652.0
2007-10-01,8824.198,53625.0,339574.0
