measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.895,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,77.13900000000001,1288.0,1288.0
2003-02-01,0.7230000000000001,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,62.325,1041.0,1041.0
2003-03-01,0.757,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,65.293,1090.0,1090.0
2003-04-01,0.727,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,62.709,1047.0,1047.0
2003-05-01,0.886,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,76.385,1276.0,1276.0
2003-06-01,0.887,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,76.44,1276.0,1276.0
2003-07-01,0.9660000000000001,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,83.294,1391.0,1391.0
2003-08-01,1.002,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39800000000001,1443.0,1443.0
2003-09-01,0.8360000000000001,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,72.075,1204.0,1204.0
2003-10-01,0.789,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,68.054,1136.0,1136.0
2003-11-01,0.71,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,61.186,1022.0,1022.0
