measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed
2020-01-01,693.18,4869.0,4869.0
2020-02-01,612.145,4299.0,4299.0
2020-03-01,679.521,4773.0,4773.0
2020-04-01,480.558,3375.0,3375.0
2020-05-01,451.855,3173.0,3173.0
2020-06-01,635.628,4464.0,4464.0
2020-07-01,889.177,6245.0,6245.0
2020-08-01,1105.754,7767.0,7767.0
2020-09-01,962.939,6763.0,6763.0
2020-10-01,1000.037,7024.0,7024.0
2020-11-01,798.794,5611.0,5611.0
2020-12-01,885.412,6219.0,6219.0
2021-01-01,588.902,4261.0,4261.0
2021-02-01,499.408,3614.0,3614.0
2021-03-01,536.96,3886.0,3886.0
2021-04-01,476.463,3448.0,3448.0
2021-05-01,497.965,3604.0,3604.0
2021-06-01,680.939,4928.0,4928.0
2021-07-01,939.683,6800.0,6800.0
2021-08-01,857.962,6209.0,6209.0
2021-09-01,730.024,5283.0,5283.0
2021-10-01,695.938,5037.0,5037.0
2021-11-01,639.601,4629.0,4629.0
2021-12-01,660.155,4777.0,4777.0
2022-01-01,629.333,4479.0,4479.0
2022-02-01,522.515,3720.0,3720.0
2022-03-01,483.465,3442.0,3442.0
2022-04-01,495.23,3526.0,3526.0
2022-05-01,454.457,3235.0,3235.0
