measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,492185.0,5151425.0,5151425.0,,,,,,
2001-02-01,399255.0,4085863.0,4085863.0,,,,,,
2001-03-01,637467.0,6388228.0,6388228.0,,,,,,
2001-04-01,589946.0,5864048.0,5864048.0,,,,,,
2001-05-01,643146.0,6241900.0,6241900.0,,,,,,
2001-06-01,480177.0,7912707.0,7912707.0,,,,,,
2001-07-01,666802.0,6581040.0,6581040.0,,,,,,
2001-08-01,612066.0,6114231.0,6114231.0,,,,,,
2001-09-01,177763.0,4979251.0,4979251.0,,,,0.0,0.0,0.0
2001-10-01,458858.0,4818608.0,4818608.0,,,,0.0,0.0,0.0
2001-11-01,362400.0,3582055.0,3582055.0,,,,,,
2001-12-01,266579.0,2654055.0,2654055.0,,,,,,
2002-01-01,308901.35,3101628.0,3101628.0,,,,,,
2002-02-01,320923.0,3012182.0,3012182.0,,,,,,
2002-03-01,178738.99,1773469.0,1773469.0,,,,,,
2002-04-01,77295.42,818070.0,818070.0,,,,,,
2002-05-01,209518.06,2101979.0,2101979.0,,,,,,
2002-06-01,260032.75,2816021.0,2816021.0,,,,,,
2002-07-01,328049.15,3564125.0,3564125.0,,,,,,
2002-08-01,207610.07,2346182.0,2346182.0,,,,,,
2002-09-01,127105.89,1404646.0,1404646.0,,,,,,
2002-10-01,1072.82,23045.0,23045.0,,,,,,
2002-11-01,2227.12,28118.0,28118.0,,,,,,
2002-12-01,909.86,26215.0,26215.0,,,,,,
2003-01-01,25345.0,336585.0,336585.0,,,,,,
2003-02-01,17158.0,276219.0,276219.0,,,,,,
2003-03-01,65745.0,813059.0,813059.0,,,,,,
2003-04-01,62454.0,675094.0,675094.0,,,,,,
2003-05-01,3489.0,70317.0,70317.0,,,,,,
2003-06-01,41531.0,531273.0,531273.0,,,,,,
2003-07-01,331758.0,3430600.0,3430600.0,,,,,,
2003-08-01,220900.0,2308280.0,2308280.0,,,,,,
2003-09-01,186755.0,1920048.0,1920048.0,,,,,,
2003-10-01,74313.0,908044.0,908044.0,,,,,,
2003-11-01,11291.0,119214.0,119214.0,,,,,,
2003-12-01,2275.0,38955.0,38955.0,,,,,,
2004-01-01,2397.0,54891.0,54891.0,,,,,,
2004-02-01,78934.0,924108.0,924108.0,,,,,,
2004-03-01,146892.0,1571501.0,1571501.0,,,,,,
2004-04-01,142509.0,1279049.0,1279049.0,,,,,,
2004-05-01,116125.0,1285775.0,1285775.0,,,,,,
2004-06-01,128042.0,1491247.0,1491247.0,,,,,,
2004-07-01,193856.0,2225997.0,2225997.0,,,,,,
2004-08-01,171606.0,1899440.0,1899440.0,,,,,,
2004-09-01,163762.0,1811811.0,1811811.0,,,,,,
2004-10-01,1404.0,23906.0,23906.0,,,,,,
2004-11-01,7734.0,146618.0,146618.0,,,,,,
2004-12-01,137047.0,1464058.0,1464058.0,,,,,,
2005-01-01,1181.0,20184.66,20184.66,,,,,,
2005-02-01,5958.0,124122.09,124122.09,,,,,,
2005-03-01,908.0,21463.14,21463.14,,,,,,
2005-04-01,0.0,906.88,906.88,,,,,,
2005-05-01,28856.0,372307.76,372307.76,,,,,,
2005-06-01,16220.0,251834.56,251834.56,,,,,,
2005-07-01,200590.0,2203568.67,2203568.67,,,,,,
2005-08-01,137089.0,1560740.17,1560740.17,,,,,,
2005-09-01,10875.0,160090.65,160090.65,,,,,,
2005-10-01,27381.0,292042.46,292042.46,,,,,,
2005-11-01,447.0,14478.07,14478.07,,,,,,
2005-12-01,0.0,0.0,0.0,,,,,,
2006-01-01,0.0,0.0,0.0,,,,,,
2006-02-01,3870.0,91457.0,91457.0,,,,,,
2006-03-01,2290.0,88024.0,88024.0,,,,,,
2006-04-01,135491.0,1489112.0,1489112.0,,,,,,
2006-05-01,33174.0,350065.0,350065.0,,,,,,
2006-06-01,99860.0,1198688.0,1198688.0,,,,,,
2006-07-01,275510.0,2913611.0,2913611.0,,,,,,
2006-08-01,17066.0,233280.0,233280.0,,,,,,
2006-09-01,19192.0,246328.0,246328.0,,,,,,
2006-10-01,0.0,0.0,0.0,,,,,,
2006-11-01,1430.0,34898.0,34898.0,,,,,,
2006-12-01,300.0,5915.0,5915.0,,,,,,
