measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Subbituminous Coal-Combined Cycle Combustion Turbine Part Generation,Subbituminous Coal-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Subbituminous Coal-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,,,,0.0,0.0,0.0,20209.0,207245.0,207245.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,166111.0,1727628.0,1727628.0
2003-02-01,,,,,,,,,,0.0,0.0,0.0,12913.0,138195.0,138195.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,139541.0,1452015.0,1452015.0
2003-03-01,,,,,,,,,,0.0,0.0,0.0,11500.0,111436.0,111436.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,156145.0,1647500.0,1647500.0
2003-04-01,,,,,,,,,,0.0,0.0,0.0,8961.0,85312.0,85312.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,113844.0,1223006.0,1223006.0
2003-05-01,,,,,,,,,,0.0,0.0,0.0,3046.0,52233.0,52233.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,89469.0,1017148.0,1017148.0
2003-06-01,,,,,,,,,,0.0,0.0,0.0,10996.0,111745.0,111745.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,133787.0,1409406.0,1409406.0
2003-07-01,,,,,,,,,,0.0,0.0,0.0,75877.0,613867.0,613867.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,139705.0,1437150.0,1437150.0
2003-08-01,,,,,,,,,,0.0,0.0,0.0,93134.0,793950.0,793950.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,113399.0,1226568.0,1226568.0
2003-09-01,,,,,,,,,,0.0,0.0,0.0,54201.0,451677.0,451677.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,133160.0,1427950.0,1427950.0
2003-10-01,,,,,,,,,,0.0,0.0,0.0,40009.0,334121.0,334121.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,76298.0,863527.0,863527.0
2003-11-01,,,,,,,,,,0.0,0.0,0.0,32604.0,285841.0,285841.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,53738.0,598378.0,598378.0
2003-12-01,,,,,,,,,,0.0,0.0,0.0,11115.0,102770.0,102770.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,116057.0,1198132.0,1198132.0
2004-01-01,,,,,,,,,,0.0,0.0,0.0,39870.0,354077.0,354077.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,115780.0,1178848.0,1178848.0
2004-02-01,,,,,,,,,,0.0,0.0,0.0,61739.0,523020.0,523020.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,136738.0,1360789.0,1360789.0
2004-03-01,,,,,,,,,,0.0,0.0,0.0,73408.0,587938.0,587938.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,149240.0,1500036.0,1500036.0
2004-04-01,,,,,,,,,,0.0,0.0,0.0,80728.0,621673.0,621673.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,107879.0,1129355.0,1129355.0
2004-05-01,,,,,,,,,,0.0,0.0,0.0,48612.0,395427.0,395427.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,39198.0,450328.0,450328.0
2004-06-01,,,,,,,,,,0.0,0.0,0.0,20027.0,175078.0,175078.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,93565.0,971504.0,971504.0
2004-07-01,,,,,,,,,,0.0,0.0,0.0,60370.0,493170.0,493170.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,142420.0,1472789.0,1472789.0
2004-08-01,,,,,,,,,,2.0,17.0,17.0,14738.0,131133.0,131133.0,0.0,0.0,0.0,,,,875.0,9130.0,9130.0,0.0,0.0,0.0,,,,133872.0,1397730.0,1397730.0
2004-09-01,,,,,,,,,,3.0,35.0,35.0,59767.0,497137.0,497137.0,0.0,0.0,0.0,,,,3445.0,37115.0,37115.0,0.0,0.0,0.0,,,,142817.0,1538463.0,1538463.0
2004-10-01,,,,,,,,,,0.0,0.0,0.0,20223.0,170074.0,170074.0,0.0,0.0,0.0,,,,272.0,2791.0,2791.0,0.0,0.0,0.0,,,,164558.0,1693756.0,1693756.0
2004-11-01,,,,,,,,,,2.0,18.0,18.0,38634.0,316931.0,316931.0,0.0,0.0,0.0,,,,263.0,2772.0,2772.0,0.0,0.0,0.0,,,,146363.0,1539922.0,1539922.0
2004-12-01,,,,,,,,,,2.0,18.0,18.0,14161.0,138208.0,138208.0,83.0,836.0,836.0,,,,159.0,1563.0,1563.0,0.0,0.0,0.0,,,,167529.0,1660560.0,1660560.0
2005-01-01,,,,,,,,,,1.0,11.76,11.76,65078.0,551622.39,551622.39,11.0,111.65,111.65,,,,370.0,3971.76,3971.76,0.0,0.0,0.0,,,,141066.0,1515609.82,1515609.82
2005-02-01,,,,,,,,,,1.0,11.76,11.76,65168.0,513212.67,513212.67,34.0,347.14,347.14,,,,746.0,7169.56,7169.56,0.0,0.0,0.0,,,,113352.0,1088691.97,1088691.97
2005-03-01,,,,,,,,,,2.0,17.64,17.64,-926.0,0.0,0.0,0.0,0.0,0.0,,,,7717.0,76854.38,76854.38,0.0,0.0,0.0,,,,134355.0,1337966.21,1337966.21
2005-04-01,,,,,,,,,,1.0,11.76,11.76,-878.0,0.0,0.0,0.0,1.0,1.0,,,,1903.0,20230.6,20230.6,0.0,0.0,0.0,,,,149633.0,1590400.84,1590400.84
2005-05-01,,,,,,,,,,1.0,11.76,11.76,-886.0,0.0,0.0,0.0,2.01,2.01,,,,5257.0,58136.12,58136.12,0.0,0.0,0.0,,,,131853.0,1458205.93,1458205.93
2005-06-01,,,,,,,,,,560.0,6067.13,6067.13,102990.0,819799.95,819799.95,505.0,5211.8,5211.8,,,,161.0,1725.46,1725.46,0.0,0.0,0.0,,,,134627.0,1444023.27,1444023.27
2005-07-01,,,,,,,,,,7.0,76.43,76.43,86781.0,727317.58,727317.58,290.0,3051.02,3051.02,,,,111.0,1213.16,1213.16,0.0,0.0,0.0,,,,113901.0,1248848.33,1248848.33
2005-08-01,,,,,,,,,,14.0,135.63,135.63,57730.0,451193.01,451193.01,0.0,0.0,0.0,,,,8032.0,81338.12,81338.12,0.0,0.0,0.0,,,,127245.0,1288587.56,1288587.56
2005-09-01,,,,,,,,,,4.0,35.27,35.27,45362.0,361712.74,361712.74,0.0,0.0,0.0,,,,288.0,2860.7,2860.7,0.0,0.0,0.0,,,,149214.0,1480316.11,1480316.11
2005-10-01,,,,,,,,,,12.0,117.74,117.74,43450.0,334786.37,334786.37,0.0,0.0,0.0,,,,910.0,9019.75,9019.75,0.0,0.0,0.0,,,,148987.0,1476235.54,1476235.54
2005-11-01,,,,,,,,,,9.0,111.85,111.85,23148.0,212353.78,212353.78,0.0,0.0,0.0,,,,322.0,3316.64,3316.64,0.0,0.0,0.0,,,,159899.0,1648367.12,1648367.12
2005-12-01,,,,,,,,,,3.0,35.32,35.32,47294.0,395780.81,395780.81,0.0,0.0,0.0,,,,152.0,1499.06,1499.06,0.0,0.0,0.0,,,,155391.0,1534025.5,1534025.5
