measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2014-12-01,0.0,0.0,0.0,,,,395.347,3760.0,3760.0
2015-01-01,0.0,0.0,0.0,,,,336.35,3134.0,3134.0
2015-02-01,0.0,0.0,0.0,,,,222.883,2077.0,2077.0
2015-03-01,0.0,0.0,0.0,,,,235.828,2198.0,2198.0
2015-04-01,0.0,0.0,0.0,,,,578.819,5394.0,5394.0
2015-05-01,0.0,0.0,0.0,,,,479.197,4466.0,4466.0
2015-06-01,0.0,0.0,0.0,,,,626.885,5842.0,5842.0
2015-07-01,0.0,0.0,0.0,,,,480.098,4474.0,4474.0
2015-08-01,0.0,0.0,0.0,,,,193.615,1804.0,1804.0
2015-09-01,0.0,0.0,0.0,,,,112.567,1049.0,1049.0
2015-10-01,0.0,0.0,0.0,,,,232.563,2167.0,2167.0
2015-11-01,0.0,0.0,0.0,,,,311.473,2903.0,2903.0
2015-12-01,0.0,0.0,0.0,,,,519.722,4843.0,4843.0
2016-01-01,0.0,0.0,0.0,,,,535.111,4940.0,4940.0
2016-02-01,0.0,0.0,0.0,,,,556.459,5137.0,5137.0
2016-03-01,0.0,0.0,0.0,,,,750.807,6931.0,6931.0
2016-04-01,0.0,0.0,0.0,,,,703.006,6490.0,6490.0
2016-05-01,0.0,0.0,0.0,,,,281.569,2599.0,2599.0
2016-06-01,0.0,0.0,0.0,,,,301.737,2786.0,2786.0
2016-07-01,0.0,0.0,0.0,,,,217.266,2006.0,2006.0
2016-08-01,0.0,0.0,0.0,,,,169.203,1562.0,1562.0
2016-09-01,0.0,0.0,0.0,,,,60.505,559.0,559.0
2016-10-01,0.0,0.0,0.0,,,,24.883,230.0,230.0
2016-11-01,0.0,0.0,0.0,,,,100.579,929.0,929.0
2016-12-01,0.0,0.0,0.0,,,,389.875,3599.0,3599.0
2017-01-01,,,,0.0,0.0,0.0,305.915,2818.0,2818.0
2017-02-01,,,,0.0,0.0,0.0,304.495,2805.0,2805.0
2017-03-01,,,,0.0,0.0,0.0,375.122,3456.0,3456.0
2017-04-01,,,,0.0,0.0,0.0,521.72,4807.0,4807.0
2017-05-01,,,,0.0,0.0,0.0,545.838,5029.0,5029.0
2017-06-01,,,,0.0,0.0,0.0,417.031,3842.0,3842.0
2017-07-01,,,,0.0,0.0,0.0,347.284,3200.0,3200.0
2017-08-01,,,,0.0,0.0,0.0,218.41,2012.0,2012.0
2017-09-01,,,,0.0,0.0,0.0,164.729,1518.0,1518.0
2017-10-01,,,,0.0,0.0,0.0,158.505,1460.0,1460.0
2017-11-01,,,,0.0,0.0,0.0,375.257,3457.0,3457.0
2017-12-01,,,,0.0,0.0,0.0,290.694,2678.0,2678.0
2018-01-01,,,,0.0,0.0,0.0,292.39,2662.0,2662.0
2018-02-01,,,,0.0,0.0,0.0,312.901,2849.0,2849.0
2018-03-01,,,,0.0,0.0,0.0,346.745,3157.0,3157.0
2018-04-01,,,,0.0,0.0,0.0,415.704,3785.0,3785.0
2018-05-01,,,,0.0,0.0,0.0,339.273,3089.0,3089.0
2018-06-01,,,,0.0,0.0,0.0,154.79,1409.0,1409.0
2018-07-01,,,,0.0,0.0,0.0,133.766,1218.0,1218.0
2018-08-01,,,,0.0,0.0,0.0,184.385,1679.0,1679.0
2018-09-01,,,,0.0,0.0,0.0,176.889,1610.0,1610.0
2018-10-01,,,,0.0,0.0,0.0,263.648,2400.0,2400.0
2018-11-01,,,,0.0,0.0,0.0,362.837,3303.0,3303.0
2018-12-01,,,,0.0,0.0,0.0,388.672,3538.0,3538.0
2019-01-01,,,,0.0,0.0,0.0,458.696,4085.0,4085.0
2019-02-01,,,,0.0,0.0,0.0,426.029,3794.0,3794.0
2019-03-01,,,,0.0,0.0,0.0,449.655,4004.0,4004.0
2019-04-01,,,,0.0,0.0,0.0,487.563,4342.0,4342.0
2019-05-01,,,,0.0,0.0,0.0,517.956,4612.0,4612.0
2019-06-01,,,,0.0,0.0,0.0,369.014,3286.0,3286.0
2019-07-01,,,,0.0,0.0,0.0,224.093,1996.0,1996.0
2019-08-01,,,,0.0,0.0,0.0,126.037,1122.0,1122.0
2019-09-01,,,,0.0,0.0,0.0,112.005,997.0,997.0
2019-10-01,,,,0.0,0.0,0.0,244.447,2177.0,2177.0
2019-11-01,,,,0.0,0.0,0.0,298.134,2655.0,2655.0
2019-12-01,,,,0.0,0.0,0.0,404.371,3601.0,3601.0
2020-01-01,,,,0.0,0.0,0.0,589.86,5171.0,5171.0
2020-02-01,,,,0.0,0.0,0.0,502.715,4407.0,4407.0
2020-03-01,,,,0.0,0.0,0.0,686.019,6014.0,6014.0
2020-04-01,,,,0.0,0.0,0.0,740.176,6489.0,6489.0
2020-05-01,,,,0.0,0.0,0.0,667.031,5848.0,5848.0
2020-06-01,,,,0.0,0.0,0.0,220.779,1936.0,1936.0
2020-07-01,,,,0.0,0.0,0.0,280.427,2459.0,2459.0
2020-08-01,,,,0.0,0.0,0.0,151.615,1329.0,1329.0
2020-09-01,,,,0.0,0.0,0.0,86.308,757.0,757.0
2020-10-01,,,,0.0,0.0,0.0,321.003,2814.0,2814.0
2020-11-01,,,,0.0,0.0,0.0,378.514,3318.0,3318.0
2020-12-01,,,,0.0,0.0,0.0,510.553,4476.0,4476.0
2021-01-01,,,,0.0,0.0,0.0,411.249,3637.0,3637.0
2021-02-01,,,,0.0,0.0,0.0,264.156,2336.0,2336.0
2021-03-01,,,,0.0,0.0,0.0,406.86,3598.0,3598.0
2021-04-01,,,,0.0,0.0,0.0,501.954,4439.0,4439.0
2021-05-01,,,,0.0,0.0,0.0,385.077,3406.0,3406.0
2021-06-01,,,,0.0,0.0,0.0,170.661,1509.0,1509.0
2021-07-01,,,,0.0,0.0,0.0,339.912,3006.0,3006.0
2021-08-01,,,,0.0,0.0,0.0,237.985,2105.0,2105.0
2021-09-01,,,,0.0,0.0,0.0,274.029,2424.0,2424.0
2021-10-01,,,,0.0,0.0,0.0,294.089,2601.0,2601.0
2021-11-01,,,,0.0,0.0,0.0,415.385,3674.0,3674.0
2021-12-01,,,,0.0,0.0,0.0,407.643,3605.0,3605.0
2022-01-01,,,,0.0,0.0,0.0,409.58,1397.0,1397.0
2022-02-01,,,,0.0,0.0,0.0,506.578,1728.0,1728.0
2022-03-01,,,,0.0,0.0,0.0,742.978,2535.0,2535.0
2022-04-01,,,,0.0,0.0,0.0,850.976,2904.0,2904.0
2022-05-01,,,,0.0,0.0,0.0,620.145,2116.0,2116.0
2022-06-01,,,,0.0,0.0,0.0,292.453,998.0,998.0
2022-07-01,,,,0.0,0.0,0.0,166.47,568.0,568.0
2022-08-01,,,,0.0,0.0,0.0,145.884,498.0,498.0
2022-09-01,,,,0.0,0.0,0.0,272.597,930.0,930.0
2022-10-01,,,,0.0,0.0,0.0,357.27,1219.0,1219.0
2022-11-01,,,,0.0,0.0,0.0,396.799,1354.0,1354.0
2022-12-01,,,,0.0,0.0,0.0,574.27,1959.0,1959.0
2023-01-01,,,,0.0,0.0,0.0,687.0,2344.0,2344.0
2023-02-01,,,,0.0,0.0,0.0,325.0,1109.0,1109.0
2023-03-01,,,,0.0,0.0,0.0,392.0,1338.0,1338.0
2023-04-01,,,,0.0,0.0,0.0,499.0,1703.0,1703.0
2023-05-01,,,,0.0,0.0,0.0,451.0,1539.0,1539.0
2023-06-01,,,,0.0,0.0,0.0,327.0,1116.0,1116.0
2023-07-01,,,,0.0,0.0,0.0,756.0,2579.0,2579.0
2023-08-01,,,,0.0,0.0,0.0,627.0,2139.0,2139.0
2023-09-01,,,,0.0,0.0,0.0,488.0,1665.0,1665.0
2023-10-01,,,,0.0,0.0,0.0,501.0,1709.0,1709.0
2023-11-01,,,,0.0,0.0,0.0,527.0,1798.0,1798.0
2023-12-01,,,,0.0,0.0,0.0,758.0,2586.0,2586.0
2024-01-01,,,,0.0,0.0,0.0,629.0,2146.0,2146.0
2024-02-01,,,,0.0,0.0,0.0,347.0,1184.0,1184.0
2024-03-01,,,,0.0,0.0,0.0,869.0,2965.0,2965.0
2024-04-01,,,,0.0,0.0,0.0,810.0,2764.0,2764.0
2024-05-01,,,,0.0,0.0,0.0,815.0,2781.0,2781.0
2024-06-01,,,,0.0,0.0,0.0,603.0,2057.0,2057.0
2024-07-01,,,,0.0,0.0,0.0,671.0,2289.0,2289.0
2024-08-01,,,,0.0,0.0,0.0,801.0,2733.0,2733.0
2024-09-01,,,,0.0,0.0,0.0,312.0,1065.0,1065.0
2024-10-01,,,,0.0,0.0,0.0,206.0,703.0,703.0
2024-11-01,,,,0.0,0.0,0.0,273.0,931.0,931.0
2024-12-01,,,,0.0,0.0,0.0,586.0,1999.0,1999.0
