measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,0.17700000000000002,5.0,5.0,,,,264.966,2713.52,2713.52
2003-02-01,0.15,4.0,4.0,,,,225.485,2309.19,2309.19
2003-03-01,0.171,4.0,4.0,,,,256.786,2629.75,2629.75
2003-04-01,0.17800000000000002,5.0,5.0,,,,266.315,2727.33,2727.33
2003-05-01,0.183,5.0,5.0,,,,274.707,2813.27,2813.27
2003-06-01,0.162,4.0,4.0,,,,242.575,2484.21,2484.21
2003-07-01,0.158,4.0,4.0,,,,236.23100000000002,2419.24,2419.24
2003-08-01,0.169,4.0,4.0,,,,253.001,2590.98,2590.98
2003-09-01,0.134,3.0,3.0,,,,200.37,2051.99,2051.99
2003-10-01,0.16,4.0,4.0,,,,239.12900000000002,2448.92,2448.92
2003-11-01,0.17700000000000002,5.0,5.0,,,,264.671,2710.5,2710.5
2003-12-01,0.183,5.0,5.0,,,,273.76300000000003,2803.61,2803.61
2004-01-01,0.0,0.0,0.0,,,,279.29900000000004,2799.13,2799.13
2004-02-01,0.0,0.0,0.0,,,,173.452,1738.34,1738.34
2004-03-01,0.0,0.0,0.0,,,,477.619,4786.7,4786.7
2004-04-01,0.0,0.0,0.0,,,,561.21,5624.45,5624.45
2004-05-01,0.0,0.0,0.0,,,,494.86,4959.49,4959.49
2004-06-01,0.0,0.0,0.0,,,,337.708,3384.51,3384.51
2004-07-01,0.0,0.0,0.0,,,,273.44800000000004,2740.5,2740.5
2004-08-01,0.0,0.0,0.0,,,,348.993,3497.61,3497.61
2004-09-01,0.0,0.0,0.0,,,,313.571,3142.61,3142.61
2004-10-01,0.0,0.0,0.0,,,,109.71300000000001,1099.54,1099.54
2004-11-01,0.0,0.0,0.0,,,,247.012,2475.55,2475.55
2004-12-01,0.0,0.0,0.0,,,,382.11600000000004,3829.57,3829.57
2005-01-01,0.0,0.0,0.0,,,,269.585,2695.58,2695.58
2005-02-01,0.0,0.0,0.0,,,,233.08200000000002,2330.59,2330.59
2005-03-01,0.0,0.0,0.0,,,,255.33200000000002,2553.06,2553.06
2005-04-01,0.0,0.0,0.0,,,,243.894,2438.7,2438.7
2005-05-01,0.0,0.0,0.0,,,,220.62400000000002,2206.02,2206.02
2005-06-01,0.0,0.0,0.0,,,,248.512,2484.87,2484.87
2005-07-01,0.0,0.0,0.0,,,,266.747,2667.2,2667.2
2005-08-01,0.0,0.0,0.0,,,,225.70100000000002,2256.79,2256.79
2005-09-01,0.0,0.0,0.0,,,,186.755,1867.37,1867.37
2005-10-01,0.0,0.0,0.0,,,,159.393,1593.77,1593.77
2005-11-01,0.0,0.0,0.0,,,,170.58200000000002,1705.65,1705.65
2005-12-01,0.0,0.0,0.0,,,,208.795,2087.74,2087.74
2006-01-01,0.35300000000000004,7.0,7.0,,,,419.31800000000004,4159.0,4159.0
2006-02-01,0.184,4.0,4.0,,,,378.101,3750.0,3750.0
2006-03-01,0.155,3.0,3.0,,,,333.112,3304.0,3304.0
2006-04-01,0.29700000000000004,6.0,6.0,,,,362.582,3596.0,3596.0
2006-05-01,0.277,6.0,6.0,,,,428.692,4252.0,4252.0
2006-06-01,0.252,5.0,5.0,,,,421.218,4178.0,4178.0
2006-07-01,0.365,8.0,8.0,,,,441.705,4381.0,4381.0
2006-08-01,0.35400000000000004,8.0,8.0,,,,438.51300000000003,4350.0,4350.0
2006-09-01,0.163,3.0,3.0,,,,284.647,2823.0,2823.0
2006-10-01,0.17200000000000001,4.0,4.0,,,,250.936,2489.0,2489.0
2006-11-01,0.203,4.0,4.0,,,,293.92900000000003,2915.0,2915.0
2006-12-01,0.224,5.0,5.0,,,,311.249,3087.0,3087.0
2007-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-01-01,0.125,6.0,6.0,,,,0.685,7.0,7.0
2008-02-01,0.096,6.0,6.0,,,,0.634,6.0,6.0
2008-03-01,0.099,6.0,6.0,,,,0.757,7.0,7.0
2008-04-01,0.056,6.0,6.0,,,,0.758,7.0,7.0
2008-05-01,0.049,6.0,6.0,,,,0.5810000000000001,6.0,6.0
2008-06-01,0.109,6.0,6.0,,,,0.522,5.0,5.0
2008-07-01,0.10400000000000001,6.0,6.0,,,,0.48800000000000004,5.0,5.0
2008-08-01,0.062,6.0,6.0,,,,0.656,6.0,6.0
2008-09-01,0.07200000000000001,6.0,6.0,,,,0.17400000000000002,2.0,2.0
2008-10-01,0.047,6.0,6.0,,,,0.395,4.0,4.0
2008-11-01,0.057,6.0,6.0,,,,0.665,7.0,7.0
2008-12-01,0.124,12.0,12.0,,,,0.685,7.0,7.0
2009-01-01,1.389,31.0,31.0,,,,396.005,3865.0,3865.0
2009-02-01,0.368,6.0,6.0,,,,391.95,3825.0,3825.0
2009-03-01,0.35700000000000004,6.0,6.0,,,,633.543,6183.0,6183.0
2009-04-01,0.08800000000000001,0.0,0.0,,,,587.9780000000001,5739.0,5739.0
2009-05-01,0.077,0.0,0.0,,,,571.1170000000001,5574.0,5574.0
2009-06-01,0.05,0.0,0.0,,,,417.56,4075.0,4075.0
2009-07-01,0.081,0.0,0.0,,,,549.562,5364.0,5364.0
2009-08-01,0.252,6.0,6.0,,,,318.74600000000004,3111.0,3111.0
2009-09-01,0.044000000000000004,0.0,0.0,,,,120.69,1178.0,1178.0
2009-10-01,0.062,0.0,0.0,,,,227.294,2218.0,2218.0
2009-11-01,0.08,0.0,0.0,,,,383.30600000000004,3741.0,3741.0
2009-12-01,0.152,0.0,0.0,,,,503.249,4912.0,4912.0
2010-01-01,0.0,0.0,0.0,,,,0.403,4.0,4.0
2010-02-01,0.0,0.0,0.0,,,,0.36100000000000004,4.0,4.0
2010-03-01,0.0,0.0,0.0,,,,0.526,5.0,5.0
2010-04-01,0.0,0.0,0.0,,,,0.645,6.0,6.0
2010-05-01,0.0,0.0,0.0,,,,0.512,5.0,5.0
2010-06-01,0.0,0.0,0.0,,,,0.395,4.0,4.0
2010-07-01,0.0,0.0,0.0,,,,0.272,3.0,3.0
2010-08-01,0.0,0.0,0.0,,,,0.21200000000000002,2.0,2.0
2010-09-01,0.0,0.0,0.0,,,,0.112,1.0,1.0
2010-10-01,0.0,0.0,0.0,,,,0.53,5.0,5.0
2010-11-01,0.0,0.0,0.0,,,,0.626,6.0,6.0
2010-12-01,1.0,25.0,25.0,,,,0.406,4.0,4.0
2011-01-01,0.0,6.0,6.0,,,,0.4,4.0,4.0
2011-02-01,0.0,6.0,6.0,,,,0.293,3.0,3.0
2011-03-01,0.0,0.0,0.0,,,,0.602,6.0,6.0
2011-04-01,0.0,0.0,0.0,,,,0.565,5.0,5.0
2011-05-01,0.0,0.0,0.0,,,,0.615,6.0,6.0
2011-06-01,0.0,0.0,0.0,,,,0.536,5.0,5.0
2011-07-01,0.0,6.0,6.0,,,,0.139,1.0,1.0
2011-08-01,0.0,6.0,6.0,,,,0.106,1.0,1.0
2011-09-01,0.0,6.0,6.0,,,,0.355,3.0,3.0
2011-10-01,0.0,0.0,0.0,,,,0.539,5.0,5.0
2011-11-01,0.0,0.0,0.0,,,,0.324,3.0,3.0
2011-12-01,0.0,0.0,0.0,,,,0.526,5.0,5.0
2012-01-01,0.0,0.0,0.0,,,,257.285,2448.0,2448.0
2012-02-01,0.0,0.0,0.0,,,,223.895,2131.0,2131.0
2012-03-01,0.0,0.0,0.0,,,,361.086,3436.0,3436.0
2012-04-01,0.0,0.0,0.0,,,,318.946,3035.0,3035.0
2012-05-01,0.0,0.0,0.0,,,,347.084,3303.0,3303.0
2012-06-01,0.0,0.0,0.0,,,,189.362,1802.0,1802.0
2012-07-01,0.0,0.0,0.0,,,,93.233,887.0,887.0
2012-08-01,0.0,0.0,0.0,,,,66.441,632.0,632.0
2012-09-01,0.0,0.0,0.0,,,,88.723,844.0,844.0
2012-10-01,0.0,0.0,0.0,,,,272.834,2596.0,2596.0
2012-11-01,0.0,0.0,0.0,,,,221.943,2112.0,2112.0
2012-12-01,3.0,43.0,43.0,,,,328.168,3123.0,3123.0
2013-01-01,1.245,6.0,6.0,,,,0.459,4.0,4.0
2013-02-01,0.966,6.0,6.0,,,,0.331,3.0,3.0
2013-03-01,0.064,0.0,0.0,,,,0.43,4.0,4.0
2013-04-01,0.112,0.0,0.0,,,,0.612,6.0,6.0
2013-05-01,0.074,0.0,0.0,,,,0.427,4.0,4.0
2013-06-01,0.118,0.0,0.0,,,,0.566,5.0,5.0
2013-07-01,0.556,0.0,0.0,,,,0.535,5.0,5.0
2013-08-01,0.096,0.0,0.0,,,,0.276,3.0,3.0
2013-09-01,0.11,0.0,0.0,,,,0.264,3.0,3.0
2013-10-01,0.072,0.0,0.0,,,,0.199,2.0,2.0
2013-11-01,0.146,0.0,0.0,,,,0.419,4.0,4.0
2013-12-01,1.441,6.0,6.0,,,,0.482,5.0,5.0
2014-01-01,0.0,0.0,0.0,,,,390.639,3715.0,3715.0
2014-02-01,0.0,0.0,0.0,,,,221.353,2105.0,2105.0
2014-03-01,0.0,0.0,0.0,,,,205.159,1951.0,1951.0
2014-04-01,0.0,0.0,0.0,,,,451.18,4291.0,4291.0
2014-05-01,0.0,0.0,0.0,,,,512.285,4872.0,4872.0
2014-06-01,0.0,0.0,0.0,,,,309.009,2939.0,2939.0
2014-07-01,0.0,0.0,0.0,,,,217.775,2071.0,2071.0
2014-08-01,0.0,0.0,0.0,,,,179.361,1706.0,1706.0
2014-09-01,0.0,0.0,0.0,,,,70.615,672.0,672.0
2014-10-01,0.0,0.0,0.0,,,,227.473,2163.0,2163.0
2014-11-01,0.0,0.0,0.0,,,,231.804,2204.0,2204.0
