measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,,,,1508.626,16973.0,16973.0
2003-02-01,,,,1360.56,15307.0,15307.0
2003-03-01,,,,1527.515,17185.0,17185.0
2003-04-01,,,,1378.6290000000001,15510.0,15510.0
2003-05-01,,,,1242.316,13977.0,13977.0
2003-06-01,,,,1415.558,15926.0,15926.0
2003-07-01,,,,1353.294,15225.0,15225.0
2003-08-01,,,,1302.101,14649.0,14649.0
2003-09-01,,,,1292.546,14542.0,14542.0
2003-10-01,,,,1323.71,14893.0,14893.0
2003-11-01,,,,1384.083,15572.0,15572.0
2003-12-01,,,,1501.063,16888.0,16888.0
2004-01-01,,,,1265.0,14231.0,14231.0
2004-02-01,,,,1265.0,14231.0,14231.0
2004-03-01,,,,1265.0,14231.0,14231.0
2004-04-01,,,,1265.0,14231.0,14231.0
2004-05-01,,,,1265.0,14231.0,14231.0
2004-06-01,,,,1265.0,14231.0,14231.0
2004-07-01,,,,1265.0,14231.0,14231.0
2004-08-01,,,,1265.0,14231.0,14231.0
2004-09-01,,,,1265.0,14231.0,14231.0
2004-10-01,,,,1265.0,14231.0,14231.0
2004-11-01,,,,1265.0,14231.0,14231.0
2004-12-01,,,,1265.0,14231.0,14231.0
2005-01-01,,,,976.5110000000001,9404.76,9404.76
2005-02-01,,,,990.821,9542.58,9542.58
2005-03-01,,,,1173.2920000000001,11299.95,11299.95
2005-04-01,,,,1139.316,10972.73,10972.73
2005-05-01,,,,1113.736,10726.37,10726.37
2005-06-01,,,,1180.2820000000002,11367.27,11367.27
2005-07-01,,,,1241.164,11953.63,11953.63
2005-08-01,,,,1204.7540000000001,11602.96,11602.96
2005-09-01,,,,1085.961,10458.87,10458.87
2005-10-01,,,,887.326,8545.82,8545.82
2005-11-01,,,,1249.977,12038.5,12038.5
2005-12-01,,,,1075.858,10361.57,10361.57
2006-01-01,,,,1217.2140000000002,12212.0,12212.0
2006-02-01,,,,1124.891,11286.0,11286.0
2006-03-01,,,,1240.8310000000001,12449.0,12449.0
2006-04-01,,,,912.951,9160.0,9160.0
2006-05-01,,,,1116.16,11199.0,11199.0
2006-06-01,,,,1169.222,11731.0,11731.0
2006-07-01,,,,1213.458,12175.0,12175.0
2006-08-01,,,,1206.161,12102.0,12102.0
2006-09-01,,,,1153.722,11575.0,11575.0
2006-10-01,,,,1197.1860000000001,12012.0,12012.0
2006-11-01,,,,1209.143,12132.0,12132.0
2006-12-01,,,,1165.0610000000001,11689.0,11689.0
2007-01-01,713.0790000000001,7188.0,7188.0,,,
2007-02-01,505.108,5092.0,5092.0,,,
2007-03-01,565.883,5705.0,5705.0,,,
2007-04-01,1355.6090000000002,13666.0,13666.0,,,
2007-05-01,986.433,9944.0,9944.0,,,
2007-06-01,1485.2,14972.0,14972.0,,,
2007-07-01,2227.716,22457.0,22457.0,,,
2007-08-01,1657.928,16713.0,16713.0,,,
2007-09-01,1882.693,18979.0,18979.0,,,
2007-10-01,601.1370000000001,6060.0,6060.0,,,
2007-11-01,1956.6180000000002,19724.0,19724.0,,,
2007-12-01,401.59700000000004,4049.0,4049.0,,,
2008-01-01,1429.838,15294.0,15294.0,,,
2008-02-01,1314.729,14062.0,14062.0,,,
2008-03-01,1272.915,13615.0,13615.0,,,
2008-04-01,1345.377,14390.0,14390.0,,,
2008-05-01,1449.116,15500.0,15500.0,,,
2008-06-01,1044.002,11166.0,11166.0,,,
2008-07-01,1460.491,15621.0,15621.0,,,
2008-08-01,1325.6770000000001,14179.0,14179.0,,,
2008-09-01,1384.29,14806.0,14806.0,,,
2008-10-01,1483.501,15867.0,15867.0,,,
2008-11-01,1188.607,12713.0,12713.0,,,
2008-12-01,1261.457,13492.0,13492.0,,,
2009-01-01,1488.318,14918.0,14918.0,,,
2009-02-01,1306.7720000000002,13098.0,13098.0,,,
2009-03-01,1267.275,12702.0,12702.0,,,
2009-04-01,1500.209,15037.0,15037.0,,,
2009-05-01,1492.285,14958.0,14958.0,,,
2009-06-01,990.9540000000001,9933.0,9933.0,,,
2009-07-01,1496.213,14997.0,14997.0,,,
2009-08-01,1512.0240000000001,15156.0,15156.0,,,
2009-09-01,1468.6480000000001,14721.0,14721.0,,,
2009-10-01,1527.816,15314.0,15314.0,,,
2009-11-01,1144.92,11476.0,11476.0,,,
2009-12-01,1472.566,14760.0,14760.0,,,
2010-01-01,1963.8870000000002,19501.0,19501.0,,,
2010-02-01,1467.747,14575.0,14575.0,,,
2010-03-01,1860.535,18475.0,18475.0,,,
2010-04-01,1839.8600000000001,18269.0,18269.0,,,
2010-05-01,1855.38,18424.0,18424.0,,,
2010-06-01,1882.728,18695.0,18695.0,,,
2010-07-01,1622.9,16115.0,16115.0,,,
2010-08-01,1989.845,19759.0,19759.0,,,
2010-09-01,1586.66,15756.0,15756.0,,,
2010-10-01,1958.837,19451.0,19451.0,,,
2010-11-01,1876.1100000000001,18630.0,18630.0,,,
2010-12-01,1860.5110000000002,18475.0,18475.0,,,
2011-01-01,1941.065,19201.0,19201.0,,,
2011-02-01,1827.96,18082.0,18082.0,,,
