measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2021-12-01,0.0,0.0,0.0,1.0,9.0,9.0
2022-01-01,0.0,0.0,0.0,119.564,408.0,408.0
2022-02-01,0.0,0.0,0.0,78.685,268.0,268.0
2022-03-01,0.0,0.0,0.0,117.432,401.0,401.0
2022-04-01,0.0,0.0,0.0,143.479,490.0,490.0
2022-05-01,0.0,0.0,0.0,161.488,551.0,551.0
2022-06-01,0.0,0.0,0.0,162.431,554.0,554.0
2022-07-01,0.0,0.0,0.0,179.299,612.0,612.0
2022-08-01,0.0,0.0,0.0,158.164,540.0,540.0
2022-09-01,0.0,0.0,0.0,131.125,447.0,447.0
2022-10-01,0.0,0.0,0.0,103.938,355.0,355.0
2022-11-01,0.0,0.0,0.0,85.73,293.0,293.0
2022-12-01,0.0,0.0,0.0,55.665,190.0,190.0
2023-01-01,-3.0,0.0,0.0,675.0,2303.0,2303.0
2023-02-01,-7.0,0.0,0.0,677.0,2310.0,2310.0
2023-03-01,-9.0,0.0,0.0,678.0,2313.0,2313.0
2023-04-01,-7.0,0.0,0.0,661.0,2255.0,2255.0
2023-05-01,-8.0,0.0,0.0,625.0,2133.0,2133.0
2023-06-01,-1.0,0.0,0.0,685.0,2337.0,2337.0
2023-07-01,-4.0,0.0,0.0,698.0,2382.0,2382.0
2023-08-01,-2.0,0.0,0.0,678.0,2313.0,2313.0
2023-09-01,-14.0,0.0,0.0,612.0,2088.0,2088.0
2023-10-01,-15.0,0.0,0.0,654.0,2231.0,2231.0
2023-11-01,-13.0,0.0,0.0,647.0,2208.0,2208.0
2023-12-01,-14.0,0.0,0.0,685.0,2337.0,2337.0
2024-01-01,-3.0,0.0,0.0,292.0,996.0,996.0
2024-02-01,-7.0,0.0,0.0,418.0,1426.0,1426.0
2024-03-01,-5.0,0.0,0.0,502.0,1713.0,1713.0
2024-04-01,-5.0,0.0,0.0,521.0,1778.0,1778.0
2024-05-01,-7.0,0.0,0.0,599.0,2044.0,2044.0
2024-06-01,-3.0,0.0,0.0,640.0,2184.0,2184.0
2024-07-01,-4.0,0.0,0.0,512.0,1747.0,1747.0
2024-08-01,-3.0,0.0,0.0,592.0,2020.0,2020.0
2024-09-01,-3.0,0.0,0.0,483.0,1648.0,1648.0
2024-10-01,-1.0,0.0,0.0,518.0,1767.0,1767.0
2024-11-01,-1.0,0.0,0.0,348.0,1187.0,1187.0
2024-12-01,-1.0,0.0,0.0,255.0,870.0,870.0
