measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,669.129,9642.0,9642.0
2003-02-01,617.368,8896.0,8896.0
2003-03-01,680.5740000000001,9807.0,9807.0
2003-04-01,643.609,9274.0,9274.0
2003-05-01,736.921,10619.0,10619.0
2003-06-01,767.798,11064.0,11064.0
2003-07-01,985.783,14205.0,14205.0
2003-08-01,926.1080000000001,13345.0,13345.0
2003-09-01,846.288,12195.0,12195.0
2003-10-01,796.431,11477.0,11477.0
2003-11-01,674.1790000000001,9715.0,9715.0
2003-12-01,715.813,10315.0,10315.0
2004-01-01,514.744,7402.8,7402.8
2004-02-01,866.13,12456.27,12456.27
2004-03-01,933.451,13424.44,13424.44
2004-04-01,556.956,8009.88,8009.88
2004-05-01,942.922,13560.65,13560.65
2004-06-01,942.8340000000001,13559.39,13559.39
2004-07-01,992.418,14272.49,14272.49
2004-08-01,1013.206,14571.44,14571.44
2004-09-01,1003.11,14426.25,14426.25
2004-10-01,931.835,13401.2,13401.2
2004-11-01,507.04,7292.0,7292.0
2004-12-01,982.4540000000001,14129.19,14129.19
2005-01-01,597.03,8603.16,8998.37
2005-02-01,538.8820000000001,7765.26,8121.96
2005-03-01,581.563,8380.27,8765.24
2005-04-01,584.356,8420.54,8807.34
2005-05-01,641.802,9248.32,9673.16
2005-06-01,824.3570000000001,11878.92,12424.6
2005-07-01,1055.604,15211.18,15909.94
2005-08-01,1093.942,15763.63,16487.76
2005-09-01,825.066,11889.14,12435.29
2005-10-01,640.41,9228.27,9652.19
2005-11-01,571.399,8233.82,8612.06
2005-12-01,651.9490000000001,9394.55,9826.1
2006-01-01,867.844,11922.28,11922.28
2006-02-01,765.1560000000001,10511.57,10511.57
2006-03-01,847.514,11642.98,11642.98
2006-04-01,807.513,11093.46,11093.46
2006-05-01,941.2230000000001,12930.34,12930.34
2006-06-01,997.6510000000001,13705.54,13705.54
2006-07-01,1123.31,15431.83,15431.83
2006-08-01,1160.448,15942.02,15942.02
2006-09-01,944.879,12980.57,12980.57
2006-10-01,990.505,13607.37,13607.37
2006-11-01,836.696,11494.37,11494.37
2006-12-01,938.263,12889.68,12889.68
2007-01-01,798.182,11555.0,11555.0
2007-02-01,726.035,10511.0,10511.0
2007-03-01,671.6,9723.0,9723.0
2007-04-01,668.493,9678.0,9678.0
2007-05-01,745.649,10795.0,10795.0
2007-06-01,881.6080000000001,12763.0,12763.0
2007-07-01,1200.942,17386.0,17386.0
2007-08-01,1331.366,19274.0,19274.0
2007-09-01,1049.144,15188.0,15188.0
2007-10-01,994.278,14394.0,14394.0
2007-11-01,945.306,13685.0,13685.0
2007-12-01,1053.3990000000001,15250.0,15250.0
2008-01-01,988.784,14035.0,14035.0
2008-02-01,828.51,11759.0,11759.0
2008-03-01,777.553,11036.0,11036.0
2008-04-01,884.534,12554.0,12554.0
2008-05-01,703.0690000000001,9979.0,9979.0
2008-06-01,769.514,10922.0,10922.0
2008-07-01,1007.916,14306.0,14306.0
2008-08-01,1179.154,16736.0,16736.0
2008-09-01,1062.0420000000001,15074.0,15074.0
2008-10-01,990.104,14053.0,14053.0
2008-11-01,862.2570000000001,12238.0,12238.0
2008-12-01,964.5630000000001,13690.0,13690.0
2009-01-01,938.2420000000001,13153.0,13153.0
2009-02-01,863.293,12102.0,12102.0
2009-03-01,803.29,11261.0,11261.0
2009-04-01,690.042,9673.0,9673.0
2009-05-01,701.0640000000001,9828.0,9828.0
2009-06-01,649.7610000000001,9108.0,9108.0
2009-07-01,1188.935,16667.0,16667.0
2009-08-01,1219.1580000000001,17090.0,17090.0
2009-09-01,1277.584,17909.0,17909.0
2009-10-01,999.052,14005.0,14005.0
2009-11-01,912.349,12789.0,12789.0
2009-12-01,1047.23,14680.0,14680.0
2010-01-01,994.3180000000001,13712.0,13712.0
2010-02-01,917.988,12659.0,12659.0
2010-03-01,977.589,13481.0,13481.0
