measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,861.047,10062.0,10062.0,,,
2001-02-01,729.114,8521.0,8521.0,,,
2001-03-01,746.562,8724.0,8724.0,,,
2001-04-01,732.493,8560.0,8560.0,,,
2001-05-01,743.5690000000001,8689.0,8689.0,,,
2001-06-01,777.076,9081.0,9081.0,,,
2001-07-01,891.023,10413.0,10413.0,,,
2001-08-01,899.9440000000001,10517.0,10517.0,,,
2001-09-01,702.524,8210.0,8210.0,,,
2001-10-01,744.4820000000001,8700.0,8700.0,,,
2001-11-01,709.6030000000001,8293.0,8293.0,,,
2001-12-01,747.563,8736.0,8736.0,,,
2002-01-01,769.783,11443.0,11443.0,,,
2002-02-01,677.222,10067.0,10067.0,,,
2002-03-01,719.277,10692.0,10692.0,,,
2002-04-01,693.347,10307.0,10307.0,,,
2002-05-01,736.85,10954.0,10954.0,,,
2002-06-01,830.205,12341.0,12341.0,,,
2002-07-01,962.009,14301.0,14301.0,,,
2002-08-01,892.88,13273.0,13273.0,,,
2002-09-01,816.971,12145.0,12145.0,,,
2002-10-01,786.101,11686.0,11686.0,,,
2002-11-01,769.64,11441.0,11441.0,,,
2002-12-01,806.715,11992.0,11992.0,,,
2003-01-01,1365.045,21157.0,21157.0,,,
2003-02-01,1308.728,20285.0,20285.0,,,
2003-03-01,1322.364,20496.0,20496.0,,,
2003-04-01,1208.904,18737.0,18737.0,,,
2003-05-01,1230.5,19072.0,19072.0,,,
2003-06-01,1285.781,19929.0,19929.0,,,
2003-07-01,1488.6190000000001,23073.0,23073.0,,,
2003-08-01,1592.9270000000001,24689.0,24689.0,,,
2003-09-01,1358.3680000000002,21054.0,21054.0,,,
2003-10-01,1323.053,20507.0,20507.0,,,
2003-11-01,1330.333,20619.0,20619.0,,,
2003-12-01,1451.3780000000002,22496.0,22496.0,,,
2004-01-01,1050.909,15803.0,15803.0,,,
2004-02-01,1025.112,15415.0,15415.0,,,
2004-03-01,1068.1490000000001,16062.0,16062.0,,,
2004-04-01,691.1030000000001,10393.0,10393.0,,,
2004-05-01,584.926,8796.0,8796.0,,,
2004-06-01,534.869,8043.0,8043.0,,,
2004-07-01,1039.136,15626.0,15626.0,,,
2004-08-01,1049.83,15787.0,15787.0,,,
2004-09-01,811.649,12205.0,12205.0,,,
2004-10-01,833.4540000000001,12533.0,12533.0,,,
2004-11-01,804.754,12102.0,12102.0,,,
2004-12-01,895.109,13460.0,13460.0,,,
2006-01-01,,,,2250.0060000000003,94430.0,94430.0
2006-02-01,,,,2142.884,89934.0,89934.0
2006-03-01,,,,2189.6310000000003,91896.0,91896.0
2006-04-01,,,,1862.8880000000001,78183.0,78183.0
2006-05-01,,,,1990.8310000000001,83552.0,83552.0
2006-06-01,,,,2156.7670000000003,90516.0,90516.0
2006-07-01,,,,2453.318,102962.0,102962.0
2006-08-01,,,,2471.02,103705.0,103705.0
2006-09-01,,,,2053.119,86167.0,86167.0
2006-10-01,,,,2123.629,89126.0,89126.0
2006-11-01,,,,2099.752,88124.0,88124.0
2006-12-01,,,,2273.157,95401.0,95401.0
2007-01-01,,,,4149.0,158790.0,158790.0
2007-02-01,,,,5134.0,171080.0,171080.0
2007-03-01,,,,3685.0,149455.0,149455.0
2007-04-01,,,,5271.0,161988.0,161988.0
2007-05-01,,,,3806.0,142129.0,142129.0
2007-06-01,,,,1878.0,114624.0,114624.0
2007-07-01,,,,3507.0,132364.0,132364.0
2007-08-01,,,,4259.0,150600.0,150600.0
2007-09-01,,,,5060.0,161965.0,161965.0
2007-10-01,,,,6409.0,187282.0,187282.0
2007-11-01,,,,5550.0,173377.0,173377.0
2007-12-01,,,,5350.0,172514.0,172514.0
2008-01-01,,,,5101.1140000000005,60415.0,174581.0
2008-02-01,,,,6149.762000000001,72835.0,184003.0
2008-03-01,,,,6661.601000000001,78897.0,194107.0
2008-04-01,,,,6040.287,71538.0,174544.0
2008-05-01,,,,2216.373,26250.0,121677.0
2008-06-01,,,,4096.64,48519.0,150333.0
2008-07-01,,,,6527.159000000001,77305.0,171168.0
2008-08-01,,,,7253.146000000001,85903.0,184082.0
2008-09-01,,,,5419.934,64191.0,162948.0
2008-10-01,,,,4386.651,51953.0,148957.0
2008-11-01,,,,5402.648,63986.0,152700.0
2008-12-01,,,,3628.014,42968.0,144761.0
2009-01-01,,,,1721.818,20392.0,129947.0
2009-02-01,,,,1629.6290000000001,19301.0,106673.0
2009-03-01,,,,1618.106,19164.0,111345.0
2009-04-01,,,,1257.9930000000002,14899.0,97533.0
2009-05-01,,,,916.1260000000001,10850.0,86426.0
2009-06-01,,,,1251.271,14819.0,93583.0
2009-07-01,,,,93.149,1103.0,73661.0
2009-08-01,,,,616.513,7302.0,81487.0
2009-09-01,,,,0.0,0.0,75275.0
2009-10-01,,,,0.0,0.0,25768.0
2009-11-01,,,,0.0,0.0,0.0
2009-12-01,,,,0.0,0.0,0.0
2010-01-01,,,,0.0,0.0,0.0
2010-02-01,,,,0.0,0.0,0.0
2010-03-01,,,,0.0,0.0,0.0
2010-04-01,,,,0.0,0.0,0.0
2010-05-01,,,,0.0,0.0,0.0
2010-06-01,,,,0.0,0.0,0.0
2010-07-01,,,,0.0,0.0,0.0
2010-08-01,,,,0.0,0.0,0.0
2010-09-01,,,,0.0,0.0,0.0
2010-10-01,,,,0.0,0.0,0.0
2010-11-01,,,,0.0,0.0,0.0
2010-12-01,,,,0.0,0.0,0.0
2011-01-01,,,,0.0,0.0,0.0
2011-02-01,,,,0.0,0.0,0.0
2011-03-01,,,,0.0,0.0,0.0
2011-04-01,,,,0.0,0.0,0.0
2011-05-01,,,,0.0,0.0,0.0
2011-06-01,,,,0.0,0.0,0.0
2011-07-01,,,,0.0,0.0,0.0
2011-08-01,,,,0.0,0.0,0.0
2011-09-01,,,,0.0,0.0,0.0
2011-10-01,,,,0.0,0.0,0.0
2011-11-01,,,,0.0,0.0,0.0
2011-12-01,,,,0.0,0.0,0.0
2012-01-01,,,,0.0,0.0,0.0
2012-02-01,,,,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0
2012-08-01,,,,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0
