measured_on,"Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,48191.0,624591.0,624591.0
2003-02-01,40739.0,527985.0,527985.0
2003-03-01,45856.0,625977.0,625977.0
2003-04-01,35865.0,482436.0,482436.0
2003-05-01,13030.0,176049.0,176049.0
2003-06-01,32019.0,433323.0,433323.0
2003-07-01,32318.0,450873.0,450873.0
2003-08-01,19032.0,256914.0,256914.0
2003-09-01,17138.0,231354.0,231354.0
2003-10-01,16100.0,217359.0,217359.0
2003-11-01,24849.0,335439.0,335439.0
2003-12-01,45724.0,640287.0,640287.0
2004-01-01,47947.0,665010.0,665010.0
2004-02-01,48002.0,676494.0,676494.0
2004-03-01,45795.0,647271.0,647271.0
2004-04-01,16469.0,222336.0,222336.0
2004-05-01,28629.0,387018.0,387018.0
2004-06-01,41350.0,558225.0,558225.0
2004-07-01,52820.0,713052.0,713052.0
2004-08-01,53335.0,700461.0,700461.0
2004-09-01,45872.0,619677.0,619677.0
2004-10-01,34788.0,469647.0,469647.0
2004-11-01,45826.0,555174.0,555174.0
2004-12-01,50690.0,760290.0,760290.0
2005-01-01,48831.0,732540.0,732540.0
2005-02-01,51204.0,768050.0,768050.0
2005-03-01,53629.0,723996.0,723996.0
2005-04-01,22933.0,309618.0,309618.0
2005-05-01,38899.0,523917.0,523917.0
2005-06-01,40347.0,546723.0,546723.0
2005-07-01,51208.0,768100.0,768100.0
2005-08-01,46996.0,493444.0,493444.0
2005-09-01,44447.0,333360.0,333360.0
2005-10-01,40453.0,392294.0,392294.0
2005-11-01,48435.0,508564.0,508564.0
2005-12-01,52876.0,510755.0,510755.0
2006-01-01,51310.0,538951.0,538951.0
2006-02-01,48694.0,511427.0,511427.0
2006-03-01,53352.0,559531.0,559531.0
2006-04-01,23196.0,265616.0,265616.0
2006-05-01,34694.0,364406.0,364406.0
2006-06-01,41189.0,432628.0,432628.0
2006-07-01,45951.0,551608.0,551608.0
2006-08-01,47949.0,575600.0,575600.0
2006-09-01,29304.0,307832.0,307832.0
2006-10-01,31710.0,351883.0,351883.0
2006-11-01,34304.0,360304.0,360304.0
2006-12-01,29171.0,350184.0,350184.0
2007-01-01,27245.0,286181.0,286181.0
2007-02-01,42680.0,570234.0,570234.0
2007-03-01,39145.0,466851.0,466851.0
2007-04-01,37466.0,445998.0,445998.0
2007-05-01,23260.0,262983.0,262983.0
2007-06-01,36399.0,382305.0,382305.0
2007-07-01,39307.0,412860.0,412860.0
2007-08-01,49325.0,296040.0,296040.0
2007-09-01,36925.0,387884.0,387884.0
2007-10-01,29581.0,220164.0,220164.0
2007-11-01,37875.0,563803.0,563803.0
2007-12-01,40197.0,598295.0,598295.0
2008-01-01,45696.0,680195.0,680195.0
2008-02-01,45092.0,562184.0,562184.0
2008-03-01,45125.0,717285.0,717285.0
2008-04-01,26752.0,424735.0,424735.0
2008-05-01,37407.0,557266.0,557266.0
2008-06-01,45113.0,671485.0,671485.0
2008-07-01,43237.0,691593.0,691593.0
2008-08-01,45508.0,696930.0,696930.0
2008-09-01,41773.0,633977.0,633977.0
2008-10-01,29737.0,476557.0,476557.0
2008-11-01,41657.0,639771.0,639771.0
2008-12-01,41130.0,683538.0,683538.0
2009-01-01,44988.0,735300.0,735300.0
2009-02-01,38512.0,591411.0,591411.0
2009-03-01,42270.0,670939.0,670939.0
2009-04-01,43579.0,719438.0,719438.0
2009-05-01,20731.0,314236.0,314236.0
2009-06-01,42062.0,678330.0,678330.0
2009-07-01,41115.0,665870.0,665870.0
2009-08-01,46689.0,721432.0,721432.0
2009-09-01,26020.0,396155.0,396155.0
2009-10-01,15652.0,237961.0,237961.0
2009-11-01,26504.0,419209.0,419209.0
2009-12-01,41531.0,725509.0,725509.0
2010-01-01,36562.0,618185.0,618185.0
2010-02-01,19236.0,360344.0,360344.0
2010-03-01,23167.0,390630.0,390630.0
2010-04-01,36526.0,570618.0,570618.0
2010-05-01,22170.0,332538.0,332538.0
2010-06-01,46335.0,687248.0,687248.0
2010-07-01,47139.0,748206.0,748206.0
2010-08-01,45101.0,715817.0,715817.0
2010-09-01,31419.0,464087.0,464087.0
2010-10-01,22784.0,289634.0,289634.0
2010-11-01,42263.0,670780.0,670780.0
2010-12-01,40418.0,609852.0,609852.0
2011-01-01,34164.0,522238.0,522238.0
2011-02-01,40924.0,669164.0,669164.0
2011-03-01,42953.0,669461.0,669461.0
2011-04-01,40771.0,648163.0,648163.0
2011-05-01,14733.0,232703.0,232703.0
2011-06-01,42112.0,677209.0,677209.0
2011-07-01,43458.0,655385.0,655385.0
2011-08-01,41027.0,613364.0,613364.0
2011-09-01,35331.0,526365.0,526365.0
2011-10-01,20351.0,316349.0,316349.0
2011-11-01,8260.0,131242.0,131242.0
2011-12-01,28697.0,469970.0,469970.0
2012-01-01,26433.0,454753.0,454753.0
2012-02-01,30084.0,496684.0,496684.0
2012-03-01,29114.0,434754.0,434754.0
2012-04-01,5531.0,87802.0,87802.0
2012-05-01,40406.0,620923.0,620923.0
2012-06-01,30013.0,474464.0,474464.0
2012-07-01,34637.0,549737.0,549737.0
2012-08-01,36573.0,567186.0,567186.0
2012-09-01,32089.0,479533.0,479533.0
2012-10-01,10100.0,160307.0,160307.0
2012-11-01,37403.0,543735.0,543735.0
2012-12-01,28447.0,477936.0,477936.0
2013-01-01,36031.0,571858.0,571858.0
2013-02-01,34209.0,540630.0,540630.0
2013-03-01,27852.0,442065.0,442065.0
2013-04-01,0.0,0.0,0.0
2013-05-01,35143.0,531057.0,531057.0
2013-06-01,28160.0,436252.0,436252.0
2013-07-01,28983.0,531444.0,531444.0
2013-08-01,48751.0,788342.0,788342.0
2013-09-01,37434.0,548993.0,548993.0
2013-10-01,33106.0,524708.0,524708.0
2013-11-01,22149.0,349244.0,349244.0
2013-12-01,37521.0,557702.0,557702.0
2014-01-01,33706.0,608076.0,608076.0
2014-02-01,20357.0,323799.0,323799.0
2014-03-01,33074.0,643124.0,643124.0
2014-04-01,15715.0,264586.0,264586.0
2014-05-01,20724.0,348589.0,348589.0
2014-06-01,34867.0,587036.0,587036.0
2014-07-01,16501.0,277671.0,277671.0
2014-08-01,35765.0,529589.0,529589.0
2014-09-01,31308.0,507239.0,507239.0
2014-10-01,34243.0,524193.0,524193.0
2014-11-01,29913.0,458860.0,458860.0
2014-12-01,16086.0,272502.0,272502.0
2015-01-01,38170.0,618383.0,618383.0
2015-02-01,35050.0,537287.0,537287.0
2015-03-01,30665.0,507021.0,507021.0
2015-04-01,25597.0,495296.0,495296.0
2015-05-01,17241.0,303473.0,303473.0
2015-06-01,24787.0,326130.0,326130.0
2015-07-01,21101.0,326269.0,326269.0
2015-08-01,24445.0,363022.0,363022.0
2015-09-01,23632.0,400113.0,400113.0
2015-10-01,9317.0,138533.0,138533.0
2015-11-01,15158.0,225333.0,225333.0
2015-12-01,2251.0,32706.0,32706.0
2016-01-01,22933.0,340157.0,340157.0
2016-02-01,8172.0,195434.0,195434.0
2016-03-01,20700.0,383527.0,383527.0
2016-04-01,11226.0,273484.0,273484.0
2016-05-01,12289.0,208785.0,208785.0
2016-06-01,13661.0,235448.0,235448.0
2016-07-01,14986.0,233761.0,233761.0
2016-08-01,20268.0,291892.0,291892.0
2016-09-01,9194.0,180586.0,180586.0
2016-10-01,875.0,12804.0,12804.0
2016-11-01,0.0,0.0,0.0
2016-12-01,12354.0,189690.0,189690.0
2017-01-01,10804.0,147946.0,147946.0
2017-02-01,5668.0,86245.0,86245.0
2017-03-01,10432.0,154057.0,154057.0
2017-04-01,20424.0,303909.0,303909.0
2017-05-01,12222.0,182447.0,182447.0
2017-06-01,7058.0,104242.0,104242.0
2017-07-01,12264.0,181842.0,181842.0
2017-08-01,5949.0,88376.0,88376.0
2017-09-01,0.0,0.0,0.0
2017-10-01,19770.0,293719.0,293719.0
2017-11-01,1432.0,21340.0,21340.0
2017-12-01,3437.0,51199.0,51199.0
2018-01-01,29139.0,430451.0,430451.0
2018-02-01,0.0,0.0,0.0
2018-03-01,17574.0,260893.0,260893.0
2018-04-01,14013.0,208051.0,208051.0
2018-05-01,19462.0,289239.0,289239.0
2018-06-01,5007.0,75682.0,75682.0
2018-07-01,17757.0,294401.0,294401.0
2018-08-01,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0
