measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,457.30100000000004,5413.0,5413.0,0.0,0.0,0.0
2003-02-01,390.31800000000004,4620.0,4620.0,0.0,0.0,0.0
2003-03-01,356.772,4223.0,4223.0,0.0,0.0,0.0
2003-04-01,309.91200000000003,3668.0,3668.0,0.0,0.0,0.0
2003-05-01,327.242,3874.0,3874.0,0.0,0.0,0.0
2003-06-01,387.103,4582.0,4582.0,0.0,0.0,0.0
2003-07-01,477.932,5657.0,5657.0,0.0,0.0,0.0
2003-08-01,507.487,6007.0,6007.0,0.0,0.0,0.0
2003-09-01,376.119,4452.0,4452.0,0.0,0.0,0.0
2003-10-01,345.985,4095.0,4095.0,0.0,0.0,0.0
2003-11-01,354.863,4200.0,4200.0,0.0,0.0,0.0
2003-12-01,466.95700000000005,5527.0,5527.0,0.0,0.0,0.0
2005-01-01,91.429,1479.82,1479.82,9.768,87.25,87.25
2005-02-01,46.403,751.05,751.05,4.958,44.28,44.28
2005-03-01,56.16,908.98,908.98,6.0,53.59,53.59
2005-04-01,58.52,947.18,947.18,6.252000000000001,55.84,55.84
2005-05-01,68.956,1116.09,1116.09,7.367,65.8,65.8
2005-06-01,62.432,1010.49,1010.49,6.67,59.58,59.58
2005-07-01,99.97,1618.07,1618.07,10.681000000000001,95.4,95.4
2005-08-01,110.632,1790.63,1790.63,11.82,105.57,105.57
2005-09-01,109.864,1778.21,1778.21,11.738000000000001,104.84,104.84
2005-10-01,65.556,1061.05,1061.05,7.0040000000000004,62.56,62.56
2005-11-01,52.253,845.73,845.73,5.583,49.86,49.86
2005-12-01,113.82400000000001,1842.3,1842.3,12.161000000000001,108.62,108.62
2006-01-01,46.162,759.0,759.0,10.889000000000001,101.0,101.0
2006-02-01,45.681000000000004,751.0,751.0,10.775,100.0,100.0
2006-03-01,40.052,658.0,658.0,9.448,88.0,88.0
2006-04-01,52.836000000000006,868.0,868.0,12.463000000000001,115.0,115.0
2006-05-01,47.751000000000005,785.0,785.0,11.263,104.0,104.0
2006-06-01,57.108000000000004,939.0,939.0,13.471,125.0,125.0
2006-07-01,55.399,910.0,910.0,13.067,121.0,121.0
2006-08-01,59.62,980.0,980.0,14.063,130.0,130.0
2006-09-01,42.355,696.0,696.0,9.991,93.0,93.0
2006-10-01,54.516000000000005,896.0,896.0,12.859,119.0,119.0
2006-11-01,47.584,782.0,782.0,11.224,104.0,104.0
2006-12-01,52.937000000000005,870.0,870.0,12.487,116.0,116.0
2007-01-01,76.632,1310.0,1310.0,7.978000000000001,226.0,226.0
2007-02-01,292.09200000000004,4985.0,4985.0,30.41,858.0,858.0
2007-03-01,85.268,1455.0,1455.0,8.877,249.0,249.0
2007-04-01,61.494,1049.0,1049.0,6.402,180.0,180.0
2007-05-01,12.67,214.0,214.0,1.3190000000000002,35.0,35.0
2007-06-01,38.753,661.0,661.0,4.035,116.0,116.0
2007-07-01,17.103,290.0,290.0,1.7810000000000001,52.0,52.0
2007-08-01,81.244,1385.0,1385.0,8.458,238.0,238.0
2007-09-01,10.226,174.0,174.0,1.065,29.0,29.0
2007-10-01,20.075,342.0,342.0,2.09,58.0,58.0
2007-11-01,6.392,110.0,110.0,0.665,17.0,17.0
2007-12-01,13.453000000000001,232.0,232.0,1.401,41.0,41.0
2008-01-01,91.07300000000001,1577.0,1577.0,18.517,261.0,261.0
2008-02-01,35.686,614.0,614.0,7.256,110.0,110.0
2008-03-01,5.1530000000000005,87.0,87.0,1.048,17.0,17.0
2008-04-01,10.763,185.0,185.0,2.188,35.0,35.0
2008-05-01,8.995000000000001,156.0,156.0,1.8290000000000002,29.0,29.0
2008-06-01,96.614,1669.0,1669.0,19.644000000000002,296.0,296.0
2008-07-01,47.148,811.0,811.0,9.587,145.0,145.0
2008-08-01,18.708000000000002,325.0,325.0,3.8040000000000003,58.0,58.0
2008-09-01,23.941000000000003,412.0,412.0,4.868,75.0,75.0
2008-10-01,6.8740000000000006,116.0,116.0,1.3980000000000001,23.0,23.0
2008-11-01,102.595,1768.0,1768.0,20.86,313.0,313.0
2008-12-01,82.63,1426.0,1426.0,16.801000000000002,249.0,249.0
2009-01-01,227.387,3924.0,3924.0,52.138000000000005,777.0,777.0
2009-02-01,83.464,1437.0,1437.0,19.137,284.0,284.0
2009-03-01,65.95400000000001,1136.0,1136.0,15.122,226.0,226.0
2009-04-01,6.112,104.0,104.0,1.401,23.0,23.0
2009-05-01,17.264,296.0,296.0,3.958,58.0,58.0
2009-06-01,11.899000000000001,203.0,203.0,2.728,41.0,41.0
2009-07-01,21.483,371.0,371.0,4.926,75.0,75.0
2009-08-01,42.545,730.0,730.0,9.755,145.0,145.0
2009-09-01,5.455,93.0,93.0,1.2510000000000001,17.0,17.0
2009-10-01,6.995,122.0,122.0,1.604,23.0,23.0
2009-11-01,8.981,156.0,156.0,2.059,29.0,29.0
2009-12-01,11.081000000000001,191.0,191.0,2.541,41.0,41.0
2010-01-01,26.732000000000003,429.0,429.0,7.837000000000001,70.0,70.0
2010-02-01,14.255,226.0,226.0,4.178,41.0,41.0
2010-03-01,3.343,52.0,52.0,0.98,12.0,12.0
2010-04-01,3.311,52.0,52.0,0.97,12.0,12.0
2010-05-01,7.797000000000001,128.0,128.0,2.285,23.0,23.0
2010-06-01,39.759,638.0,638.0,11.653,116.0,116.0
2010-07-01,56.135000000000005,899.0,899.0,16.453,162.0,162.0
2010-08-01,31.32,505.0,505.0,9.18,93.0,93.0
2010-09-01,25.001,400.0,400.0,7.328,70.0,70.0
2010-10-01,5.432,87.0,87.0,1.592,17.0,17.0
2010-11-01,9.688,157.0,157.0,2.84,29.0,29.0
2010-12-01,61.427,986.0,986.0,18.004,180.0,180.0
2011-01-01,15.732,255.0,255.0,6.623,70.0,70.0
2011-02-01,2.115,35.0,35.0,0.891,6.0,6.0
2011-03-01,4.497,70.0,70.0,1.894,17.0,17.0
2011-04-01,1.914,29.0,29.0,0.806,6.0,6.0
2011-05-01,9.817,157.0,157.0,4.133,41.0,41.0
2011-06-01,11.497,186.0,186.0,4.841,46.0,46.0
2011-07-01,20.544,331.0,331.0,8.65,81.0,81.0
2011-08-01,13.746,220.0,220.0,5.788,58.0,58.0
2011-09-01,2.137,35.0,35.0,0.9,6.0,6.0
2011-10-01,4.36,70.0,70.0,1.836,17.0,17.0
2011-11-01,3.585,58.0,58.0,1.509,17.0,17.0
2011-12-01,3.156,52.0,52.0,1.329,12.0,12.0
2012-01-01,0.0,64.0,64.0,0.0,12.0,12.0
2012-02-01,0.0,75.0,75.0,0.0,29.0,29.0
2012-03-01,0.0,29.0,29.0,0.0,12.0,12.0
2012-04-01,0.0,35.0,35.0,0.0,12.0,12.0
2012-05-01,0.0,70.0,70.0,0.0,23.0,23.0
2012-06-01,0.0,180.0,180.0,0.0,64.0,64.0
2012-07-01,0.0,458.0,458.0,0.0,157.0,157.0
2012-08-01,0.0,46.0,46.0,0.0,17.0,17.0
2012-09-01,0.0,70.0,70.0,0.0,23.0,23.0
2012-10-01,0.0,70.0,70.0,0.0,23.0,23.0
2012-11-01,0.0,46.0,46.0,0.0,17.0,17.0
2012-12-01,0.0,35.0,35.0,0.0,12.0,12.0
2013-01-01,13.674,220.0,220.0,6.274,52.0,52.0
2013-02-01,2.706,41.0,41.0,1.241,12.0,12.0
2013-03-01,3.345,52.0,52.0,1.535,17.0,17.0
2013-04-01,2.383,41.0,41.0,1.093,12.0,12.0
2013-05-01,4.457,70.0,70.0,2.045,23.0,23.0
2013-06-01,10.328,162.0,162.0,4.739,52.0,52.0
2013-07-01,16.461,261.0,261.0,7.553,81.0,81.0
2013-08-01,15.235,244.0,244.0,6.99,75.0,75.0
2013-09-01,6.029,99.0,99.0,2.766,29.0,29.0
2013-10-01,3.095,46.0,46.0,1.42,17.0,17.0
2013-11-01,3.271,52.0,52.0,1.501,17.0,17.0
2013-12-01,2.316,35.0,35.0,1.063,12.0,12.0
2014-01-01,129.953,2088.0,2088.0,40.25,429.0,429.0
2014-02-01,14.297,232.0,232.0,4.428,46.0,46.0
2014-03-01,19.156,307.0,307.0,5.933,64.0,64.0
2014-04-01,2.152,35.0,35.0,0.667,6.0,6.0
2014-05-01,2.883,46.0,46.0,0.893,12.0,12.0
2014-06-01,2.54,41.0,41.0,0.787,6.0,6.0
2014-07-01,16.695,267.0,267.0,5.171,52.0,52.0
2014-08-01,9.259,151.0,151.0,2.868,29.0,29.0
2014-09-01,3.333,52.0,52.0,1.032,12.0,12.0
2014-10-01,5.455,87.0,87.0,1.69,17.0,17.0
2014-11-01,10.595,168.0,168.0,3.282,35.0,35.0
2014-12-01,5.162,81.0,81.0,1.599,17.0,17.0
2015-01-01,21.171,336.0,336.0,7.335,75.0,75.0
2015-02-01,132.439,2123.0,2123.0,45.884,476.0,476.0
2015-03-01,7.146,116.0,116.0,2.476,23.0,23.0
2015-04-01,1.542,23.0,23.0,0.534,6.0,6.0
2015-05-01,9.586,151.0,151.0,3.321,35.0,35.0
2015-06-01,8.944,145.0,145.0,3.099,35.0,35.0
2015-07-01,30.086,481.0,481.0,10.423,110.0,110.0
2015-08-01,14.806,238.0,238.0,5.13,52.0,52.0
2015-09-01,2.807,46.0,46.0,0.972,12.0,12.0
2015-10-01,3.2,52.0,52.0,1.109,12.0,12.0
2015-11-01,9.654,157.0,157.0,3.345,35.0,35.0
2015-12-01,7.539,122.0,122.0,2.612,29.0,29.0
2016-01-01,43.209,679.0,679.0,13.248,133.0,133.0
2016-02-01,14.517,232.0,232.0,4.45,46.0,46.0
2016-03-01,7.217,116.0,116.0,2.212,23.0,23.0
2016-04-01,3.523,58.0,58.0,1.08,12.0,12.0
2016-05-01,6.408,104.0,104.0,1.965,23.0,23.0
2016-06-01,11.072,180.0,180.0,3.394,35.0,35.0
2016-07-01,16.547,267.0,267.0,5.073,52.0,52.0
2016-08-01,14.675,238.0,238.0,4.499,46.0,46.0
2016-09-01,8.344,133.0,133.0,2.558,29.0,29.0
2016-10-01,2.921,46.0,46.0,0.895,12.0,12.0
2016-11-01,2.751,46.0,46.0,0.843,12.0,12.0
2016-12-01,3.076,52.0,52.0,0.943,12.0,12.0
2017-01-01,8.389,133.0,133.0,1.621,17.0,17.0
2017-02-01,11.026,174.0,174.0,2.13,23.0,23.0
2017-03-01,5.37,87.0,87.0,1.037,12.0,12.0
2017-04-01,1.998,35.0,35.0,0.386,6.0,6.0
2017-05-01,6.12,99.0,99.0,1.182,12.0,12.0
2017-06-01,5.318,87.0,87.0,1.027,12.0,12.0
2017-07-01,3.727,58.0,58.0,0.72,6.0,6.0
2017-08-01,4.446,70.0,70.0,0.859,12.0,12.0
2017-09-01,3.833,64.0,64.0,0.741,6.0,6.0
2017-10-01,15.668,249.0,249.0,3.027,29.0,29.0
2017-11-01,7.684,122.0,122.0,1.484,17.0,17.0
2017-12-01,12.661,203.0,203.0,2.446,23.0,23.0
2018-01-01,64.0,1027.0,1027.0,17.454,191.0,191.0
2018-02-01,2.85,46.0,46.0,0.777,6.0,6.0
2018-03-01,2.313,35.0,35.0,0.631,6.0,6.0
2018-04-01,6.377,104.0,104.0,1.739,17.0,17.0
2018-05-01,7.909,128.0,128.0,2.157,23.0,23.0
2018-06-01,6.774,110.0,110.0,1.848,17.0,17.0
2018-07-01,6.869,110.0,110.0,1.873,17.0,17.0
2018-08-01,6.987,110.0,110.0,1.906,17.0,17.0
2018-09-01,9.722,157.0,157.0,2.652,29.0,29.0
2018-10-01,15.896,255.0,255.0,4.335,46.0,46.0
2018-11-01,16.835,273.0,273.0,4.591,46.0,46.0
2018-12-01,15.168,244.0,244.0,4.137,41.0,41.0
2019-01-01,58.136,922.0,922.0,21.074,232.0,232.0
2019-02-01,11.535,186.0,186.0,4.181,41.0,41.0
2019-03-01,19.848,319.0,319.0,7.195,75.0,75.0
2019-04-01,11.593,186.0,186.0,4.202,46.0,46.0
2019-05-01,16.194,261.0,261.0,5.87,58.0,58.0
2019-06-01,28.449,458.0,458.0,10.313,104.0,104.0
2019-07-01,39.004,626.0,626.0,14.139,145.0,145.0
2019-08-01,40.203,644.0,644.0,14.574,151.0,151.0
2019-09-01,32.615,522.0,522.0,11.823,122.0,122.0
2019-10-01,20.816,331.0,331.0,7.546,75.0,75.0
2019-11-01,17.591,284.0,284.0,6.377,64.0,64.0
2019-12-01,17.616,284.0,284.0,6.386,64.0,64.0
2020-01-01,45.6,731.0,731.0,18.22,191.0,191.0
2020-02-01,25.331,406.0,406.0,10.122,104.0,104.0
2020-03-01,50.651,812.0,812.0,20.238,209.0,209.0
2020-04-01,28.096,452.0,452.0,11.226,116.0,116.0
2020-05-01,70.977,1137.0,1137.0,28.36,296.0,296.0
2020-06-01,62.172,998.0,998.0,24.842,261.0,261.0
2020-07-01,109.462,1752.0,1752.0,43.738,458.0,458.0
2020-08-01,105.656,1694.0,1694.0,42.217,441.0,441.0
2020-09-01,130.18,2088.0,2088.0,52.016,545.0,545.0
2020-10-01,43.21,690.0,690.0,17.265,180.0,180.0
2020-11-01,89.947,1438.0,1438.0,35.94,377.0,377.0
2020-12-01,146.198,2343.0,2343.0,58.416,609.0,609.0
2021-01-01,35.405,574.0,574.0,13.738,145.0,145.0
2021-02-01,197.366,3161.0,3161.0,76.58,800.0,800.0
2021-03-01,106.606,1705.0,1705.0,41.364,429.0,429.0
2021-04-01,52.413,841.0,841.0,20.337,215.0,215.0
2021-05-01,43.241,690.0,690.0,16.778,174.0,174.0
2021-06-01,63.174,1009.0,1009.0,24.512,255.0,255.0
2021-07-01,73.819,1183.0,1183.0,28.642,302.0,302.0
2021-08-01,70.574,1131.0,1131.0,27.384,284.0,284.0
2021-09-01,55.017,882.0,882.0,21.347,220.0,220.0
2021-10-01,46.783,748.0,748.0,18.152,191.0,191.0
2021-11-01,66.433,1061.0,1061.0,25.776,267.0,267.0
2021-12-01,55.489,887.0,887.0,21.53,226.0,226.0
2022-01-01,191.988,3080.0,3080.0,69.867,725.0,725.0
2022-02-01,57.882,928.0,928.0,21.064,220.0,220.0
2022-03-01,30.922,493.0,493.0,11.253,116.0,116.0
2022-04-01,31.952,510.0,510.0,11.628,122.0,122.0
2022-05-01,42.009,673.0,673.0,15.287,162.0,162.0
2022-06-01,42.287,679.0,679.0,15.389,162.0,162.0
2022-07-01,128.676,2059.0,2059.0,46.826,487.0,487.0
2022-08-01,105.912,1694.0,1694.0,38.542,406.0,406.0
2022-09-01,11.427,186.0,186.0,4.159,41.0,41.0
2022-10-01,19.365,307.0,307.0,7.047,75.0,75.0
2022-11-01,31.317,499.0,499.0,11.397,122.0,122.0
2022-12-01,278.423,4460.0,4460.0,101.321,1061.0,1061.0
2023-01-01,79.802,1270.0,1270.0,24.423,261.0,261.0
2023-02-01,51.31,824.0,824.0,15.703,162.0,162.0
2023-03-01,67.839,1085.0,1085.0,20.761,215.0,215.0
2023-04-01,50.064,800.0,800.0,15.321,162.0,162.0
2023-05-01,56.809,911.0,911.0,17.385,180.0,180.0
2023-06-01,52.343,841.0,841.0,16.019,168.0,168.0
2023-07-01,48.088,771.0,771.0,14.717,157.0,157.0
2023-08-01,54.986,882.0,882.0,16.827,174.0,174.0
2023-09-01,45.344,725.0,725.0,13.877,145.0,145.0
