measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,535.0,6032.0,6032.0,400872.0,4430456.0,4430456.0
2003-02-01,745.0,8520.0,8520.0,343873.0,3932478.0,3932478.0
2003-03-01,1045.0,12203.0,12203.0,382288.0,4465803.0,4465803.0
2003-04-01,190.0,2070.0,2070.0,417740.0,4560864.0,4560864.0
2003-05-01,0.0,0.0,0.0,430822.0,4818514.0,4818514.0
2003-06-01,859.0,9959.0,9959.0,301199.0,3490471.0,3490471.0
2003-07-01,1283.0,9959.0,9959.0,432605.0,3492279.0,3492279.0
2003-08-01,0.0,0.0,0.0,424373.0,4822133.0,4822133.0
2003-09-01,0.0,0.0,0.0,411373.0,4654029.0,4654029.0
2003-10-01,0.0,0.0,0.0,428992.0,4654029.0,4654029.0
2003-11-01,808.0,9264.0,9264.0,370921.0,4253514.0,4253514.0
2003-12-01,0.0,0.0,0.0,436936.0,4981783.0,4981783.0
2004-01-01,0.0,0.0,0.0,431612.0,4845806.0,4845806.0
2004-02-01,0.0,0.0,0.0,397899.0,4846545.0,4846545.0
2004-03-01,733.0,8407.0,8407.0,393211.0,4510381.0,4510381.0
2004-04-01,695.0,7876.0,7876.0,347121.0,3932115.0,3932115.0
2004-05-01,0.0,0.0,0.0,422340.0,4878729.0,4878729.0
2004-06-01,0.0,0.0,0.0,388946.0,4551672.0,4551672.0
2004-07-01,0.0,0.0,0.0,299097.0,3550783.0,3550783.0
2004-08-01,0.0,0.0,0.0,384160.0,4237460.0,4237460.0
2004-09-01,1149.0,13149.0,13149.0,373070.0,4269398.0,4269398.0
2004-10-01,429.0,4930.0,4930.0,386720.0,4439076.0,4439076.0
2004-11-01,1109.0,13166.0,13166.0,299993.0,3561998.0,3561998.0
2004-12-01,691.0,7866.0,7866.0,398628.0,4437017.0,4437017.0
2005-01-01,0.0,0.0,0.0,421408.0,5020664.7,5020664.7
2005-02-01,0.0,0.0,0.0,382615.0,4265939.52,4265939.52
2005-03-01,590.0,6641.0,6641.0,398970.0,4490703.87,4490703.87
2005-04-01,779.0,8781.2,8781.2,333935.0,3766297.8,3766297.8
2005-05-01,1455.0,15990.6,15990.6,352480.0,3873199.72,3873199.72
2005-06-01,0.0,0.0,0.0,385966.0,4335482.08,4335482.08
2005-07-01,1775.0,19986.8,19986.8,336066.0,3784611.93,3784611.93
2005-08-01,1092.0,12736.8,12736.8,318684.0,3717070.06,3717070.06
2005-09-01,1837.0,20914.8,20914.8,335778.0,3822441.24,3822441.24
2005-10-01,565.0,6559.8,6559.8,289420.0,3362104.01,3362104.01
2005-11-01,0.0,0.0,0.0,399893.0,4533076.75,4533076.75
2005-12-01,430.0,4930.0,4930.0,340158.0,3903359.58,3903359.58
2006-01-01,1361.0,15190.0,15190.0,380351.0,4243891.0,4243891.0
2006-02-01,0.0,0.0,0.0,376759.0,4192542.0,4192542.0
2006-03-01,0.0,0.0,0.0,410987.0,4672678.0,4672678.0
2006-04-01,0.0,0.0,0.0,352589.0,4008497.0,4008497.0
2006-05-01,0.0,0.0,0.0,378935.0,4322168.0,4322168.0
2006-06-01,1938.0,22690.0,22690.0,246240.0,2882568.0,2882568.0
2006-07-01,254.0,2877.0,2877.0,396728.0,4496707.0,4496707.0
2006-08-01,511.0,5916.0,5916.0,359518.0,4160923.0,4160923.0
2006-09-01,0.0,0.0,0.0,361556.0,4188982.0,4188982.0
2006-10-01,733.0,8474.0,8474.0,62383.0,721560.0,721560.0
2006-11-01,2827.0,33704.0,33704.0,180325.0,2150219.0,2150219.0
2006-12-01,0.0,14459.0,14459.0,364585.0,4100140.0,4100140.0
2007-01-01,0.0,0.0,0.0,421678.0,4645842.0,4645842.0
2007-02-01,533.873,5916.0,5916.0,369213.127,4091354.0,4091354.0
2007-03-01,1063.5620000000001,11838.0,11838.0,364334.438,4055162.0,4055162.0
2007-04-01,0.0,0.0,0.0,408965.0,4550112.0,4550112.0
2007-05-01,1260.771,14442.0,14442.0,233801.229,2678168.0,2678168.0
2007-06-01,2160.8070000000002,24691.0,24691.0,326274.193,3728194.0,3728194.0
2007-07-01,913.2130000000001,10208.0,10208.0,382628.787,4277067.0,4277067.0
2007-08-01,700.532,8050.0,8050.0,383296.468,4404783.0,4404783.0
2007-09-01,7.011,81.0,81.0,400070.989,4633308.0,4633308.0
2007-10-01,657.317,7563.0,7563.0,374636.683,4310634.0,4310634.0
2007-11-01,827.5310000000001,9251.0,9251.0,372983.469,4169596.0,4169596.0
2007-12-01,0.0,0.0,0.0,408223.0,4528634.0,4528634.0
2008-01-01,1457.9360000000001,16721.0,16721.0,339241.064,3890832.0,3890832.0
2008-02-01,1197.454,14442.0,14442.0,333731.546,4025000.0,4025000.0
2008-03-01,2107.293,24673.0,24673.0,334556.707,3917151.0,3917151.0
2008-04-01,1450.953,17098.0,17098.0,351378.047,4140727.0,4140727.0
2008-05-01,1952.143,27991.0,27991.0,49078.857,703717.0,703717.0
2008-06-01,2502.59,29551.0,29551.0,255486.41,3016827.0,3016827.0
2008-07-01,1529.403,17649.0,17649.0,276159.597,3186898.0,3186898.0
2008-08-01,355.67400000000004,3944.0,3944.0,407923.326,4523379.0,4523379.0
2008-09-01,882.1120000000001,10521.0,10521.0,358910.888,4280830.0,4280830.0
2008-10-01,810.139,10080.0,10080.0,317569.861,3951457.0,3951457.0
2008-11-01,696.543,8358.0,8358.0,316657.457,3799562.0,3799562.0
2008-12-01,0.0,0.0,0.0,381847.0,4453819.0,4453819.0
2009-01-01,401.01300000000003,4617.0,4617.0,392784.987,4522076.0,4522076.0
2009-02-01,731.12,8520.0,8520.0,235177.88,2740676.0,2740676.0
2009-03-01,1436.794,16455.0,16455.0,352667.206,4038851.0,4038851.0
2009-04-01,373.775,4269.0,4269.0,393361.225,4492491.0,4492491.0
2009-05-01,196.567,2245.0,2245.0,414506.433,4733263.0,4733263.0
2009-06-01,0.0,0.0,0.0,397878.0,4584542.0,4584542.0
2009-07-01,0.0,0.0,0.0,392600.0,4565773.0,4565773.0
2009-08-01,0.0,0.0,0.0,386307.0,4481495.0,4481495.0
2009-09-01,0.0,0.0,0.0,372458.0,4236718.0,4236718.0
2009-10-01,0.0,0.0,0.0,376967.0,4304180.0,4304180.0
2009-11-01,0.0,0.0,0.0,357082.0,3663216.0,3663216.0
2009-12-01,3429.447,38959.0,38959.0,218798.553,2485557.0,2485557.0
2010-01-01,1080.29,10457.0,10457.0,324944.71,3145523.0,3145523.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,1576.645,26929.0,26929.0,16232.355,277252.0,277252.0
2010-04-01,1607.211,18514.0,18514.0,186570.789,2149125.0,2149125.0
2010-05-01,0.0,0.0,0.0,409327.0,4527039.0,4527039.0
2010-06-01,1149.768,12870.0,12870.0,334719.232,3746758.0,3746758.0
2010-07-01,1715.5420000000001,19279.0,19279.0,310202.458,3486044.0,3486044.0
2010-08-01,727.446,8219.0,8219.0,285574.554,3226388.0,3226388.0
2010-09-01,1733.171,19511.0,19511.0,275993.829,3107006.0,3107006.0
2010-10-01,0.0,0.0,0.0,383643.0,4139116.0,4139116.0
2010-11-01,2786.368,30131.0,30131.0,257524.632,2784799.0,2784799.0
2010-12-01,2784.8410000000003,30868.0,30868.0,191910.159,2127162.0,2127162.0
2011-01-01,609.062,6653.0,6653.0,398186.94,4349277.0,4349277.0
2011-02-01,1024.455,11478.0,11478.0,354062.55,3966986.0,3966986.0
2011-03-01,485.284,5371.0,5371.0,424004.72,4692605.0,4692605.0
2011-04-01,377.128,4286.0,4286.0,388622.87,4416848.0,4416848.0
2011-05-01,740.18,8108.0,8108.0,409865.82,4489930.0,4489930.0
2011-06-01,0.0,0.0,0.0,422052.0,4556752.0,4556752.0
2011-07-01,1088.714,12348.0,12348.0,367401.29,4167066.0,4167066.0
2011-08-01,0.0,0.0,0.0,440554.0,4969137.0,4969137.0
2011-09-01,1075.592,12215.0,12215.0,353710.41,4016861.0,4016861.0
2011-10-01,623.29,6954.0,6954.0,432854.71,4829469.0,4829469.0
2011-11-01,92.82,1021.0,1021.0,389549.18,4284096.0,4284096.0
2011-12-01,1399.431,16223.0,16223.0,222922.57,2584181.0,2584181.0
2012-01-01,984.465,11119.0,11119.0,360353.54,4069850.0,4069850.0
2012-02-01,962.247,9756.0,9756.0,338539.75,3432234.0,3432234.0
2012-03-01,0.0,0.0,0.0,386215.0,4513169.0,4513169.0
2012-04-01,0.0,0.0,0.0,385501.0,4519831.0,4519831.0
2012-05-01,1029.908,12052.0,12052.0,74529.092,872169.0,872169.0
2012-06-01,577.187,6606.0,6606.0,365284.81,4180874.0,4180874.0
2012-07-01,0.0,0.0,0.0,431158.0,4804454.0,4804454.0
2012-08-01,0.0,0.0,0.0,435251.0,4942053.0,4942053.0
2012-09-01,0.0,0.0,0.0,422833.0,4651009.0,4651009.0
2012-10-01,0.0,0.0,0.0,428193.0,4784790.0,4784790.0
2012-11-01,879.933,9767.0,9767.0,376781.07,4182246.0,4182246.0
2012-12-01,1043.234,11525.0,11525.0,346093.77,3823297.0,3823297.0
2013-01-01,592.658,6531.0,6531.0,418863.34,4615672.0,4615672.0
