measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2012-01-01,3417.0,176572.0,176572.0
2012-02-01,3594.0,194929.0,194929.0
2012-03-01,4248.0,222611.0,222611.0
2012-04-01,4578.0,224266.0,224266.0
2012-05-01,4900.0,230657.0,230657.0
2012-06-01,5427.0,235498.0,235498.0
2012-07-01,4488.0,215414.0,215414.0
2012-08-01,4862.0,221218.0,221218.0
2012-09-01,5147.0,192142.0,192142.0
2012-10-01,3701.0,201718.0,201718.0
2012-11-01,4468.0,207942.0,207942.0
2012-12-01,3458.0,215027.0,215027.0
2015-01-01,3483.27,40842.0,239408.0
2015-02-01,2835.31,33244.0,225627.0
2015-03-01,3018.64,35394.0,202838.0
2015-04-01,2972.08,34848.0,223573.0
2015-05-01,3282.48,38487.0,212932.0
2015-06-01,3240.77,37998.0,228339.0
2015-07-01,3714.13,43548.0,227442.0
2015-08-01,3756.81,44049.0,244661.0
2015-09-01,3802.4,44583.0,232070.0
2015-10-01,4164.21,48826.0,246450.0
2015-11-01,4431.93,51965.0,246975.0
2015-12-01,4129.29,48416.0,255281.0
2017-01-01,4502.74,31056.0,230846.0
2017-02-01,4592.95,31678.0,226492.0
2017-03-01,5165.25,35625.0,247102.0
2017-04-01,3622.95,24988.0,187526.0
2017-05-01,4464.91,30795.0,199922.0
2017-06-01,4464.91,30795.0,242079.0
2017-07-01,5200.17,35866.0,261310.0
2017-08-01,5171.07,35665.0,267702.0
2017-09-01,5399.99,37244.0,266259.0
2017-10-01,5456.25,37632.0,273085.0
2017-11-01,5302.99,36575.0,260596.0
2017-12-01,4574.52,31551.0,232845.0
2018-01-01,2547.22,17568.0,182603.0
2018-02-01,4618.17,31852.0,234766.0
2018-03-01,4823.81,33270.0,256209.0
2018-04-01,5068.25,34956.0,267862.0
2018-05-01,4780.16,32969.0,281358.0
2018-06-01,4837.39,33364.0,271392.0
2018-07-01,5275.83,36388.0,224211.0
2018-08-01,4188.46,28888.0,240638.0
2018-09-01,3859.63,26620.0,193807.0
2018-10-01,3863.51,26647.0,230906.0
2018-11-01,3870.3,26694.0,220017.0
2018-12-01,4331.05,29872.0,258047.0
