measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,1113.0,9428.0,10006.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,3507.0,28454.0,30610.0,0.0,0.0,0.0,35.0,288.0,310.0,,,
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-04-01,335.0,2825.0,2945.0,0.0,0.0,0.0,10.0,86.0,90.0,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,145.0,1273.0,1313.0,,,,1192.0,10441.0,10769.0,0.0,0.0,0.0
2003-07-01,104.0,1550.0,1568.0,,,,491.0,7336.0,7417.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-09-01,245.0,2022.0,2096.0,,,,1352.0,11151.0,11556.0,0.0,0.0,0.0
2003-10-01,105.0,872.0,891.0,,,,661.0,5462.0,5581.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,330.18067,3722.77,5523.22,115.60359,0.0,0.0,825.25733,8219.8,13804.81,316.45941,1314.76,1314.76
2005-02-01,69.09114,854.1,1271.36,33.18354,0.0,0.0,665.08286,7310.22,12238.32,349.85246,1165.56,1165.56
2005-03-01,58.5274,732.5,1090.98,29.1857,0.0,0.0,783.4706,8725.34,14604.28,427.9003,1390.9,1390.9
2005-04-01,58.510459999999995,732.86,1091.56,29.246209999999998,0.0,0.0,802.59054,8945.75,14972.98,439.37879,1426.02,1426.02
2005-05-01,59.467549999999996,739.2,1100.61,29.04828,0.0,0.0,656.30345,7256.2,12146.67,351.11872,1156.84,1156.84
2005-06-01,71.18453,894.93,1333.19,35.97847,0.0,0.0,1103.39547,12347.21,20665.07,610.79753,1968.13,1968.13
2005-07-01,136.67772,1695.95,2524.91,66.40440000000001,0.0,0.0,1441.51728,15907.76,26629.85,767.0576000000001,2536.2,2536.2
2005-08-01,120.18403,1501.65,2236.36,59.63075,0.0,0.0,1530.07097,17009.76,28471.3,831.46525,2711.59,2711.59
2005-09-01,66.49143,835.34,1244.39,33.537079999999996,0.0,0.0,1006.35757,11253.04,18834.03,555.93092,1793.73,1793.73
2005-10-01,95.99959,1172.68,1744.64,44.422689999999996,0.0,0.0,716.69041,7777.99,13024.71,363.22531,1240.47,1240.47
2005-11-01,63.74693,789.14,1174.73,30.74869,0.0,0.0,634.42107,6983.6,11691.15,335.16131,1113.45,1113.45
2005-12-01,184.81628999999998,2166.43,3217.9,74.60343999999999,0.0,0.0,725.47671,7533.99,12631.52,320.73856,1203.02,1203.02
2006-01-01,80.81436,939.63,1276.93,31.70205,0.0,0.0,781.93264,6529.97,12355.13,404.62895,3379.08,3942.94
2006-02-01,101.16274,1170.6,1600.68,39.01083,0.0,0.0,778.56426,6501.84,12319.11,396.04817,3307.42,3931.45
2006-03-01,183.43180999999998,2091.46,2914.5,67.01053,0.0,0.0,845.85019,7063.75,13439.49,407.61547,3404.02,4288.99
2006-04-01,87.37068,1012.38,1381.91,33.85734,0.0,0.0,714.40332,5966.03,11299.44,365.19066,3049.73,3606.04
2006-05-01,60.45887,705.07,954.45,23.97014,0.0,0.0,694.33213,5798.42,10961.24,363.13386,3032.56,3498.1
2006-06-01,58.277649999999994,682.4,918.89,23.436239999999998,0.0,0.0,889.26735,7426.33,14021.54,471.74476,3939.57,4474.75
2006-07-01,72.292,848.33,1139.12,29.291829999999997,0.0,0.0,1332.605,11128.67,20998.13,712.27317,5948.24,6701.22
2006-08-01,76.89448,901.12,1212.14,31.00997,0.0,0.0,1254.09452,10473.02,19769.18,667.15303,5571.44,6309.02
2006-09-01,44.98254,528.24,708.64,18.271739999999998,0.0,0.0,890.09146,7433.21,14022.28,476.93525999999997,3982.92,4474.98
2006-10-01,44.80186,526.67,705.57,18.26475,0.0,0.0,992.99114,8292.54,15638.3,534.01325,4459.58,4990.71
2006-11-01,72.63443,847.35,1146.54,28.83214,0.0,0.0,852.13257,7116.22,13451.03,446.20086,3726.26,4292.68
2006-12-01,80.867,941.31,1277.33,31.85025,0.0,0.0,832.1080000000001,6948.99,13143.56,432.32475,3610.37,4194.56
2007-01-01,0.0,0.0,0.0,,,,2434.768,22354.0,22354.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,,,,2716.282,24939.0,24939.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,,,,1761.991,16177.0,16177.0,0.0,0.0,0.0
