measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2001-01-01,2.459,670.0,670.0
2001-02-01,2.107,574.0,574.0
2001-03-01,2.2880000000000003,623.0,623.0
2001-04-01,2.0060000000000002,546.0,546.0
2001-05-01,1.967,536.0,536.0
2001-06-01,1.988,542.0,542.0
2001-07-01,2.09,569.0,569.0
2001-08-01,2.0780000000000003,566.0,566.0
2001-09-01,2.455,669.0,669.0
2001-10-01,2.357,642.0,642.0
2001-11-01,2.4410000000000003,665.0,665.0
2001-12-01,2.765,753.0,753.0
