measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2001-01-01,57.632000000000005,469.0,1764.0,2360.783,22025.0,75037.0,,,
2001-02-01,51.422000000000004,418.0,1574.0,2106.395,19651.0,66951.0,,,
2001-03-01,54.383,442.0,1664.0,2227.693,20783.0,70806.0,,,
2001-04-01,43.867000000000004,357.0,1343.0,1796.931,16764.0,57115.0,,,
2001-05-01,45.6,371.0,1396.0,1867.91,17426.0,59371.0,,,
2001-06-01,60.958000000000006,496.0,1866.0,2497.042,23296.0,79367.0,,,
2001-07-01,61.775,502.0,1891.0,2530.498,23608.0,80431.0,,,
2001-08-01,69.563,566.0,2129.0,2849.5350000000003,26584.0,90571.0,,,
2001-09-01,54.387,442.0,1664.0,2227.875,20785.0,70812.0,,,
2001-10-01,50.057,407.0,1532.0,2050.492,19130.0,65174.0,,,
2001-11-01,50.368,410.0,1541.0,2063.251,19249.0,65580.0,,,
2001-12-01,51.988,423.0,1591.0,2129.595,19868.0,67688.0,,,
2002-01-01,,,,6477.76,6871.0,11159.0,,,
2002-02-01,,,,5885.642000000001,6243.0,10139.0,,,
2002-03-01,,,,6248.054,6627.0,10764.0,,,
2002-04-01,,,,5347.929,5672.0,9213.0,,,
2002-05-01,,,,5396.072,5723.0,9296.0,,,
2002-06-01,,,,7108.835,7540.0,12246.0,,,
2002-07-01,,,,8191.651000000001,8688.0,14112.0,,,
2002-08-01,,,,8363.535,8871.0,14408.0,,,
2002-09-01,,,,7293.117,7735.0,12564.0,,,
2002-10-01,,,,5354.133,5679.0,9224.0,,,
2002-11-01,,,,6272.865000000001,6653.0,10806.0,,,
2002-12-01,,,,6875.405000000001,7292.0,11844.0,,,
2003-01-01,,,,3412.3895,40312.0,40312.0,,,
2003-02-01,,,,2877.875,33997.5,33997.5,,,
2003-03-01,,,,2963.467,35009.0,35009.0,,,
2003-04-01,,,,2541.6325,30025.5,30025.5,,,
2003-05-01,,,,2413.8815,28516.5,28516.5,,,
2003-06-01,,,,2947.7105,34822.5,34822.5,,,
2003-07-01,,,,3483.794,41155.5,41155.5,,,
2003-08-01,,,,3468.259,40972.0,40972.0,,,
2003-09-01,,,,2583.3115000000003,30518.0,30518.0,,,
2003-10-01,,,,2473.5765,29221.5,29221.5,,,
2003-11-01,,,,2349.9535,27761.0,27761.0,,,
2003-12-01,,,,2720.6485000000002,32140.5,32140.5,,,
2004-01-01,1653.24874,19530.585,23846.25,991.66026,11714.935,14303.585,,,
2004-02-01,382.176575,4514.83,5458.345,1298.329925,15337.77,18543.085,,,
2004-03-01,146.400565,1729.495,2084.255,1280.266935,15124.38,18226.72,,,
2004-04-01,0.13187,1.56,1.85,1533.14663,18111.77,21533.68,,,
2004-05-01,13.391475,158.2,187.07,2274.974525,26875.315,31780.25,,,
2004-06-01,5.4089149999999995,63.9,75.325,2131.764585,25183.51,29686.285,,,
2004-07-01,0.34584999999999994,4.085,4.82,2426.21915,28662.035,33824.515,,,
2004-08-01,20.352135,240.43,291.205,2815.679365,33262.915,40287.935,,,
2004-09-01,0.0,0.0,0.0,2024.852,23920.51,28153.155,,,
2004-10-01,13.57752,160.395,182.925,1261.7694800000002,14905.86,16999.53,,,
2004-11-01,0.0,0.0,0.0,1657.4560000000001,19580.29,23157.26,,,
2004-12-01,172.900575,2042.555,2424.705,1979.5919250000002,23385.825,27761.21,,,
2005-01-01,184.58163499999998,2180.55,2528.075,1891.023365,22339.53,25899.935,0.0,0.0,0.0
2005-02-01,42.95498499999999,507.445,581.915,1694.902515,20022.66,22960.965,0.0,0.0,0.0
2005-03-01,36.92632999999999,436.23,499.36,2026.1516700000002,23935.865,27399.88,0.0,0.0,0.0
2005-04-01,36.677769999999995,433.29,499.625,2062.22723,24362.035,28091.605,0.0,0.0,0.0
2005-05-01,37.61483,444.36,503.77,1701.5831699999999,20101.58,22789.015,0.0,0.0,0.0
2005-06-01,44.117685,521.185,610.225,2803.025315,33113.43,38770.845,0.0,0.0,0.0
2005-07-01,83.238275,983.33,1155.715,3598.402725,42509.58,49961.685,0.0,0.0,0.0
2005-08-01,73.45585999999999,867.77,1023.62,3833.21664,45283.545,53416.52,0.0,0.0,0.0
2005-09-01,41.32944,488.245,569.565,2564.05156,30290.32,35335.515,0.0,0.0,0.0
2005-10-01,58.44901,690.485,798.535,1788.62949,21129.9,24436.35,0.0,0.0,0.0
2005-11-01,40.03566,472.96,537.695,1633.1838400000001,19293.55,21934.38,0.0,0.0,0.0
2005-12-01,108.49745999999999,1281.73,1472.88,1745.7245400000002,20623.045,23698.665,0.0,0.0,0.0
2006-01-01,0.09376,1.11,1.3,2038.2012399999999,24078.205,28302.75,0.0,0.0,0.0
2006-02-01,0.11780499999999999,1.39,1.645,2023.393695,23903.275,28220.255,0.0,0.0,0.0
2006-03-01,0.21513,2.54,2.975,2225.51587,26291.05,30786.775,0.0,0.0,0.0
2006-04-01,0.10124999999999999,1.195,1.395,1878.73625,22194.37,25884.405,0.0,0.0,0.0
2006-05-01,0.07023499999999999,0.83,0.96,1835.110765,21679.01,25109.67,0.0,0.0,0.0
2006-06-01,0.06630499999999999,0.785,0.93,2289.955195,27052.3,32120.115,0.0,0.0,0.0
2006-07-01,0.08086499999999999,0.955,1.145,3391.148635,40061.2,48101.89,0.0,0.0,0.0
2006-08-01,0.08745,1.035,1.24,3193.78555,37729.65,45286.64,0.0,0.0,0.0
