measured_on,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0
2010-12-01,776.0,7571.0,7571.0
2011-01-01,4115.772,39989.0,39989.0
2011-02-01,3770.504,36634.0,36634.0
2011-03-01,4050.81,39358.0,39358.0
2011-04-01,3910.215,37992.0,37992.0
2011-05-01,3957.431,38450.0,38450.0
2011-06-01,3670.904,35667.0,35667.0
2011-07-01,3643.03,35396.0,35396.0
2011-08-01,3655.574,35518.0,35518.0
2011-09-01,3476.193,33775.0,33775.0
2011-10-01,3487.614,33886.0,33886.0
2011-11-01,3832.167,37233.0,37233.0
2011-12-01,4023.786,39095.0,39095.0
2012-01-01,4377.547,41657.0,41657.0
2012-02-01,4135.557,39354.0,39354.0
2012-03-01,4352.884,41422.0,41422.0
2012-04-01,4113.406,39143.0,39143.0
2012-05-01,4280.188,40730.0,40730.0
2012-06-01,4808.242,45755.0,45755.0
2012-07-01,4838.005,46038.0,46038.0
2012-08-01,4843.943,46095.0,46095.0
2012-09-01,4943.7,47044.0,47044.0
2012-10-01,5075.998,48303.0,48303.0
2012-11-01,5312.812,50557.0,50557.0
2012-12-01,5394.718,51336.0,51336.0
2013-01-01,6815.624,65028.0,65028.0
2013-02-01,6234.694,59485.0,59485.0
2013-03-01,6701.135,63936.0,63936.0
2013-04-01,6361.922,60699.0,60699.0
2013-05-01,6302.727,60134.0,60134.0
2013-06-01,5870.915,56014.0,56014.0
2013-07-01,5693.603,54323.0,54323.0
2013-08-01,5785.704,55201.0,55201.0
2013-09-01,5803.199,55368.0,55368.0
2013-10-01,6507.37,62087.0,62087.0
2013-11-01,6515.03,62160.0,62160.0
2013-12-01,6976.077,66559.0,66559.0
2014-01-01,7531.6,71626.0,71626.0
2014-02-01,6331.804,60215.0,60215.0
2014-03-01,7008.545,66651.0,66651.0
2014-04-01,6415.491,61011.0,61011.0
2014-05-01,6399.75,60862.0,60862.0
2014-06-01,5911.275,56216.0,56216.0
2014-07-01,5662.223,53848.0,53848.0
2014-08-01,6150.363,58490.0,58490.0
2014-09-01,6166.565,58644.0,58644.0
2014-10-01,6207.676,59035.0,59035.0
2014-11-01,6942.608,66024.0,66024.0
2014-12-01,7214.1,68606.0,68606.0
2015-01-01,5577.515,51977.0,51977.0
2015-02-01,5685.472,52983.0,52983.0
2015-03-01,6441.526,60029.0,60029.0
2015-04-01,6237.791,58130.0,58130.0
2015-05-01,6254.653,58287.0,58287.0
2015-06-01,5219.436,48640.0,48640.0
2015-07-01,5852.221,54537.0,54537.0
2015-08-01,5638.73,52547.0,52547.0
2015-09-01,6160.231,57407.0,57407.0
2015-10-01,6482.745,60413.0,60413.0
2015-11-01,7534.856,70217.0,70217.0
2015-12-01,7719.824,71941.0,71941.0
2016-01-01,6670.954,61586.0,61586.0
2016-02-01,6141.354,56697.0,56697.0
2016-03-01,6344.433,58572.0,58572.0
2016-04-01,6045.905,55816.0,55816.0
2016-05-01,6157.551,56847.0,56847.0
2016-06-01,5301.813,48946.0,48946.0
2016-07-01,5169.021,47720.0,47720.0
2016-08-01,5207.849,48079.0,48079.0
2016-09-01,5584.886,51560.0,51560.0
2016-10-01,6000.147,55393.0,55393.0
2016-11-01,6328.346,58423.0,58423.0
2016-12-01,6820.741,62969.0,62969.0
2017-01-01,6428.964,59230.0,59230.0
2017-02-01,5663.156,52175.0,52175.0
2017-03-01,6334.047,58356.0,58356.0
2017-04-01,6136.583,56536.0,56536.0
2017-05-01,5932.005,54652.0,54652.0
2017-06-01,5820.831,53627.0,53627.0
2017-07-01,6261.105,57684.0,57684.0
2017-08-01,6219.632,57301.0,57301.0
2017-09-01,6082.497,56038.0,56038.0
2017-10-01,5539.788,51038.0,51038.0
2017-11-01,5951.869,54835.0,54835.0
2017-12-01,6188.523,57015.0,57015.0
2018-01-01,6082.158,55372.0,55372.0
2018-02-01,5781.685,52636.0,52636.0
2018-03-01,6196.64,56414.0,56414.0
2018-04-01,5390.305,49073.0,49073.0
2018-05-01,6235.872,56771.0,56771.0
2018-06-01,5818.324,52970.0,52970.0
2018-07-01,6166.455,56139.0,56139.0
2018-08-01,6154.79,56033.0,56033.0
2018-09-01,5987.669,54512.0,54512.0
2018-10-01,5764.04,52476.0,52476.0
2018-11-01,6022.868,54832.0,54832.0
2018-12-01,6388.194,58158.0,58158.0
2019-01-01,6354.736,56589.0,56589.0
2019-02-01,5919.306,52711.0,52711.0
2019-03-01,6521.101,58070.0,58070.0
2019-04-01,5766.191,51348.0,51348.0
2019-05-01,6210.555,55305.0,55305.0
2019-06-01,6029.558,53693.0,53693.0
2019-07-01,6236.404,55535.0,55535.0
2019-08-01,6296.885,56074.0,56074.0
2019-09-01,6174.45,54983.0,54983.0
2019-10-01,5268.174,46913.0,46913.0
2019-11-01,4810.667,42839.0,42839.0
2019-12-01,5665.973,50455.0,50455.0
2020-01-01,5529.067,48473.0,48473.0
2020-02-01,5886.015,51603.0,51603.0
2020-03-01,6147.4,53894.0,53894.0
2020-04-01,5809.852,50935.0,50935.0
2020-05-01,5548.549,48644.0,48644.0
2020-06-01,5107.521,44778.0,44778.0
2020-07-01,4823.743,42290.0,42290.0
2020-08-01,4692.948,41143.0,41143.0
2020-09-01,5065.441,44409.0,44409.0
2020-10-01,5623.113,49298.0,49298.0
2020-11-01,5999.174,52595.0,52595.0
2020-12-01,6287.177,55120.0,55120.0
2021-01-01,5821.852,51488.0,51488.0
2021-02-01,5101.022,45113.0,45113.0
2021-03-01,4529.235,40057.0,40057.0
2021-04-01,5194.364,45939.0,45939.0
2021-05-01,5744.87,50808.0,50808.0
2021-06-01,4983.333,44073.0,44073.0
2021-07-01,4926.305,43568.0,43568.0
2021-08-01,5003.023,44247.0,44247.0
2021-09-01,5188.835,45890.0,45890.0
2021-10-01,5674.324,50184.0,50184.0
2021-11-01,5835.144,51606.0,51606.0
2021-12-01,6534.693,57793.0,57793.0
2022-01-01,6279.351,21425.0,21425.0
2022-02-01,5504.08,18780.0,18780.0
2022-03-01,4955.294,16907.0,16907.0
2022-04-01,4592.769,15671.0,15671.0
2022-05-01,4960.132,16924.0,16924.0
2022-06-01,4860.628,16584.0,16584.0
2022-07-01,4674.112,15948.0,15948.0
2022-08-01,4937.783,16848.0,16848.0
2022-09-01,5063.751,17278.0,17278.0
2022-10-01,4404.051,15027.0,15027.0
2022-11-01,6265.125,21377.0,21377.0
2022-12-01,6586.924,22475.0,22475.0
2023-01-01,7297.0,24897.0,24897.0
2023-02-01,6529.0,22277.0,22277.0
2023-03-01,7139.0,24358.0,24358.0
2023-04-01,5862.0,20001.0,20001.0
2023-05-01,5278.0,18009.0,18009.0
2023-06-01,4668.0,15927.0,15927.0
2023-07-01,2797.0,9543.0,9543.0
2023-08-01,3555.0,12130.0,12130.0
2023-09-01,4566.0,15579.0,15579.0
2023-10-01,5459.0,18626.0,18626.0
2023-11-01,6512.0,22219.0,22219.0
2023-12-01,6991.0,23853.0,23853.0
2024-01-01,6974.0,23795.0,23795.0
2024-02-01,6382.0,21775.0,21775.0
2024-03-01,6460.0,22042.0,22042.0
2024-04-01,5600.0,19107.0,19107.0
2024-05-01,4883.0,16661.0,16661.0
2024-06-01,3209.0,10949.0,10949.0
2024-07-01,2617.0,8929.0,8929.0
2024-08-01,3284.0,11205.0,11205.0
2024-09-01,3844.0,13116.0,13116.0
2024-10-01,4922.0,16794.0,16794.0
2024-11-01,6289.0,21458.0,21458.0
2024-12-01,6448.0,22001.0,22001.0
