measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-11-01,22906.062,101089.0,391424.0,493.849,2179.0,8439.0,5.793,26.0,99.0,0.0,0.0,0.0,15670.343,69156.0,267778.0
2019-12-01,25495.17,112515.0,423189.0,229.92,1015.0,3816.0,6.386,28.0,106.0,0.0,0.0,0.0,17562.363,77506.0,291514.0
2020-01-01,27784.602,122619.0,407950.0,192.378,849.0,2825.0,4986.386,22006.0,73213.0,0.0,0.0,0.0,9366.38,41336.0,137523.0
2020-02-01,18579.117,81993.0,397707.0,11096.227,48970.0,237527.0,4225.283,18647.0,90447.0,0.0,0.0,0.0,6125.541,27033.0,131124.0
2020-03-01,28692.868,126627.0,439526.0,6.437,28.0,99.0,3928.304,17336.0,60175.0,0.0,0.0,0.0,9632.274,42509.0,147550.0
2020-04-01,9750.752,43032.0,378072.0,20340.884,89768.0,788690.0,2276.728,10048.0,88277.0,0.0,0.0,0.0,3176.401,14018.0,123161.0
2020-05-01,28831.192,127237.0,449315.0,224.418,990.0,3497.0,2550.32,11255.0,39745.0,0.0,0.0,0.0,9619.067,42451.0,149907.0
2020-06-01,28435.702,125492.0,431597.0,94.769,418.0,1438.0,3399.001,15000.0,51590.0,0.0,0.0,0.0,10301.535,45463.0,156357.0
2020-07-01,28829.726,127231.0,434264.0,394.289,1740.0,5939.0,3105.281,13704.0,46775.0,0.0,0.0,0.0,10220.281,45104.0,153949.0
2020-08-01,26261.774,115898.0,425007.0,681.3,3007.0,11026.0,5269.823,23257.0,85284.0,0.0,0.0,0.0,9916.578,43764.0,160485.0
2020-09-01,26807.054,118305.0,396486.0,0.0,0.0,0.0,6466.646,28539.0,95644.0,0.0,0.0,0.0,9118.455,40241.0,134865.0
2020-10-01,13821.077,60995.0,241428.0,768.658,3392.0,13427.0,4264.974,18822.0,74501.0,0.0,0.0,0.0,5461.864,24104.0,95408.0
2020-11-01,23181.744,102305.0,366048.0,1739.227,7676.0,27463.0,5731.603,25295.0,90504.0,0.0,0.0,0.0,6774.734,29898.0,106975.0
2020-12-01,24716.694,109079.0,386834.0,1240.737,5476.0,19418.0,6052.638,26711.0,94728.0,0.0,0.0,0.0,9113.396,40219.0,142631.0
2021-01-01,23944.139,105670.0,436104.0,1224.109,5402.0,22295.0,5836.336,25757.0,106300.0,0.0,0.0,0.0,7526.542,33216.0,137084.0
2021-02-01,30177.654,133180.0,808884.0,812.526,3586.0,21779.0,2167.134,9564.0,58088.0,0.0,0.0,0.0,5449.262,24049.0,146062.0
2021-03-01,33801.128,149171.0,893688.0,1.316,6.0,35.0,1211.933,5348.0,32043.0,0.0,0.0,0.0,5641.479,24897.0,149158.0
2021-04-01,28736.668,126820.0,734520.0,577.722,2550.0,14767.0,1838.158,8112.0,46984.0,0.0,0.0,0.0,5246.394,23153.0,134100.0
2021-05-01,30702.849,135497.0,913884.0,231.685,1022.0,6896.0,2362.303,10425.0,70315.0,0.0,0.0,0.0,4970.676,21937.0,147954.0
2021-06-01,34086.33,150429.0,877860.0,0.0,0.0,0.0,2217.906,9788.0,57120.0,0.0,0.0,0.0,6071.153,26793.0,156357.0
2021-07-01,35145.876,155105.0,883260.0,0.462,2.0,12.0,1660.721,7329.0,41736.0,0.0,0.0,0.0,6084.376,26851.0,152908.0
2021-08-01,31462.609,138850.0,757260.0,109.886,485.0,2645.0,3190.177,14079.0,76783.0,0.0,0.0,0.0,6580.624,29042.0,158386.0
2021-09-01,31909.521,140823.0,806436.0,302.248,1334.0,7639.0,2581.691,11393.0,65246.0,0.0,0.0,0.0,6095.269,26900.0,154043.0
2021-10-01,27729.167,122374.0,528792.0,162.717,718.0,3103.0,2184.858,9642.0,41665.0,0.0,0.0,0.0,7530.344,33233.0,143603.0
2021-11-01,15488.224,68352.0,744516.0,604.254,2667.0,29046.0,1513.777,6681.0,72767.0,0.0,0.0,0.0,2122.725,9368.0,102039.0
2021-12-01,32838.988,144925.0,786780.0,275.006,1214.0,6589.0,1879.274,8294.0,45025.0,0.0,0.0,0.0,5923.406,26141.0,141917.0
2022-01-01,25308.037,111689.0,359812.0,985.209,4348.0,14007.0,4555.148,20103.0,64762.0,0.0,0.0,0.0,11407.764,50345.0,162187.0
2022-02-01,24098.462,106351.0,660470.0,98.617,435.0,2703.0,1702.053,7511.0,46648.0,0.0,0.0,0.0,10309.786,45499.0,282562.0
2022-03-01,27701.32,122251.0,757123.0,336.35,1484.0,9193.0,942.485,4159.0,25760.0,0.0,0.0,0.0,11171.764,49303.0,305343.0
2022-04-01,12061.818,53231.0,764770.0,103.826,458.0,6583.0,226.009,997.0,14330.0,0.0,0.0,0.0,3323.531,14667.0,210726.0
2022-05-01,30022.359,132494.0,817410.0,2.343,10.0,64.0,856.461,3780.0,23319.0,0.0,0.0,0.0,11923.643,52621.0,324641.0
2022-06-01,23328.859,102955.0,681592.0,143.131,632.0,4182.0,3527.373,15567.0,103058.0,0.0,0.0,0.0,11550.392,50974.0,337464.0
2022-07-01,26037.494,114908.0,729972.0,355.215,1568.0,9959.0,1444.643,6375.0,40501.0,0.0,0.0,0.0,11382.145,50232.0,319103.0
2022-08-01,28596.781,126203.0,763189.0,99.101,437.0,2645.0,2221.826,9805.0,59296.0,0.0,0.0,0.0,11278.834,49776.0,301009.0
2022-09-01,28400.316,125336.0,776357.0,194.987,861.0,5330.0,1528.508,6746.0,41784.0,0.0,0.0,0.0,11519.426,50837.0,314898.0
2022-10-01,22734.743,100333.0,659891.0,106.905,472.0,3103.0,1540.68,6799.0,44719.0,0.0,0.0,0.0,9594.738,42343.0,278494.0
2022-11-01,23114.057,102007.0,667727.0,226.472,999.0,6542.0,1954.366,8625.0,56458.0,0.0,0.0,0.0,9770.152,43118.0,282243.0
2022-12-01,21965.878,96940.0,404941.0,1813.465,8003.0,33431.0,1151.84,5083.0,21234.0,0.0,0.0,0.0,17572.752,77552.0,323953.0
2023-01-01,31680.25,139811.0,728910.0,11.092,49.0,255.0,1698.601,7496.0,39082.0,0.0,0.0,0.0,6928.713,30578.0,159418.0
2023-02-01,0.0,78256.0,419991.0,0.0,64.0,342.0,0.0,7721.0,41437.0,0.0,0.0,0.0,0.0,23756.0,127495.0
2023-03-01,0.0,137084.0,665275.0,0.0,5.0,23.0,0.0,8647.0,41963.0,0.0,0.0,0.0,0.0,34722.0,168508.0
2023-04-01,0.0,77951.0,488254.0,0.0,9.0,58.0,0.0,4877.0,30547.0,0.0,0.0,0.0,0.0,11683.0,73177.0
2023-05-01,0.0,129468.0,712712.0,0.0,21.0,116.0,0.0,7097.0,39068.0,0.0,0.0,0.0,0.0,23946.0,131821.0
2023-06-01,0.0,87428.0,736431.0,0.0,6.0,52.0,0.0,9094.0,76602.0,0.0,0.0,0.0,0.0,14971.0,126102.0
2023-07-01,0.0,143208.0,713291.0,0.0,5.0,23.0,0.0,17703.0,88177.0,0.0,0.0,0.0,0.0,26431.0,131649.0
2023-08-01,0.0,83536.0,737588.0,0.0,67.0,592.0,0.0,4504.0,39766.0,0.0,0.0,0.0,0.0,15664.0,138305.0
2023-09-01,0.0,135400.0,668746.0,0.0,189.0,934.0,0.0,8375.0,41362.0,0.0,0.0,0.0,0.0,26632.0,131537.0
2023-10-01,0.0,62858.0,525278.0,0.0,12.0,99.0,0.0,2871.0,23995.0,0.0,0.0,0.0,0.0,10129.0,84641.0
2023-11-01,0.0,47611.0,564616.0,0.0,23.0,278.0,0.0,2997.0,35538.0,0.0,0.0,0.0,0.0,9124.0,108205.0
2023-12-01,0.0,131023.0,779240.0,0.0,9.0,52.0,0.0,9236.0,54931.0,0.0,0.0,0.0,0.0,27940.0,166169.0
2024-01-01,24326.994,107360.0,651538.0,37.681,166.0,1009.0,2550.622,11256.0,68312.0,0.0,0.0,0.0,5943.98,26232.0,159195.0
2024-02-01,29497.486,130178.0,694200.0,6.408,28.0,151.0,2430.419,10726.0,57198.0,0.0,0.0,0.0,6560.484,28953.0,154396.0
2024-03-01,32308.646,142584.0,780975.0,4.559,20.0,110.0,2614.933,11540.0,63209.0,0.0,0.0,0.0,6952.629,30683.0,168061.0
2024-04-01,23920.894,105567.0,757835.0,6.774,30.0,215.0,546.544,2412.0,17315.0,0.0,0.0,0.0,675.114,2979.0,21388.0
2024-05-01,31427.192,138694.0,736431.0,19.801,87.0,464.0,2157.692,9522.0,50561.0,0.0,0.0,0.0,6373.046,28125.0,149339.0
2024-06-01,34165.976,150781.0,752629.0,6.846,30.0,151.0,1695.796,7484.0,37356.0,0.0,0.0,0.0,7387.961,32604.0,162746.0
2024-07-01,31091.214,137211.0,724861.0,8.707,38.0,203.0,2453.504,10828.0,57201.0,0.0,0.0,0.0,6559.372,28948.0,152925.0
2024-08-01,30569.449,134909.0,770562.0,9.664,43.0,244.0,2214.51,9773.0,55821.0,0.0,0.0,0.0,5388.193,23779.0,135820.0
2024-09-01,30625.341,135155.0,704035.0,19.679,87.0,452.0,3826.849,16889.0,87974.0,0.0,0.0,0.0,5941.799,26222.0,136594.0
2024-10-01,17282.355,76270.0,373133.0,0.0,0.0,0.0,2212.884,9766.0,47777.0,0.0,0.0,0.0,5060.727,22334.0,109263.0
2024-11-01,24301.979,107249.0,688994.0,43.575,192.0,1235.0,2908.858,12837.0,82470.0,0.0,0.0,0.0,3455.915,15252.0,97980.0
2024-12-01,29619.726,130717.0,782132.0,8.566,38.0,226.0,2969.463,13105.0,78411.0,0.0,0.0,0.0,5734.032,25305.0,151412.0
