measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,1468.538,12641.0,20170.0,,,
2003-02-01,1354.939,11663.0,18609.0,,,
2003-03-01,1493.6560000000002,12857.0,20515.0,,,
2003-04-01,1412.529,12159.0,19400.0,,,
2003-05-01,1617.3220000000001,13922.0,22213.0,,,
2003-06-01,1685.0880000000002,14505.0,23144.0,,,
2003-07-01,2163.5,18623.0,29715.0,,,
2003-08-01,2032.5320000000002,17496.0,27916.0,,,
2003-09-01,1857.3490000000002,15988.0,25510.0,,,
2003-10-01,1747.929,15046.0,24007.0,,,
2003-11-01,1479.622,12736.0,20322.0,,,
2003-12-01,1570.997,13523.0,21577.0,,,
2004-01-01,1103.073,6956.04,14438.82,0.0,0.0,13370.38
2004-02-01,1856.076,11704.52,24295.36,0.0,0.0,16673.52
2004-03-01,2000.3410000000001,12614.27,26183.74,0.0,0.0,21162.43
2004-04-01,1193.5320000000002,7526.48,15622.89,0.0,0.0,20270.13
2004-05-01,2020.6370000000002,12742.25,26449.41,0.0,0.0,23078.91
2004-06-01,2020.45,12741.07,26446.95,0.0,0.0,19936.79
2004-07-01,2126.706,13411.12,27837.81,0.0,0.0,38326.45
2004-08-01,2171.253,13692.04,28420.9,0.0,0.0,35862.22
2004-09-01,2149.618,13555.61,28137.71,0.0,0.0,32047.26
2004-10-01,1996.8790000000001,12592.43,26138.41,0.0,0.0,22956.07
2004-11-01,1086.563,6851.92,14222.71,0.0,0.0,22666.27
2004-12-01,2105.3540000000003,13276.48,27558.31,0.0,0.0,19402.57
2005-01-01,1129.068,7119.96,15604.16,0.0,0.0,0.0
2005-02-01,1019.1020000000001,6426.51,14084.37,0.0,0.0,0.0
2005-03-01,1099.817,6935.51,15199.89,0.0,0.0,0.0
2005-04-01,1105.0990000000002,6968.82,15272.9,0.0,0.0,0.0
2005-05-01,1213.737,7653.89,16774.32,0.0,0.0,0.0
2005-06-01,1558.975,9830.98,21545.63,0.0,0.0,0.0
2005-07-01,1996.296,12588.75,27589.58,0.0,0.0,0.0
2005-08-01,2068.7980000000002,13045.96,28591.58,0.0,0.0,0.0
2005-09-01,1560.316,9839.44,21564.17,0.0,0.0,0.0
2005-10-01,1211.106,7637.3,16737.96,0.0,0.0,0.0
2005-11-01,1080.596,6814.3,14934.26,0.0,0.0,0.0
2005-12-01,1232.928,7774.91,17039.54,0.0,0.0,0.0
2006-01-01,1065.743,6720.63,14520.82,0.0,0.0,0.0
2006-02-01,939.638,5925.41,12802.64,0.0,0.0,0.0
2006-03-01,1040.776,6563.2,14180.66,0.0,0.0,0.0
2006-04-01,991.654,6253.43,13511.36,0.0,0.0,0.0
2006-05-01,1155.854,7288.88,15748.59,0.0,0.0,0.0
2006-06-01,1225.15,7725.86,16692.75,0.0,0.0,0.0
2006-07-01,1379.465,8698.98,18795.3,0.0,0.0,0.0
2006-08-01,1425.0710000000001,8986.58,19416.69,0.0,0.0,0.0
2006-09-01,1160.345,7317.2,15809.78,0.0,0.0,0.0
2006-10-01,1216.375,7670.53,16573.19,0.0,0.0,0.0
2006-11-01,1027.491,6479.42,13999.65,0.0,0.0,0.0
2006-12-01,1152.219,7265.96,15699.08,0.0,0.0,0.0
2007-01-01,836.915,5464.0,11934.0,0.0,0.0,0.0
2007-02-01,761.267,4971.0,10856.0,0.0,0.0,0.0
2007-03-01,704.191,4598.0,10042.0,0.0,0.0,0.0
2007-04-01,700.933,4577.0,9995.0,0.0,0.0,0.0
2007-05-01,781.8330000000001,5105.0,11149.0,0.0,0.0,0.0
2007-06-01,924.39,6035.0,13182.0,0.0,0.0,0.0
2007-07-01,1259.22,8222.0,17957.0,0.0,0.0,0.0
2007-08-01,1395.973,9115.0,19907.0,0.0,0.0,0.0
2007-09-01,1100.055,7183.0,15687.0,0.0,0.0,0.0
2007-10-01,1042.527,6807.0,14867.0,0.0,0.0,0.0
2007-11-01,991.1790000000001,6472.0,14134.0,0.0,0.0,0.0
2007-12-01,1104.517,7211.0,15751.0,0.0,0.0,0.0
2008-01-01,758.5060000000001,5031.0,10236.0,0.0,0.0,0.0
2008-02-01,635.557,4216.0,8577.0,0.0,0.0,0.0
2008-03-01,596.4680000000001,3957.0,8049.0,0.0,0.0,0.0
2008-04-01,678.533,4501.0,9157.0,0.0,0.0,0.0
2008-05-01,539.33,3578.0,7279.0,0.0,0.0,0.0
2008-06-01,590.3000000000001,3916.0,7966.0,0.0,0.0,0.0
2008-07-01,773.181,5129.0,10435.0,0.0,0.0,0.0
2008-08-01,904.539,6000.0,12207.0,0.0,0.0,0.0
2008-09-01,814.701,5404.0,10995.0,0.0,0.0,0.0
2008-10-01,759.517,5038.0,10250.0,0.0,0.0,0.0
2008-11-01,661.4440000000001,4388.0,8926.0,0.0,0.0,0.0
2008-12-01,739.9240000000001,4908.0,9986.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0
