measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,7062.0,96999.0,96999.0,,,,261.0,3787.0,3787.0,,,,5321.0,76570.0,76570.0
2003-02-01,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-229.0,0.0,0.0
2003-03-01,5461.0,71654.0,71654.0,5.0,52.0,52.0,0.0,0.0,0.0,,,,-233.0,0.0,0.0
2003-04-01,1740.0,26933.0,26933.0,2.0,35.0,35.0,0.0,0.0,0.0,,,,-220.0,0.0,0.0
2003-05-01,10258.0,136729.0,136729.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-232.0,0.0,0.0
2003-06-01,558.0,9767.0,9767.0,0.0,0.0,0.0,121.0,2623.0,2623.0,,,,787.0,16985.0,16985.0
2003-07-01,207.0,5474.0,5474.0,,,,0.0,0.0,0.0,,,,-240.0,0.0,0.0
2003-08-01,,,,3.0,52.0,52.0,0.0,0.0,0.0,,,,-229.0,0.0,0.0
2003-09-01,12920.0,170211.0,170211.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-252.0,0.0,0.0
2003-10-01,15794.0,212059.0,212059.0,2.0,17.0,17.0,601.0,7132.0,7132.0,,,,26250.0,311464.0,311464.0
2003-11-01,7123.0,90588.0,90588.0,0.0,0.0,0.0,18.0,332.0,332.0,,,,5000.0,90455.0,90455.0
2003-12-01,,,,,,,85.0,1198.0,1198.0,,,,8846.0,125059.0,125059.0
2004-01-01,122.0,4974.0,4974.0,2.0,17.0,17.0,0.0,0.0,0.0,,,,-245.0,0.0,0.0
2004-02-01,1939.0,27823.0,27823.0,0.0,0.0,0.0,133.0,2053.0,2053.0,,,,6344.0,97934.0,97934.0
2004-03-01,533.0,9528.0,9528.0,2.0,52.0,52.0,1.0,23.0,23.0,,,,2064.0,37184.0,37184.0
