measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,52.220800000000004,612.29,2158.76,1999.2962,23441.92,82648.94
2004-02-01,163.16787,1913.16,6628.61,21.25413,249.21,863.44
2004-03-01,88.3763,1036.23,3593.05,16.070700000000002,188.43,653.38
2004-04-01,73.79545,865.26,3023.29,84.14855,986.65,3447.44
2004-05-01,193.43385,2268.03,7980.56,1389.44415,16291.35,57324.75
2004-06-01,541.55017,6349.72,22239.52,1006.85383,11805.45,41347.88
2004-07-01,480.53634999999997,5634.33,19771.49,1394.65965,16352.51,57382.75
2004-08-01,491.08688,5758.03,20227.22,1919.05712,22501.1,79043.44
2004-09-01,213.68187,2505.44,8785.89,524.30513,6147.52,21557.69
2004-10-01,141.53746,1659.55,5740.47,4.94354,57.96,200.5
2004-11-01,235.31007,2759.03,9673.92,559.92993,6565.23,23019.5
2004-12-01,295.30259,3462.45,12089.05,290.32741,3404.11,11885.38
2005-01-01,333.97913,3915.93,14927.18,692.48887,8119.49,30950.75
2005-02-01,298.57149,3500.77,13233.33,285.10150999999996,3342.84,12636.31
2005-03-01,355.72419,4170.9,15791.66,391.71581,4592.9,17389.44
2005-04-01,367.01758,4303.31,16190.33,227.60041999999999,2668.63,10040.19
2005-05-01,299.64855,3513.41,13134.23,94.07345,1103.02,4123.44
2005-06-01,503.70186,5905.94,22345.21,521.11214,6110.08,23117.56
2005-07-01,649.49581,7615.39,28794.95,635.58419,7452.28,28178.19
2005-08-01,693.66116,8133.24,30786.11,747.21084,8761.11,33162.75
2005-09-01,458.01506,5370.27,20365.29,582.41894,6828.92,25896.81
2005-10-01,315.77691,3702.51,14083.66,531.95609,6237.23,23725.25
2005-11-01,285.52954,3347.86,12641.68,247.60446,2903.19,10962.56
2005-12-01,305.18123,3578.28,13658.5,727.52277,8530.27,32560.56
2006-01-01,579.70307,6797.07,27202.76,173.12693000000002,2029.93,8124.04
2006-02-01,579.34267,6792.85,27123.47,159.92732999999998,1875.16,7487.42
2006-03-01,634.43801,7438.84,29590.24,152.40599,1786.97,7108.23
2006-04-01,534.65211,6268.83,24878.4,117.23089,1374.54,5454.98
2006-05-01,519.46663,6090.79,24133.78,106.69737,1251.04,4957.03
