measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2019-02-01,-61.48,0.0,0.0
2019-03-01,-56.187,0.0,0.0
2019-04-01,-43.393,0.0,0.0
2019-05-01,-63.79,0.0,0.0
2019-06-01,-70.012,0.0,0.0
2019-07-01,-72.79,0.0,0.0
2019-08-01,-72.045,0.0,0.0
2019-09-01,-66.389,0.0,0.0
2019-10-01,-69.593,0.0,0.0
2019-11-01,-70.263,0.0,0.0
2019-12-01,-70.058,0.0,0.0
2020-01-01,-44.423,0.0,0.0
2020-02-01,-44.086,0.0,0.0
2020-03-01,-44.864,0.0,0.0
2020-04-01,-44.01,0.0,0.0
2020-05-01,-47.018,0.0,0.0
2020-06-01,-44.332,0.0,0.0
2020-07-01,-44.577,0.0,0.0
2020-08-01,-48.242,0.0,0.0
2020-09-01,-42.984,0.0,0.0
2020-10-01,-46.972,0.0,0.0
2020-11-01,-44.905,0.0,0.0
2020-12-01,-47.587,0.0,0.0
2021-01-01,-65.878,0.0,0.0
2021-02-01,-57.717,0.0,0.0
2021-03-01,-63.415,0.0,0.0
2021-04-01,-60.789,0.0,0.0
2021-05-01,-68.722,0.0,0.0
2021-06-01,-66.964,0.0,0.0
2021-07-01,-68.208,0.0,0.0
2021-08-01,-66.752,0.0,0.0
2021-09-01,-65.75,0.0,0.0
2021-10-01,-60.685,0.0,0.0
2021-11-01,-55.095,0.0,0.0
2021-12-01,-62.025,0.0,0.0
2022-01-01,-36.637,0.0,0.0
2022-02-01,-32.376,0.0,0.0
2022-03-01,-37.575,0.0,0.0
2022-04-01,-38.361,0.0,0.0
2022-05-01,-43.479,0.0,0.0
2022-06-01,-41.56,0.0,0.0
2022-07-01,-42.307,0.0,0.0
2022-08-01,-42.273,0.0,0.0
2022-09-01,-40.468,0.0,0.0
2022-10-01,-39.677,0.0,0.0
2022-11-01,-39.735,0.0,0.0
2022-12-01,-41.552,0.0,0.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,-64.0,0.0,0.0
2023-06-01,-136.0,0.0,0.0
2023-07-01,-134.0,0.0,0.0
2023-08-01,-143.0,0.0,0.0
2023-09-01,-97.0,0.0,0.0
2023-10-01,-30.0,0.0,0.0
2023-11-01,-18.0,0.0,0.0
2023-12-01,-17.0,0.0,0.0
2024-01-01,-33.0,0.0,0.0
2024-02-01,-30.0,0.0,0.0
2024-03-01,-27.0,0.0,0.0
2024-04-01,-35.0,0.0,0.0
2024-05-01,-108.0,0.0,0.0
2024-06-01,-123.0,0.0,0.0
2024-07-01,-133.0,0.0,0.0
2024-08-01,-129.0,0.0,0.0
2024-09-01,-113.0,0.0,0.0
2024-10-01,-37.0,0.0,0.0
2024-11-01,-40.0,0.0,0.0
2024-12-01,-46.0,0.0,0.0
