measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2004-01-01,5.206,54.0,54.0,58.84,1075.0,1075.0
2004-02-01,17.106,176.0,176.0,35.325,645.0,645.0
2004-03-01,9.669,99.0,99.0,11.309000000000001,207.0,207.0
2004-04-01,8.925,92.0,92.0,13.793000000000001,252.0,252.0
2004-05-01,18.594,191.0,191.0,57.77,1056.0,1056.0
2004-06-01,12.272,126.0,126.0,59.428000000000004,1086.0,1086.0
2004-07-01,5.578,57.0,57.0,27.717000000000002,506.0,506.0
2004-08-01,16.735,172.0,172.0,35.734,653.0,653.0
2004-09-01,68.426,704.0,704.0,24.706,451.0,451.0
2004-10-01,4.463,46.0,46.0,1.41,26.0,26.0
2004-11-01,105.986,1090.0,1090.0,28.353,518.0,518.0
2004-12-01,10.041,103.0,103.0,11.615,212.0,212.0
2005-01-01,24.045,247.2,247.2,,,
2005-02-01,8.261000000000001,84.93,84.93,,,
2005-03-01,9.156,94.13,94.13,,,
2005-04-01,11.091000000000001,114.02,114.02,,,
2005-05-01,10.301,105.9,105.9,,,
2005-06-01,13.369,137.45,137.45,,,
2005-07-01,13.608,139.9,139.9,,,
2005-08-01,15.986,164.35,164.35,,,
2005-09-01,10.465,107.59,107.59,,,
2005-10-01,11.621,119.48,119.48,,,
2005-11-01,9.343,96.05,96.05,,,
2005-12-01,19.754,203.09,203.09,,,
2006-01-01,10.93,110.0,110.0,,,
2006-02-01,5.719,57.0,57.0,,,
2006-03-01,4.804,48.0,48.0,,,
2006-04-01,9.203000000000001,93.0,93.0,,,
2006-05-01,8.602,86.0,86.0,,,
2006-06-01,7.819,79.0,79.0,,,
2006-07-01,11.326,114.0,114.0,,,
2006-08-01,10.986,110.0,110.0,,,
2006-09-01,5.047000000000001,51.0,51.0,,,
2006-10-01,5.331,54.0,54.0,,,
2006-11-01,6.2780000000000005,63.0,63.0,,,
2006-12-01,6.956,70.0,70.0,,,
2007-01-01,7.633,87.0,87.0,,,
2007-02-01,8.692,99.0,99.0,,,
2007-03-01,7.245,81.0,81.0,,,
2007-04-01,7.686,87.0,87.0,,,
2007-05-01,7.915,87.0,87.0,,,
2007-06-01,9.303,105.0,105.0,,,
2007-07-01,7.274,81.0,81.0,,,
2007-08-01,5.821000000000001,64.0,64.0,,,
2007-09-01,5.514,64.0,64.0,,,
2007-10-01,7.921,87.0,87.0,,,
2007-11-01,6.5040000000000004,70.0,70.0,,,
2007-12-01,11.493,128.0,128.0,,,
2008-01-01,2.3560000000000003,23.0,23.0,,,
2008-02-01,1.423,17.0,17.0,,,
2008-03-01,2.278,23.0,23.0,,,
2008-04-01,1.691,17.0,17.0,,,
2008-05-01,1.595,17.0,17.0,,,
2008-06-01,2.7270000000000003,29.0,29.0,,,
2008-07-01,2.218,23.0,23.0,,,
2008-08-01,2.303,23.0,23.0,,,
2008-09-01,1.875,17.0,17.0,,,
2008-10-01,2.0460000000000003,23.0,23.0,,,
2008-11-01,1.766,17.0,17.0,,,
2008-12-01,2.722,29.0,29.0,,,
2009-01-01,2.084,17.0,17.0,,,
2009-02-01,1.846,17.0,17.0,,,
2009-03-01,1.7,17.0,17.0,,,
2009-04-01,1.38,12.0,12.0,,,
2009-05-01,2.959,29.0,29.0,,,
2009-06-01,2.269,23.0,23.0,,,
2009-07-01,1.474,17.0,17.0,,,
2009-08-01,1.6380000000000001,17.0,17.0,,,
2009-09-01,1.5570000000000002,17.0,17.0,,,
2009-10-01,1.494,17.0,17.0,,,
2009-11-01,1.546,17.0,17.0,,,
2009-12-01,2.053,23.0,23.0,,,
2010-01-01,5.025,46.0,46.0,,,
2010-02-01,3.237,35.0,35.0,,,
2010-03-01,4.16,41.0,41.0,,,
2010-04-01,3.124,35.0,35.0,,,
2010-05-01,6.601,69.0,69.0,,,
2010-06-01,5.454000000000001,58.0,58.0,,,
2010-07-01,4.596,46.0,46.0,,,
2010-08-01,4.738,46.0,46.0,,,
2010-09-01,3.867,41.0,41.0,,,
2010-10-01,2.399,23.0,23.0,,,
2010-11-01,3.181,35.0,35.0,,,
2010-12-01,4.618,46.0,46.0,,,
2011-01-01,13.326,151.0,151.0,,,
2011-02-01,7.883,81.0,81.0,,,
2011-03-01,7.237,75.0,75.0,,,
2011-04-01,8.94,93.0,93.0,,,
2011-05-01,8.925,93.0,93.0,,,
2011-06-01,11.464,122.0,122.0,,,
2011-07-01,7.376,75.0,75.0,,,
2011-08-01,7.157,75.0,75.0,,,
2011-09-01,4.311,46.0,46.0,,,
2011-10-01,5.574,58.0,58.0,,,
2011-11-01,9.483,98.0,98.0,,,
2011-12-01,8.324,87.0,87.0,,,
2012-01-01,22.409,221.0,221.0,,,
2012-02-01,8.845,93.0,93.0,,,
2012-03-01,9.625,99.0,99.0,,,
2012-04-01,8.331,87.0,87.0,,,
2012-05-01,8.16,87.0,87.0,,,
2012-06-01,12.866,134.0,134.0,,,
2012-07-01,16.601,175.0,175.0,,,
2012-08-01,12.786,134.0,134.0,,,
2012-09-01,9.863,105.0,105.0,,,
2012-10-01,12.505,128.0,128.0,,,
2012-11-01,14.019,146.0,146.0,,,
2012-12-01,17.99,186.0,186.0,,,
2013-01-01,12.827,139.0,139.0,,,
2013-02-01,12.443,128.0,128.0,,,
2013-03-01,12.339,128.0,128.0,,,
2013-04-01,8.09,81.0,81.0,,,
2013-05-01,17.093,180.0,180.0,,,
2013-06-01,14.59,151.0,151.0,,,
2013-07-01,20.955,215.0,215.0,,,
2013-08-01,10.722,110.0,110.0,,,
2013-09-01,14.356,151.0,151.0,,,
2013-10-01,9.183,93.0,93.0,,,
2013-11-01,12.437,128.0,128.0,,,
2013-12-01,10.965,116.0,116.0,,,
2014-01-01,3.588,41.0,41.0,,,
2014-02-01,1.838,23.0,23.0,,,
2014-03-01,1.756,17.0,17.0,,,
2014-04-01,1.068,12.0,12.0,,,
2014-05-01,1.021,12.0,12.0,,,
2014-06-01,1.195,12.0,12.0,,,
2014-07-01,0.791,12.0,12.0,,,
2014-08-01,1.162,12.0,12.0,,,
2014-09-01,0.499,6.0,6.0,,,
2014-10-01,0.541,6.0,6.0,,,
2014-11-01,0.708,6.0,6.0,,,
2014-12-01,0.833,12.0,12.0,,,
2015-01-01,22.894,226.0,226.0,,,
2015-02-01,17.338,180.0,180.0,,,
2015-03-01,19.535,203.0,203.0,,,
2015-04-01,13.516,139.0,139.0,,,
2015-05-01,21.223,220.0,220.0,,,
2015-06-01,23.591,244.0,244.0,,,
2015-07-01,25.386,261.0,261.0,,,
2015-08-01,15.076,157.0,157.0,,,
2015-09-01,11.783,122.0,122.0,,,
2015-10-01,12.457,128.0,128.0,,,
2015-11-01,18.435,191.0,191.0,,,
2015-12-01,29.766,307.0,307.0,,,
2016-01-01,23.973,261.0,261.0,,,
2016-02-01,23.853,249.0,249.0,,,
2016-03-01,24.746,261.0,261.0,,,
2016-04-01,20.289,214.0,214.0,,,
2016-05-01,32.439,342.0,342.0,,,
2016-06-01,28.009,296.0,296.0,,,
2016-07-01,25.404,267.0,267.0,,,
2016-08-01,25.473,267.0,267.0,,,
2016-09-01,17.857,185.0,185.0,,,
2016-10-01,17.329,180.0,180.0,,,
2016-11-01,32.32,342.0,342.0,,,
2016-12-01,44.308,464.0,464.0,,,
2017-01-01,12.555,128.0,128.0,,,
2017-02-01,9.895,104.0,104.0,,,
2017-03-01,13.02,133.0,133.0,,,
2017-04-01,9.913,104.0,104.0,,,
2017-05-01,14.486,151.0,151.0,,,
2017-06-01,14.541,151.0,151.0,,,
2017-07-01,13.54,139.0,139.0,,,
2017-08-01,11.284,116.0,116.0,,,
2017-09-01,10.807,110.0,110.0,,,
2017-10-01,10.061,104.0,104.0,,,
2017-11-01,21.57,220.0,220.0,,,
2017-12-01,12.328,128.0,128.0,,,
2018-01-01,19.774,220.0,220.0,,,
2018-02-01,11.865,122.0,122.0,,,
2018-03-01,11.827,122.0,122.0,,,
2018-04-01,16.603,168.0,168.0,,,
