measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2003-01-01,8952.0,91677.43,91677.43,,,
2003-02-01,8126.0,83218.37,83218.37,,,
2003-03-01,8952.0,91677.43,91677.43,,,
2003-04-01,8364.0,85655.72,85655.72,,,
2003-05-01,8952.0,91677.43,91677.43,,,
2003-06-01,8386.0,85881.03,85881.03,,,
2003-07-01,8512.0,87171.39,87171.39,,,
2003-08-01,8520.0,87253.32,87253.32,,,
2003-09-01,8364.0,85655.72,85655.72,,,
2003-10-01,8697.0,89065.98,89065.98,,,
2003-11-01,8580.0,87867.78,87867.78,,,
2003-12-01,8909.0,91237.07,91237.07,,,
2004-01-01,8985.418,90051.86,90051.86,,,
2004-02-01,8481.393,85000.52,85000.52,,,
2004-03-01,8977.521,89972.72,89972.72,,,
2004-04-01,8401.366,84198.49,84198.49,,,
2004-05-01,8308.002,83262.8,83262.8,,,
2004-06-01,8025.102000000001,80427.57,80427.57,,,
2004-07-01,8437.343,84559.05,84559.05,,,
2004-08-01,8418.038,84365.58,84365.58,,,
2004-09-01,8387.853000000001,84063.06,84063.06,,,
2004-10-01,8455.595000000001,84741.97,84741.97,,,
2004-11-01,7906.466,79238.6,79238.6,,,
2004-12-01,8908.902,89285.02,89285.02,,,
2005-01-01,7363.622,73628.86,73628.86,,,
2005-02-01,6217.644,62170.22,62170.22,,,
2005-03-01,7038.928,70382.24,70382.24,,,
2005-04-01,7042.755,70420.51,70420.51,,,
2005-05-01,7478.703,74779.55,74779.55,,,
2005-06-01,7385.186000000001,73844.47,73844.47,,,
2005-07-01,7553.8460000000005,75530.91,75530.91,,,
2005-08-01,7461.195000000001,74604.49,74604.49,,,
2005-09-01,7301.23,73005.0,73005.0,,,
2005-10-01,7478.273,74775.25,74775.25,,,
2005-11-01,7258.786,72580.6,72580.6,,,
2005-12-01,7461.832,74610.86,74610.86,,,
2006-01-01,9659.46,95812.18,95812.18,,,
2006-02-01,8755.206,86842.89,86842.89,,,
2006-03-01,9896.378,98162.17,98162.17,,,
2006-04-01,8854.233,87825.14,87825.14,,,
2006-05-01,8612.63,85428.68,85428.68,,,
2006-06-01,9348.479000000001,92727.56,92727.56,,,
2006-07-01,9821.433,97418.79,97418.79,,,
2006-08-01,10028.672,99474.4,99474.4,,,
2006-09-01,9490.869,94139.93,94139.93,,,
2006-10-01,9891.515000000001,98113.94,98113.94,,,
2006-11-01,9580.364,95027.63,95027.63,,,
2006-12-01,9995.76,99147.94,99147.94,,,
2007-01-01,10092.81,99757.33,99757.33,,,
2007-02-01,8292.477,81962.84,81962.84,,,
2007-03-01,9231.998,91249.07,91249.07,,,
2007-04-01,8594.644,84949.46,84949.46,,,
2007-05-01,7282.872,71983.91,71983.91,,,
2007-06-01,8437.496000000001,83396.21,83396.21,,,
2007-07-01,8338.57,82418.43,82418.43,,,
2007-08-01,8527.795,84288.73,84288.73,,,
2007-09-01,8237.893,81423.33,81423.33,,,
2007-10-01,8454.882,83568.05,83568.05,,,
2007-11-01,8377.79,82806.08,82806.08,,,
2007-12-01,8799.773000000001,86976.96,86976.96,,,
2008-01-01,3506.116,34549.270000000004,34549.270000000004,,,
2008-02-01,2811.821,27707.68,27707.68,,,
2008-03-01,10246.695,100970.93000000001,100970.93000000001,,,
2008-04-01,11198.985,110354.8,110354.8,,,
2008-05-01,10986.448,108260.46,108260.46,,,
2008-06-01,10258.329,101085.57,101085.57,,,
2008-07-01,10143.741,99956.42,99956.42,,,
2008-08-01,10134.812,99868.44,99868.44,,,
2008-09-01,9759.659,96171.68000000001,96171.68000000001,,,
2008-10-01,10800.021,106423.41,106423.41,,,
2008-11-01,10696.391,105402.24,105402.24,,,
2008-12-01,11267.982,111034.69,111034.69,,,
2009-01-01,9453.696,92268.07,92268.07,,,
2009-02-01,8641.431,84340.37,84340.37,,,
2009-03-01,9765.941,95315.58,95315.58,,,
2009-04-01,8971.161,87558.53,87558.53,,,
2009-05-01,8379.705,81785.92,81785.92,,,
2009-06-01,8814.125,86025.86,86025.86,,,
2009-07-01,8746.122000000001,85362.15,85362.15,,,
2009-08-01,8863.727,86509.98,86509.98,,,
2009-09-01,8529.654,83249.42,83249.42,,,
2009-10-01,6659.853,65000.17,65000.17,,,
2009-11-01,11451.733,111768.91,111768.91,,,
2009-12-01,12765.852,124594.72,124594.72,,,
2010-01-01,8458.003,82516.0,82516.0,,,
2010-02-01,6696.997,65336.0,65336.0,,,
2010-03-01,9467.098,92361.0,92361.0,,,
2010-04-01,9274.017,90477.0,90477.0,,,
2010-05-01,10101.42,98549.0,98549.0,,,
2010-06-01,9335.003,91072.0,91072.0,,,
2010-07-01,8505.491,82980.0,82980.0,,,
2010-08-01,9334.497000000001,91067.0,91067.0,,,
2010-09-01,8774.066,85600.0,85600.0,,,
2010-10-01,9410.667000000001,91810.0,91810.0,,,
2010-11-01,8773.054,85590.0,85590.0,,,
2010-12-01,10040.687,97957.0,97957.0,,,
2011-01-01,10465.995,101688.0,101688.0,,,
2011-02-01,9588.016,93157.0,93157.0,0.0,0.0,0.0
2011-03-01,10300.807,100083.0,100083.0,0.0,0.0,0.0
2011-04-01,9943.288,96609.0,96609.0,0.0,0.0,0.0
2011-05-01,10063.354,97776.0,97776.0,0.0,0.0,0.0
2011-06-01,9334.744,90696.0,90696.0,0.0,0.0,0.0
2011-07-01,9263.863,90008.0,90008.0,0.0,0.0,0.0
2011-08-01,9295.76,90318.0,90318.0,0.0,0.0,0.0
2011-09-01,8839.611,85886.0,85886.0,0.0,0.0,0.0
2011-10-01,8868.655,86168.0,86168.0,0.0,0.0,0.0
2011-11-01,9744.82,94681.0,94681.0,0.0,0.0,0.0
2011-12-01,10232.087,99415.0,99415.0,0.0,0.0,0.0
2012-01-01,7937.359,75532.0,75532.0,0.0,0.0,0.0
2012-02-01,7498.586,71357.0,71357.0,0.0,0.0,0.0
2012-03-01,7892.642,75106.0,75106.0,0.0,0.0,0.0
2012-04-01,7458.421,70974.0,70974.0,0.0,0.0,0.0
2012-05-01,7760.83,73852.0,73852.0,0.0,0.0,0.0
2012-06-01,8718.296,82963.0,82963.0,0.0,0.0,0.0
2012-07-01,8772.263,83477.0,83477.0,0.0,0.0,0.0
2012-08-01,8783.028,83579.0,83579.0,0.0,0.0,0.0
2012-09-01,8963.908,85301.0,85301.0,0.0,0.0,0.0
2012-10-01,9203.792,87583.0,87583.0,0.0,0.0,0.0
2012-11-01,9633.181,91669.0,91669.0,0.0,0.0,0.0
2012-12-01,9781.694,93083.0,93083.0,0.0,0.0,0.0
2013-01-01,8815.903,84113.0,84113.0,1132.901,10809.0,10809.0
2013-02-01,8064.477,76943.0,76943.0,1036.338,9888.0,9888.0
2013-03-01,8667.811,82700.0,82700.0,1113.87,10627.0,10627.0
2013-04-01,8229.044,78513.0,78513.0,1057.486,10089.0,10089.0
2013-05-01,8152.477,77783.0,77783.0,1047.647,9996.0,9996.0
2013-06-01,7593.934,72454.0,72454.0,975.87,9311.0,9311.0
2013-07-01,7364.584,70265.0,70265.0,946.397,9030.0,9030.0
2013-08-01,7483.715,71402.0,71402.0,961.706,9176.0,9176.0
2013-09-01,7506.345,71618.0,71618.0,964.614,9203.0,9203.0
2013-10-01,8417.179,80308.0,80308.0,1081.663,10320.0,10320.0
2013-11-01,8427.087,80403.0,80403.0,1082.936,10332.0,10332.0
2013-12-01,9023.444,86093.0,86093.0,1159.572,11063.0,11063.0
2014-01-01,9287.092,88320.0,88320.0,1181.215,11233.0,11233.0
2014-02-01,7807.644,74251.0,74251.0,993.046,9444.0,9444.0
2014-03-01,8642.121,82187.0,82187.0,1099.182,10453.0,10453.0
2014-04-01,7910.837,75232.0,75232.0,1006.171,9569.0,9569.0
2014-05-01,7891.427,75047.0,75047.0,1003.702,9545.0,9545.0
2014-06-01,7289.096,69319.0,69319.0,927.092,8817.0,8817.0
2014-07-01,6981.994,66399.0,66399.0,888.032,8445.0,8445.0
2014-08-01,7583.912,72123.0,72123.0,964.59,9173.0,9173.0
2014-09-01,7603.89,72313.0,72313.0,967.131,9197.0,9197.0
2014-10-01,7654.583,72795.0,72795.0,973.578,9259.0,9259.0
2014-11-01,8560.816,81413.0,81413.0,1088.841,10355.0,10355.0
2014-12-01,8895.588,84597.0,84597.0,1131.42,10760.0,10760.0
2015-01-01,6910.734,64401.0,64401.0,587.763,5477.0,5477.0
2015-02-01,7044.498,65648.0,65648.0,599.139,5583.0,5583.0
2015-03-01,7981.275,74378.0,74378.0,678.812,6326.0,6326.0
2015-04-01,7728.84,72025.0,72025.0,657.342,6126.0,6126.0
2015-05-01,7749.733,72220.0,72220.0,659.119,6142.0,6142.0
2015-06-01,6467.063,60267.0,60267.0,550.028,5126.0,5126.0
2015-07-01,7251.106,67573.0,67573.0,616.711,5747.0,5747.0
2015-08-01,6986.583,65108.0,65108.0,594.213,5537.0,5537.0
2015-09-01,7632.741,71130.0,71130.0,649.169,6050.0,6050.0
2015-10-01,8032.347,74853.0,74853.0,683.156,6366.0,6366.0
2015-11-01,9335.949,87002.0,87002.0,794.028,7400.0,7400.0
2015-12-01,9565.131,89137.0,89137.0,813.52,7581.0,7581.0
2016-01-01,8661.097,79959.0,79959.0,1059.482,9781.0,9781.0
2016-02-01,7973.5,73611.0,73611.0,975.371,9005.0,9005.0
2016-03-01,8237.164,76045.0,76045.0,1007.624,9302.0,9302.0
2016-04-01,7849.577,72467.0,72467.0,960.212,8865.0,8865.0
2016-05-01,7994.529,73805.0,73805.0,977.943,9028.0,9028.0
2016-06-01,6883.5,63548.0,63548.0,842.035,7774.0,7774.0
2016-07-01,6711.092,61957.0,61957.0,820.945,7579.0,7579.0
2016-08-01,6761.504,62422.0,62422.0,827.111,7636.0,7636.0
2016-09-01,7251.022,66941.0,66941.0,886.993,8189.0,8189.0
2016-10-01,7790.168,71919.0,71919.0,952.944,8798.0,8798.0
2016-11-01,8216.278,75853.0,75853.0,1005.069,9279.0,9279.0
2016-12-01,8855.569,81755.0,81755.0,1083.271,10001.0,10001.0
2017-01-01,7885.603,72650.0,72650.0,812.227,7483.0,7483.0
2017-02-01,6946.281,63996.0,63996.0,715.475,6592.0,6592.0
2017-03-01,7769.178,71577.0,71577.0,800.234,7373.0,7373.0
2017-04-01,7526.975,69346.0,69346.0,775.287,7143.0,7143.0
2017-05-01,7276.044,67034.0,67034.0,749.441,6905.0,6905.0
2017-06-01,7139.681,65778.0,65778.0,735.395,6775.0,6775.0
2017-07-01,7679.71,70753.0,70753.0,791.019,7288.0,7288.0
2017-08-01,7628.84,70285.0,70285.0,785.779,7239.0,7239.0
2017-09-01,7460.634,68735.0,68735.0,768.454,7080.0,7080.0
2017-10-01,6794.962,62602.0,62602.0,699.889,6448.0,6448.0
2017-11-01,7300.409,67259.0,67259.0,751.951,6928.0,6928.0
2017-12-01,7590.683,69933.0,69933.0,781.849,7203.0,7203.0
2018-01-01,7619.575,69369.0,69369.0,786.408,7159.0,7159.0
2018-02-01,7243.149,65942.0,65942.0,747.558,6806.0,6806.0
2018-03-01,7762.993,70674.0,70674.0,801.21,7294.0,7294.0
2018-04-01,6752.838,61478.0,61478.0,696.953,6345.0,6345.0
2018-05-01,7812.142,71122.0,71122.0,806.283,7340.0,7340.0
2018-06-01,7289.049,66360.0,66360.0,752.295,6849.0,6849.0
2018-07-01,7725.179,70330.0,70330.0,797.307,7259.0,7259.0
2018-08-01,7710.565,70197.0,70197.0,795.799,7245.0,7245.0
2018-09-01,7501.201,68291.0,68291.0,774.191,7048.0,7048.0
2018-10-01,7221.044,65740.0,65740.0,745.276,6785.0,6785.0
2018-11-01,7545.297,68692.0,68692.0,778.742,7090.0,7090.0
2018-12-01,8002.968,72859.0,72859.0,825.978,7520.0,7520.0
2019-01-01,7993.322,71181.0,71181.0,845.912,7533.0,7533.0
2019-02-01,7445.611,66303.0,66303.0,787.95,7017.0,7017.0
2019-03-01,8202.581,73044.0,73044.0,868.059,7730.0,7730.0
2019-04-01,7253.015,64588.0,64588.0,767.568,6835.0,6835.0
2019-05-01,7811.96,69566.0,69566.0,826.72,7362.0,7362.0
2019-06-01,7584.292,67538.0,67538.0,802.627,7147.0,7147.0
2019-07-01,7844.475,69855.0,69855.0,830.161,7393.0,7393.0
2019-08-01,7920.551,70533.0,70533.0,838.212,7464.0,7464.0
2019-09-01,7766.545,69161.0,69161.0,821.914,7319.0,7319.0
2019-10-01,6626.584,59010.0,59010.0,701.275,6245.0,6245.0
2019-11-01,6051.108,53885.0,53885.0,640.374,5703.0,5703.0
2019-12-01,7126.956,63466.0,63466.0,754.228,6716.0,6716.0
2020-01-01,7613.023,66743.0,66743.0,778.906,6829.0,6829.0
2020-02-01,8104.509,71052.0,71052.0,829.192,7270.0,7270.0
2020-03-01,8464.412,74208.0,74208.0,866.015,7592.0,7592.0
2020-04-01,7999.638,70133.0,70133.0,818.462,7175.0,7175.0
2020-05-01,7639.848,66979.0,66979.0,781.651,6853.0,6853.0
2020-06-01,7032.593,61655.0,61655.0,719.522,6308.0,6308.0
2020-07-01,6641.856,58229.0,58229.0,679.544,5958.0,5958.0
2020-08-01,6461.763,56650.0,56650.0,661.119,5796.0,5796.0
2020-09-01,6974.652,61147.0,61147.0,713.594,6256.0,6256.0
2020-10-01,7742.516,67879.0,67879.0,792.156,6945.0,6945.0
2020-11-01,8260.318,72418.0,72418.0,845.133,7409.0,7409.0
2020-12-01,8656.872,75895.0,75895.0,885.706,7765.0,7765.0
2021-01-01,8073.032,71398.0,71398.0,815.765,7215.0,7215.0
2021-02-01,7073.472,62558.0,62558.0,714.761,6321.0,6321.0
2021-03-01,6280.588,55546.0,55546.0,634.642,5613.0,5613.0
2021-04-01,7202.907,63703.0,63703.0,727.84,6437.0,6437.0
2021-05-01,7966.281,70454.0,70454.0,804.978,7119.0,7119.0
2021-06-01,6910.275,61114.0,61114.0,698.27,6175.0,6175.0
2021-07-01,6831.196,60415.0,60415.0,690.28,6105.0,6105.0
2021-08-01,6937.579,61356.0,61356.0,701.029,6200.0,6200.0
2021-09-01,7195.24,63635.0,63635.0,727.066,6430.0,6430.0
2021-10-01,7868.457,69589.0,69589.0,795.093,7032.0,7032.0
2021-11-01,8091.462,71561.0,71561.0,817.627,7231.0,7231.0
2021-12-01,9061.511,80140.0,80140.0,915.649,8098.0,8098.0
