measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2024-01-01,-26.0,0.0,0.0
2024-02-01,-23.0,0.0,0.0
2024-03-01,-32.0,0.0,0.0
2024-04-01,-33.0,0.0,0.0
2024-05-01,-30.0,0.0,0.0
2024-06-01,-33.0,0.0,0.0
2024-07-01,-26.0,0.0,0.0
2024-08-01,-40.0,0.0,0.0
2024-09-01,-30.0,0.0,0.0
2024-10-01,-21.0,0.0,0.0
2024-11-01,-22.0,0.0,0.0
2024-12-01,-23.0,0.0,0.0
