measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,44.413000000000004,500.0,523.0,,,,,,,20782.262,233816.0,244829.0,7838.147,0.0,0.0
2003-02-01,40.109,451.0,473.0,,,,,,,18768.545,211160.0,221106.0,7078.662,0.0,0.0
2003-03-01,41.152,463.0,485.0,,,,,,,19256.292,216647.0,226852.0,7262.618,0.0,0.0
2003-04-01,37.142,418.0,438.0,,,,,,,17380.152000000002,195539.0,204750.0,6555.022,0.0,0.0
2003-05-01,37.576,423.0,443.0,,,,,,,17583.233,197824.0,207142.0,6631.615000000001,0.0,0.0
2003-06-01,41.679,469.0,491.0,,,,,,,19502.98,219423.0,229758.0,7355.658,0.0,0.0
2003-07-01,48.453,545.0,571.0,,,,,,,22672.963,255087.0,267103.0,8551.235,0.0,0.0
2003-08-01,49.189,553.0,580.0,,,,,,,23017.231,258961.0,271158.0,8681.078,0.0,0.0
2003-09-01,41.468,467.0,489.0,,,,,,,19404.46,218314.0,228597.0,7318.501,0.0,0.0
2003-10-01,39.738,447.0,468.0,,,,,,,18594.608,209203.0,219057.0,7013.061000000001,0.0,0.0
2003-11-01,39.031,439.0,460.0,,,,,,,18263.828,205481.0,215160.0,6888.305,0.0,0.0
2003-12-01,44.05,496.0,519.0,,,,,,,20612.445,231905.0,242828.0,7774.099,0.0,0.0
2004-01-01,208.64433,2188.64,2570.65,69.44887,0.0,0.0,,,,9018.13067,94598.44,111109.72,3001.75413,0.0,0.0
2004-02-01,19.04428,196.53,234.58,5.92687,0.0,0.0,,,,9364.34072,96635.08,115343.81,2914.32413,0.0,0.0
2004-03-01,26.916159999999998,283.07,331.54,9.050989999999999,0.0,0.0,,,,8921.63984,93825.61,109892.38,3000.04601,0.0,0.0
2004-04-01,0.08931,0.93,1.1,0.02912,0.0,0.0,,,,8442.81169,88108.46,103990.28,2752.44188,0.0,0.0
