measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2009-11-01,16451.0,160561.76,160561.76
2009-12-01,20891.0,203896.16,203896.16
2010-01-01,11631.0,113472.0,113472.0
2010-02-01,2317.0,22605.0,22605.0
2010-03-01,24190.0,235998.0,235998.0
2010-04-01,26017.0,253822.0,253822.0
2010-05-01,28263.0,275734.0,275734.0
2010-06-01,26154.0,255158.0,255158.0
2010-07-01,22850.0,222925.0,222925.0
2010-08-01,26459.0,258134.0,258134.0
2010-09-01,25755.0,251266.0,251266.0
2010-10-01,26059.0,254232.0,254232.0
2010-11-01,20294.0,197988.0,197988.0
2010-12-01,27636.0,269617.0,269617.0
2011-01-01,28140.0,273408.0,273408.0
2011-02-01,25287.0,245688.0,245688.0
2011-03-01,26346.0,255978.0,255978.0
2011-04-01,26248.0,255026.0,255026.0
2011-05-01,25821.0,250877.0,250877.0
2011-06-01,22551.0,219106.0,219106.0
2011-07-01,22759.0,221126.0,221126.0
2011-08-01,22995.0,223419.0,223419.0
2011-09-01,20454.0,198731.0,198731.0
2011-10-01,17615.0,171147.0,171147.0
2011-11-01,23229.0,225693.0,225693.0
2011-12-01,23905.0,232261.0,232261.0
2012-01-01,23681.0,225348.0,225348.0
2012-02-01,21191.0,201654.0,201654.0
2012-03-01,20911.0,198989.0,198989.0
2012-04-01,21082.0,200616.0,200616.0
2012-05-01,22313.0,212331.0,212331.0
2012-06-01,22586.0,214928.0,214928.0
2012-07-01,20915.0,199027.0,199027.0
2012-08-01,19875.0,189131.0,189131.0
2012-09-01,20471.0,194802.0,194802.0
2012-10-01,21161.0,201368.0,201368.0
2012-11-01,21382.0,203471.0,203471.0
2012-12-01,21616.0,205698.0,205698.0
2013-01-01,21247.0,202718.0,202718.0
2013-02-01,18512.0,176623.0,176623.0
2013-03-01,18234.0,173971.0,173971.0
2013-04-01,18599.0,177453.0,177453.0
2013-05-01,20417.0,194799.0,194799.0
2013-06-01,18374.0,175306.0,175306.0
2013-07-01,17855.0,170355.0,170355.0
2013-08-01,17166.0,163781.0,163781.0
2013-09-01,19362.0,184733.0,184733.0
2013-10-01,21965.0,209568.0,209568.0
2013-11-01,21376.0,203948.0,203948.0
2013-12-01,21844.0,208414.0,208414.0
2014-01-01,21841.0,207708.0,207708.0
2014-02-01,19708.0,187423.0,187423.0
2014-03-01,21370.0,203229.0,203229.0
2014-04-01,19629.0,186672.0,186672.0
2014-05-01,18382.0,174813.0,174813.0
2014-06-01,18652.0,177381.0,177381.0
2014-07-01,16933.0,161033.0,161033.0
2014-08-01,19588.0,186282.0,186282.0
2014-09-01,19271.0,183267.0,183267.0
2014-10-01,20965.0,199377.0,199377.0
2014-11-01,21181.0,201431.0,201431.0
2014-12-01,22081.0,209990.0,209990.0
2015-01-01,22079.0,205754.0,205754.0
2015-02-01,19666.0,183267.0,183267.0
2015-03-01,21430.0,199706.0,199706.0
2015-04-01,19262.0,179503.0,179503.0
2015-05-01,18807.0,175262.0,175262.0
2015-06-01,19898.0,185429.0,185429.0
2015-07-01,20194.0,188188.0,188188.0
2015-08-01,20333.0,189483.0,189483.0
2015-09-01,18900.0,176129.0,176129.0
2015-10-01,20459.0,190657.0,190657.0
2015-11-01,21081.0,196454.0,196454.0
2015-12-01,21547.0,200796.0,200796.0
2016-01-01,21506.0,198543.0,198543.0
2016-02-01,18825.0,173792.0,173792.0
2016-03-01,20564.0,189847.0,189847.0
2016-04-01,17930.0,165530.0,165530.0
2016-05-01,19585.0,180809.0,180809.0
2016-06-01,19324.0,178399.0,178399.0
2016-07-01,19492.0,179950.0,179950.0
2016-08-01,18984.0,175260.0,175260.0
2016-09-01,19000.0,175408.0,175408.0
2016-10-01,20166.0,186173.0,186173.0
2016-11-01,19763.0,182452.0,182452.0
2016-12-01,21259.0,196263.0,196263.0
2017-01-01,20345.259,187441.0,187441.0
2017-02-01,17921.763,165113.0,165113.0
2017-03-01,20044.88,184673.0,184673.0
2017-04-01,19419.982,178916.0,178916.0
2017-05-01,18772.569,172952.0,172952.0
2017-06-01,18420.746,169710.0,169710.0
2017-07-01,19814.047,182547.0,182547.0
2017-08-01,19682.8,181338.0,181338.0
2017-09-01,19248.819,177339.0,177339.0
2017-10-01,17531.351,161516.0,161516.0
2017-11-01,18835.432,173531.0,173531.0
2017-12-01,19584.352,180431.0,180431.0
2018-01-01,19380.295,176438.0,176438.0
2018-02-01,18422.861,167722.0,167722.0
2018-03-01,19745.08,179759.0,179759.0
2018-04-01,17175.762,156368.0,156368.0
2018-05-01,19870.089,180897.0,180897.0
2018-06-01,18539.608,168785.0,168785.0
2018-07-01,19648.899,178884.0,178884.0
2018-08-01,19611.729,178545.0,178545.0
2018-09-01,19079.213,173697.0,173697.0
2018-10-01,18366.638,167210.0,167210.0
2018-11-01,19191.373,174718.0,174718.0
2018-12-01,20355.453,185316.0,185316.0
2019-01-01,19781.431,176154.0,176154.0
2019-02-01,18425.992,164083.0,164083.0
2019-03-01,20299.299,180765.0,180765.0
2019-04-01,17949.366,159839.0,159839.0
2019-05-01,19332.613,172157.0,172157.0
2019-06-01,18769.192,167140.0,167140.0
2019-07-01,19413.078,172873.0,172873.0
2019-08-01,19601.345,174550.0,174550.0
2019-09-01,19220.222,171156.0,171156.0
2019-10-01,16399.108,146034.0,146034.0
2019-11-01,14974.952,133352.0,133352.0
2019-12-01,17637.402,157061.0,157061.0
2020-01-01,18060.732,158338.0,158338.0
2020-02-01,19226.706,168561.0,168561.0
2020-03-01,20080.521,176046.0,176046.0
2020-04-01,18977.917,166379.0,166379.0
2020-05-01,18124.37,158896.0,158896.0
2020-06-01,16683.751,146266.0,146266.0
2020-07-01,15756.786,138140.0,138140.0
2020-08-01,15329.544,134394.0,134394.0
2020-09-01,16546.294,145061.0,145061.0
2020-10-01,18367.935,161032.0,161032.0
2020-11-01,19596.34,171801.0,171801.0
2020-12-01,20537.104,180049.0,180049.0
2021-01-01,20109.058,177845.0,177845.0
2021-02-01,17619.263,155825.0,155825.0
2021-03-01,15644.273,138358.0,138358.0
2021-04-01,17941.67,158676.0,158676.0
2021-05-01,19843.154,175493.0,175493.0
2021-06-01,17212.755,152230.0,152230.0
2021-07-01,17015.779,150488.0,150488.0
2021-08-01,17280.768,152831.0,152831.0
2021-09-01,17922.574,158507.0,158507.0
2021-10-01,19599.484,173338.0,173338.0
2021-11-01,20154.967,178251.0,178251.0
2021-12-01,22571.255,199620.0,199620.0
2022-01-01,20972.476,71558.0,71558.0
2022-02-01,18383.144,62723.0,62723.0
2022-03-01,16550.244,56469.0,56469.0
2022-04-01,15339.444,52338.0,52338.0
2022-05-01,16566.402,56525.0,56525.0
2022-06-01,16234.068,55391.0,55391.0
2022-07-01,15611.124,53265.0,53265.0
2022-08-01,16491.76,56270.0,56270.0
2022-09-01,16912.483,57705.0,57705.0
2022-10-01,14709.144,50188.0,50188.0
2022-11-01,20924.966,71396.0,71396.0
2022-12-01,21999.745,75063.0,75063.0
2023-01-01,15998.0,54585.0,54585.0
