measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2018-01-01,363.432,4310.0,4310.0
2018-02-01,314.96,3736.0,3736.0
2018-03-01,359.895,4268.0,4268.0
2018-04-01,362.647,4301.0,4301.0
2018-05-01,346.784,4113.0,4113.0
2018-06-01,287.073,3405.0,3405.0
2018-07-01,289.15,3430.0,3430.0
2018-08-01,285.055,3381.0,3381.0
2018-09-01,289.548,3434.0,3434.0
2018-10-01,320.246,3799.0,3799.0
2018-11-01,313.227,3715.0,3715.0
2018-12-01,261.983,3107.0,3107.0
2019-01-01,359.065,4119.0,4119.0
2019-02-01,292.842,3360.0,3360.0
2019-03-01,394.906,4531.0,4531.0
2019-04-01,347.119,3983.0,3983.0
2019-05-01,388.258,4454.0,4454.0
2019-06-01,341.181,3914.0,3914.0
2019-07-01,349.626,4012.0,4012.0
2019-08-01,321.058,3683.0,3683.0
2019-09-01,315.283,3617.0,3617.0
2019-10-01,352.917,4049.0,4049.0
2019-11-01,307.861,3532.0,3532.0
2019-12-01,308.884,3544.0,3544.0
2020-01-01,0.0,0.0,0.0
