measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed
2016-01-01,2491.748,41050.0,41050.0
2016-02-01,2337.909,38516.0,38516.0
2016-03-01,2465.897,40624.0,40624.0
2016-04-01,2457.858,40491.0,40491.0
2016-05-01,2565.089,42258.0,42258.0
2016-06-01,2423.076,39918.0,39918.0
2016-07-01,2513.053,41401.0,41401.0
2016-08-01,2544.016,41911.0,41911.0
2016-09-01,2396.266,39477.0,39477.0
2016-10-01,2346.651,38659.0,38659.0
2016-11-01,2486.406,40962.0,40962.0
2016-12-01,2605.031,42916.0,42916.0
2017-01-01,2814.857,48538.0,48538.0
2017-02-01,2572.915,44366.0,44366.0
2017-03-01,2778.063,47904.0,47904.0
2017-04-01,2597.075,44783.0,44783.0
2017-05-01,2733.583,47137.0,47137.0
2017-06-01,2687.705,46346.0,46346.0
2017-07-01,2755.254,47510.0,47510.0
2017-08-01,2768.098,47732.0,47732.0
2017-09-01,2561.057,44162.0,44162.0
2017-10-01,2621.729,45208.0,45208.0
2017-11-01,2730.186,47078.0,47078.0
2017-12-01,2840.478,48980.0,48980.0
2018-01-01,2297.572,43509.0,43509.0
2018-02-01,2162.556,40952.0,40952.0
2018-03-01,2334.026,44200.0,44200.0
2018-04-01,2180.689,41296.0,41296.0
2018-05-01,2193.898,41546.0,41546.0
2018-06-01,2222.045,42079.0,42079.0
2018-07-01,2286.46,43299.0,43299.0
2018-08-01,2295.682,43473.0,43473.0
2018-09-01,2076.092,39315.0,39315.0
2018-10-01,2270.189,42990.0,42990.0
2018-11-01,2254.842,42700.0,42700.0
2018-12-01,2358.949,44671.0,44671.0
2019-01-01,2679.072,56266.0,56266.0
2019-02-01,2412.417,50666.0,50666.0
2019-03-01,2593.003,54459.0,54459.0
2019-04-01,2445.652,51364.0,51364.0
2019-05-01,2528.781,53110.0,53110.0
2019-06-01,2551.082,53578.0,53578.0
2019-07-01,2627.683,55187.0,55187.0
2019-08-01,2666.838,56009.0,56009.0
2019-09-01,2502.201,52551.0,52551.0
2019-10-01,2569.604,53967.0,53967.0
2019-11-01,2527.391,53081.0,53081.0
2019-12-01,2685.276,56397.0,56397.0
2020-01-01,2662.328,47932.0,47932.0
2020-02-01,2437.066,43877.0,43877.0
2020-03-01,2681.217,48273.0,48273.0
2020-04-01,2521.302,45394.0,45394.0
2020-05-01,2599.225,46797.0,46797.0
2020-06-01,2382.812,42900.0,42900.0
2020-07-01,2557.085,46038.0,46038.0
2020-08-01,2589.348,46619.0,46619.0
2020-09-01,2431.338,43774.0,43774.0
2020-10-01,2462.43,44334.0,44334.0
2020-11-01,2413.84,43459.0,43459.0
2020-12-01,2572.009,46307.0,46307.0
2021-01-01,2493.695,41337.0,41337.0
2021-02-01,2193.05,36353.0,36353.0
2021-03-01,2492.039,41309.0,41309.0
2021-04-01,2333.162,38676.0,38676.0
2021-05-01,2394.688,39695.0,39695.0
2021-06-01,2309.904,38290.0,38290.0
2021-07-01,2365.965,39220.0,39220.0
2021-08-01,2343.06,38840.0,38840.0
2021-09-01,2289.174,37946.0,37946.0
2021-10-01,2299.843,38123.0,38123.0
2021-11-01,2216.053,36734.0,36734.0
2021-12-01,2465.367,40867.0,40867.0
2022-01-01,2572.761,40679.0,40679.0
2022-02-01,2344.454,37069.0,37069.0
2022-03-01,2575.503,40722.0,40722.0
2022-04-01,2426.074,38359.0,38359.0
2022-05-01,2445.774,38671.0,38671.0
2022-06-01,2469.143,39041.0,39041.0
2022-07-01,2542.158,40195.0,40195.0
2022-08-01,2500.086,39529.0,39529.0
2022-09-01,2353.736,37216.0,37216.0
2022-10-01,2444.807,38656.0,38656.0
2022-11-01,2386.634,37736.0,37736.0
2022-12-01,2473.87,39115.0,39115.0
2023-01-01,2568.597,40149.0,40149.0
2023-02-01,2284.328,35706.0,35706.0
2023-03-01,2472.233,38643.0,38643.0
2023-04-01,2293.706,35853.0,35853.0
2023-05-01,2584.695,40401.0,40401.0
2023-06-01,2504.32,39144.0,39144.0
2023-07-01,2553.788,39918.0,39918.0
2023-08-01,2552.119,39892.0,39892.0
2023-09-01,2364.802,36964.0,36964.0
2023-10-01,2538.132,39673.0,39673.0
2023-11-01,2535.481,39631.0,39631.0
2023-12-01,2722.799,42559.0,42559.0
2024-01-01,2292.779,37241.0,37241.0
2024-02-01,2132.934,34644.0,34644.0
2024-03-01,2218.138,36028.0,36028.0
2024-04-01,2065.86,33555.0,33555.0
2024-05-01,2269.145,36857.0,36857.0
2024-06-01,2109.454,34263.0,34263.0
2024-07-01,2223.814,36121.0,36121.0
2024-08-01,2282.506,37074.0,37074.0
2024-09-01,2151.572,34947.0,34947.0
2024-10-01,2198.343,35707.0,35707.0
2024-11-01,2161.418,35107.0,35107.0
2024-12-01,2203.037,35783.0,35783.0
