measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combined Cycle Steam Part - Waste Oil - Generation,Kerosene - Combined Cycle Steam Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Steam Part - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Waste/Other Oil - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Waste/Other Oil - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Waste/Other Oil - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Waste/Other Oil - Combined Cycle Steam Part - Waste Oil - Generation,Waste/Other Oil - Combined Cycle Steam Part - Waste Oil - Quantity Consumed For Electricity,Waste/Other Oil - Combined Cycle Steam Part - Waste Oil - Total Fuel Consumed,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2003-01-01,,,,2254.0,33281.0,33281.0,0.0,0.0,0.0,10030.0,100453.0,100453.0,27.0,393.0,393.0,,,,1704.0,17066.0,17066.0,,,,,,,,,
2003-02-01,,,,7256.0,63511.0,63511.0,,,,6764.0,63795.0,63795.0,10.0,92.0,92.0,,,,204.0,1922.0,1922.0,,,,,,,,,
2003-03-01,,,,5909.0,60007.0,60007.0,,,,10641.0,104434.0,104434.0,0.0,0.0,0.0,,,,7837.0,76912.0,76912.0,,,,,,,,,
2003-04-01,,,,-646.0,0.0,0.0,0.0,0.0,0.0,84.0,787.0,787.0,0.0,0.0,0.0,,,,12392.0,115797.0,115797.0,,,,,,,,,
2003-05-01,,,,0.0,0.0,0.0,-277.0,0.0,0.0,33.0,317.0,317.0,-54.0,0.0,0.0,,,,6246.0,60129.0,60129.0,,,,,,,,,
2003-06-01,,,,2.0,28.0,28.0,,,,472.0,4592.0,4592.0,3819.0,42804.0,42804.0,621.0,0.0,0.0,12471.0,121342.0,121342.0,,,,,,,,,
2003-07-01,,,,481.0,3853.0,3853.0,,,,1750.0,16968.0,16968.0,14437.0,115686.0,115686.0,0.0,0.0,0.0,22274.0,215940.0,215940.0,,,,,,,,,
2003-08-01,,,,407.0,4502.0,4502.0,93.0,0.0,0.0,1716.0,18334.0,18334.0,16665.0,184170.0,184170.0,3764.0,0.0,0.0,12391.0,132412.0,132412.0,,,,,,,,,
2003-09-01,,,,0.0,0.0,0.0,,,,154.0,1472.0,1472.0,8183.0,98154.0,98154.0,1720.0,0.0,0.0,16858.0,161082.0,161082.0,,,,,,,,,
2003-10-01,,,,8.0,90.0,90.0,,,,207.0,1820.0,1820.0,779.0,8230.0,8230.0,-234.0,0.0,0.0,7808.0,68624.0,68624.0,,,,,,,,,
2003-11-01,,,,0.0,0.0,0.0,,,,,,,-58.0,0.0,0.0,-488.0,0.0,0.0,8336.0,75057.0,75057.0,,,,,,,,,
2003-12-01,,,,0.0,0.0,0.0,-610.0,0.0,0.0,1984.0,17523.0,17523.0,-83.0,0.0,0.0,,,,2911.0,25705.0,25705.0,,,,,,,,,
2004-01-01,,,,,,,,,,13308.0,126330.0,126330.0,-80.0,0.0,0.0,-1023.0,0.0,0.0,3110.0,29523.0,29523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,,,,,,,,,,788.0,9378.0,9378.0,-194.0,0.0,0.0,-743.0,0.0,0.0,7113.0,84698.0,84698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
