measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,43775.0,369918.0,369918.0,0.0,0.0,0.0,11120.0,93970.0,93970.0,,,
2003-02-01,35524.0,307644.0,307644.0,0.0,0.0,0.0,16111.0,139528.0,139528.0,,,
2003-03-01,12704.0,107329.0,107329.0,,,,28079.0,237223.0,237223.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,12441.0,109869.0,109869.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,,,,20924.0,180643.0,180643.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,57204.0,493756.0,493756.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,49889.0,443117.0,443117.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,15094.0,132022.0,132022.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,11434.0,100679.0,100679.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,1588.0,14634.0,14634.0,0.0,0.0,0.0
2003-12-01,1496.0,13891.0,13891.0,,,,4983.0,46271.0,46271.0,0.0,0.0,0.0
2004-01-01,38313.58308,331653.54,352170.2,0.0,0.0,0.0,1126.61692,9752.32,10355.62,0.0,0.0,0.0
2004-02-01,3823.91372,33100.91,35113.2,0.0,0.0,0.0,10720.26628,92797.75,98439.16,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,9073.38,78541.82,83078.77,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,15956.5,138124.11,144761.35,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,51943.5,444702.5,444702.5,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,49820.17,431257.9,451531.4,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,65411.95,566224.89,570200.8,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,34367.1,297491.63,310741.6,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,37892.08,328004.88,330917.6,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,40773.95,351745.0,351745.0,0.0,0.0,0.0
2004-12-01,4281.16901,37059.05,37120.44,0.0,0.0,0.0,32868.86099,284522.44,284993.79,0.0,0.0,0.0
2005-01-01,15470.24523,133914.95,144365.76,0.0,0.0,0.0,4275.07477,37006.29,39894.29,0.0,0.0,0.0
2005-02-01,14.632969999999998,126.67,129.36,0.0,0.0,0.0,27017.32703,233869.85,238841.51,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,5508.63,51931.57,51931.57,5508.63,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,10404.22,92877.4,92877.4,10404.22,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,49540.81,428839.68,459932.2,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,65906.65,570507.16,571952.81,0.0,0.0,0.0
2005-08-01,135.90004,1176.0,1176.0,0.10529,0.0,0.0,66221.79996,573045.0,573045.0,51.30471,0.0,0.0
2005-09-01,2796.48977,28166.27,29282.4,457.36033,0.0,0.0,14569.42023,146743.35,152558.25,2382.79967,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,16091.33,139291.24,143441.45,0.0,0.0,0.0
2005-11-01,130.12091,1126.36,1370.04,0.0,0.0,0.0,8042.12909,69615.01,84675.39,0.0,0.0,0.0
2005-12-01,42730.97494,369891.77,371345.0,0.0,0.0,0.0,8278.41506,71660.37,71941.91,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,81.07943,701.85,965.2,0.0,0.0,0.0,787.07057,6813.11,9369.58,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1034.02,8950.78,9946.64,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,5843.28,50581.13,54697.69,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,27627.54,235752.16,235752.16,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,72003.1,623279.81,631508.3,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,62591.19,538227.9,538227.9,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,6297.24,54510.74,56275.52,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1719.81,14887.18,16161.6,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4139.96,35836.7,36995.56,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,8354.07,69698.0,69698.0,0.0,0.0,0.0,1623.35,13544.0,13544.0,0.0,0.0,0.0
2007-03-01,2068.207,17905.0,18032.0,0.0,0.0,0.0,8762.813,75854.0,76401.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1031.11,8925.0,10126.0,0.0,0.0,0.0
2007-05-01,52.847,457.0,498.0,0.46900000000000003,0.0,0.0,10869.353,94924.0,102393.0,96.531,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,30911.96,263898.0,263898.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,52552.66,437272.0,437272.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,76625.15,659306.0,659306.0,0.0,0.0,0.0
2007-09-01,3165.339,27158.0,27158.0,0.0,0.0,0.0,22358.271,191833.0,191833.0,0.0,0.0,0.0
